"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Last Inventory Year 2021"
"Total GHG emissions with LULUCF","13890912.538440138","13718955.791906625","13294336.76203718","12776925.746672349","12550158.915896857","12250813.977018205","12258085.401017407","12427758.29979367","12273102.6938079","12204428.711734947","12226251.450561514","12557600.012589706","12450440.304991828","12569983.618218923","12793842.062904878","13012477.878968582","13039214.859686889","12993200.332347877","13209627.691831756","12767661.660975046","11649226.213559672","12104231.326559851","11977763.389719108","11767211.677361235","11843608.515598835","11576647.179955957","11597984.731460202","11277706.802265612","11373203.26849802","11522994.345061766","11288316.268781742","10101937.398482129","10525940.034139633"
"1.  Energy","14113027.401691573","13980855.022664674","13750120.433472805","13301490.691984504","13180912.440148681","13001558.034610957","13068878.03527553","13370167.638414187","13255393.034948682","13271832.563091207","13320430.101265462","13563199.681431841","13590803.914945949","13638882.93829234","13871364.015448257","13978951.653836941","14036419.774811782","14011435.585488938","14126375.97090596","13798648.231482415","12934394.34757778","13339000.86809583","13187968.566970482","13010888.395957574","12987617.428084789","12775253.325370176","12628549.810455242","12496668.73030397","12499440.251468824","12597923.512853695","12269381.456517367","11202358.597297769","11461716.833589844"
"2.  Industrial Processes and Product Use","1085371.3495464337","1063572.089238349","988736.2379817357","952643.5539311295","904980.7774013462","901202.0245809446","921286.8864765465","903504.8974797378","916717.2799764223","893061.138687758","908162.677615195","932612.4002098797","897864.7673780898","899365.6385500416","921662.4794748696","961132.2585496744","950913.8429817092","982616.0002250357","1001682.5511769983","950611.2900084221","784038.9972310555","867405.9155832455","887315.0117137326","877282.0773229374","878763.0052301851","878671.2361168166","861210.4462711682","852956.2238374125","862145.9474952063","863423.1777747232","849035.6371705859","827810.868869987","847791.0090966175"
"3.  Agriculture","41608.78247065978","41674.113322947924","36662.722993756426","33296.78609257436","30244.020481681364","26882.564836811576","26809.542043095207","25264.9812643192","25547.707819510484","26012.891655568255","25865.507384631288","26117.1606692311","26025.72137535403","26744.19606852854","27046.43984120426","26174.84578354231","26792.601548723695","26148.680080440947","27012.332782518773","27318.986140389752","25700.258864238338","27567.200821063936","27323.26673409689","30401.75277911974","28919.571579933705","29319.64053268703","29389.942219506604","29730.66700641596","29981.535641931503","29105.956430062724","28534.870718469872","30943.78956249592","27773.2066370763"
"4.  Land Use, Land-Use Change and Forestry","-1368063.3776580463","-1386017.1516807356","-1500003.5035730975","-1530436.540765453","-1585591.9782526814","-1700720.6549718913","-1780886.4596472925","-1893389.1040293507","-1946765.597613954","-2008524.1448745527","-2049747.6718718053","-1986085.6214995726","-2084700.3642783165","-2015056.4716547306","-2046351.1255763522","-1973205.168072671","-1993989.758399941","-2045234.61575998","-1963825.0156085668","-2028223.1234924374","-2111540.9372622245","-2146992.310745197","-2141150.349347908","-2168048.6856196728","-2068159.4311670614","-2122652.4630610445","-1936894.2953020816","-2116868.241911023","-2033306.5034078534","-1983219.3609494064","-1874336.0755141585","-1973762.998700937","-1825854.1379948005"
"5.  Waste","18955.873973628917","18859.209945499122","18807.048368231353","19916.95934592792","19599.795468244844","21877.996785882155","21983.771260109756","22193.57639344056","22195.101649543234","22032.26759891073","21525.64205561692","21741.021589554395","20429.283843618192","20031.434133462943","20102.070785472133","19407.296688044134","19061.344809942682","18218.077776624523","18364.370829435695","19290.05238225413","16617.306486228328","17232.951933722507","16289.893068926274","16671.169692980235","16450.97692550085","16041.576687652125","15713.962060871816","15205.065487095504","14927.02185790587","15744.98469430288","15686.09334815624","14573.069692073175","14498.048429336328"
"6.  Other","12.50841589030431","12.50841589030431","13.82279374889004","14.29608366633823","13.86064958378641","14.01117550123459","13.62560941868278","16.31027133613096","15.16702769546412","13.99557605479727","15.19411241413042","15.37018877346358","16.98172713279673","15.88282927971535","18.18293142663397","16.9921830495206","17.05393467240722","16.60453681932584","17.48174541111911","16.22445400291238","16.24066259470565","16.70087118649892","17.00057977829219","16.9672282966637","16.96494548883521","13.86430967030672","14.86575549577823","14.35754174271299","15.01544200636018","16.07425838924412","14.28654132253352","14.07176074117614","15.07438156008912"
