Type emission,CO2 emissions,unit,2019,2020,2021,Grow rate % 2019-20,Grow rate % 2020-21
Energy and process CO2 emissions,Coal,Mt CO2,14768,14409,15268,"-2,43","5,96"
Energy and process CO2 emissions,Oil,Mt CO2,11344,9940,10693,"-12,38","7,58"
Energy and process CO2 emissions,Gas,Mt CO2,7270,7164,7489,"-1,46","4,54"
Energy and process CO2 emissions,Biomass and waste,Mt CO2,231,242,269,"4,76","11,16"
Energy and process CO2 emissions,Industrial process,Mt CO2,2464,2465,2540,"0,04","3,04"
Energy and process CO2 emissions,Total,Mt CO2,36077,34220,36259,"-5,15","5,96"
Energy greenhouse gas emissions,CO2 emissions,Mt CO2eq,36077,34221,36257,"-5,14","5,95"
Energy greenhouse gas emissions,CO2 flared emissions,Mt CO2eq,283,268,281,"-5,30","4,85"
Energy greenhouse gas emissions,CH4 emissions,Mt CO2eq,4115,3893,4031,"-5,39","3,54"
Energy greenhouse gas emissions,N2O emissions,Mt CO2eq,271,253,268,"-6,64","5,93"
Energy greenhouse gas emissions,Total,Mt CO2eq,40746,38635,40837,"-5,18","5,70"
