Type emission,Country,unit,2019,2020,2021,Grow rate % 2019-20,Grow rate % 2020-21
Energy and process CO2 emissions,United States,Mt CO2,4839,4353,4645,"-10,04","6,71"
Energy and process CO2 emissions,China,Mt CO2,11196,11394,11947,"1,77","4,85"
Energy and process CO2 emissions,India,Mt CO2,2463,2296,2541,"-6,78","10,67"
Energy and process CO2 emissions,European Union,Mt CO2,2783,2529,2717,"-9,13","7,43"
Energy and process CO2 emissions,Rest of the world,Mt CO2,14796,13648,14408,"-7,76","5,57"
Energy and process CO2 emissions,World,Mt CO2,36077,34221,36257,"-5,14","5,95"
Energy greenhouse gas emissions,United States,Mt CO2eq,5454,4909,5212,"-9,99","6,17"
Energy greenhouse gas emissions,China,Mt CO2eq,12053,12267,12861,"1,78","4,84"
Energy greenhouse gas emissions,India,Mt CO2eq,2647,2473,2728,"-6,57","10,31"
Energy greenhouse gas emissions,European Union,Mt CO2eq,2909,2642,2828,"-9,18","7,04"
Energy greenhouse gas emissions,Rest of the world,Mt CO2eq,17685,16344,17211,"-7,58","5,30"
Energy greenhouse gas emissions,World,Mt CO2eq,40746,38635,40838,"-5,18","5,70"
