,,,,,,
,,,,,,
,Global Energy Review CO2 Emissions in 2021 - data,,,,,
,World emissions summary,,,,,
,,,,,,
,,Energy and process CO2 emissions (Mt CO2),,,Growth rate (%),
,,2019,2020,2021,2019-20,2020-21
,CO2 emissions,36 077,34 221,36 257,"-5,1%","6,0%"
,Coal,14 768,14 409,15 268,"-2,4%","6,0%"
,Oil,11 344,9 940,10 693,"-12,4%","7,6%"
,Gas,7 270,7 164,7 489,"-1,5%","4,5%"
,Biomass and waste, 231, 242, 269,"4,7%","11,2%"
,Industrial process,2 464,2 465,2 540,"0,0%","3,0%"
,,,,,,
,,Energy greenhouse gas emissions (Mt CO2eq),,,Growth rate (%),
,,2019,2020,2021,2019-20,2020-21
,GHG emissions,40 746,38 635,40 838,"-5,2%","5,7%"
,CO2 emissions,36 077,34 221,36 257,"-5,1%","6,0%"
,CO2 flared emissions, 283, 268, 281,"-5,1%","4,8%"
,CH4 emissions,4 115,3 893,4 031,"-5,4%","3,5%"
,N2O emissions, 271, 253, 268,"-6,6%","5,9%"
,,,,,,
,,,,,,
,Regional emissions summary,,,,,
,,,,,,
,,Energy and process CO2 emissions (Mt CO2),,,Growth rate (%),
,,2019,2020,2021,2019-20,2020-21
,United States,4 839,4 353,4 645,"-10,0%","6,7%"
,China,11 196,11 394,11 947,"1,8%","4,8%"
,India,2 463,2 296,2 541,"-6,8%","10,7%"
,European Union,2 783,2 529,2 717,"-9,1%","7,4%"
,Rest of the world,14 796,13 648,14 408,"-7,8%","5,6%"
,World,36 077,34 221,36 257,"-5,1%","6,0%"
,,,,,,
,,Energy greenhouse gas emissions (Mt CO2eq),,,Growth rate (%),
,,2019,2020,2021,2019-20,2020-21
,United States,5 454,4 909,5 212,"-10,0%","6,2%"
,China,12 053,12 267,12 861,"1,8%","4,8%"
,India,2 647,2 473,2 728,"-6,5%","10,3%"
,European Union,2 909,2 642,2 828,"-9,2%","7,0%"
,Rest of the world,17 685,16 344,17 211,"-7,6%","5,3%"
,World,40 746,38 635,40 838,"-5,2%","5,7%"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,NOTES:,,,,,
,,,,,,
,CO2 emissions = energy combustion related and industrial process CO2 emissions.,,,,,
,"GHG emissions = Energy sector greenhouse gas (GHG) emissions, including energy-related combustion, industrial process and flared CO2 emissions plus combustion, fugitive, flared and vented methane (CH4) and nitrous oxide (N2O) emissions from the energy and industry sectors.",,,,,
,CO2 emissions from international marine and aviation bunkers are included only at the World level.,,,,,
,Rounding may lead to minor differences between totals and the sum of their individual components.,,,,,
,,,,,,
,"For further information on data sources and methodology please refer to the section ""Data sources and method” in the article",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,IEA. All rights reserved.
