player_id,name,position,date_of_birth,nationality,shirt_number,team_id,team_name,competition_id
1230,Fábio,Goalkeeper,1980-09-30,Brazil,,1765,Fluminense FC,2013
44235,Vitor Eudes,Goalkeeper,1998-10-21,Brazil,,1765,Fluminense FC,2013
136654,Marcelo Pitaluga,Goalkeeper,2002-12-20,Brazil,,1765,Fluminense FC,2013
169278,Gustavo Ramalho,Goalkeeper,2002-09-16,Brazil,,1765,Fluminense FC,2013
291296,Lucas Emanuel,Goalkeeper,2008-05-25,Brazil,,1765,Fluminense FC,2013
1107,Samuel Xavier,Defence,1990-06-06,Brazil,,1765,Fluminense FC,2013
1215,Igor Rabello,Defence,1995-04-28,Brazil,,1765,Fluminense FC,2013
1546,Renê,Defence,1992-09-14,Brazil,,1765,Fluminense FC,2013
12594,Guga,Defence,1998-08-29,Brazil,,1765,Fluminense FC,2013
15929,Guilherme Arana,Defence,1997-04-14,Brazil,,1765,Fluminense FC,2013
97470,Ignácio,Defence,1996-12-01,Brazil,,1765,Fluminense FC,2013
98654,Juan Freytes,Defence,2000-01-11,Argentina,,1765,Fluminense FC,2013
221385,Julio Cesar,Defence,2006-11-06,Brazil,,1765,Fluminense FC,2013
250800,Jemmes,Defence,2000-04-09,Brazil,,1765,Fluminense FC,2013
274161,Davi Schuindt,Defence,2004-04-26,Brazil,,1765,Fluminense FC,2013
76,Ganso,Midfield,1989-10-12,Brazil,,1765,Fluminense FC,2013
1154,Alisson,Midfield,1993-06-25,Brazil,,1765,Fluminense FC,2013
8503,Otávio,Midfield,1994-05-04,Brazil,,1765,Fluminense FC,2013
23333,Yeferson Soteldo,Midfield,1997-06-30,Venezuela,,1765,Fluminense FC,2013
28561,David Terans,Midfield,1994-08-11,Uruguay,,1765,Fluminense FC,2013
61369,Nonato,Midfield,1998-03-03,Brazil,,1765,Fluminense FC,2013
76910,Luciano Acosta,Midfield,1994-05-31,Argentina,,1765,Fluminense FC,2013
77159,Jefferson Savarino,Midfield,1996-11-11,Venezuela,,1765,Fluminense FC,2013
104480,Julián Millán,Midfield,1998-03-27,Colombia,,1765,Fluminense FC,2013
145985,Hércules,Midfield,2000-10-20,Brazil,,1765,Fluminense FC,2013
179177,Martinelli,Midfield,2001-10-05,Brazil,,1765,Fluminense FC,2013
203305,João Pedro,Midfield,2005-07-15,Brazil,,1765,Fluminense FC,2013
245200,Facundo Bernal,Midfield,2003-08-21,Uruguay,,1765,Fluminense FC,2013
274154,Kaio,Midfield,2007-02-19,Brazil,,1765,Fluminense FC,2013
274160,Breno,Midfield,2007-03-24,Brazil,,1765,Fluminense FC,2013
274164,Davi Melo,Midfield,2005-11-20,Brazil,,1765,Fluminense FC,2013
278022,Vagno,Midfield,2007-09-26,Brazil,,1765,Fluminense FC,2013
291284,Naarã Teixeira,Midfield,2008-01-12,Brazil,,1765,Fluminense FC,2013
21689,Hulk,Offence,1986-07-25,Brazil,,1765,Fluminense FC,2013
21951,Germán Cano,Offence,1988-02-02,Argentina,,1765,Fluminense FC,2013
28614,Agustín Canobbio,Offence,1998-10-01,Uruguay,,1765,Fluminense FC,2013
178998,Yago,Offence,2001-08-02,Brazil,,1765,Fluminense FC,2013
181336,Kevin Serna,Offence,1997-12-22,Colombia,,1765,Fluminense FC,2013
191363,Rodrigo Castillo,Offence,1999-02-26,Argentina,,1765,Fluminense FC,2013
203321,Agner Moura,Offence,2005-03-22,Brazil,,1765,Fluminense FC,2013
221342,Matheus Reis,Offence,2007-04-02,Mexico,,1765,Fluminense FC,2013
273195,Riquelme Felipe,Offence,2007-03-13,Brazil,,1765,Fluminense FC,2013
274162,Oliver,Offence,2007-05-11,Brazil,,1765,Fluminense FC,2013
278023,Keven Samuel,Offence,2007-01-26,Brazil,,1765,Fluminense FC,2013
278024,Wesley Natã,Offence,2008-04-18,Brazil,,1765,Fluminense FC,2013
278025,Kelwin,Offence,2006-03-24,Brazil,,1765,Fluminense FC,2013
157533,John Kennedy,Centre-Forward,2002-05-18,Brazil,,1765,Fluminense FC,2013
1695,Everson,Goalkeeper,1990-07-22,Brazil,,1766,CA Mineiro,2013
178929,Gabriel Delfim,Goalkeeper,2002-07-10,Brazil,,1766,CA Mineiro,2013
