area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,FAOSTAT_3,total_fertilizers,44500,48600,45800,40000,,,5000,5000,7000,5000,5000,18400,24526.53,27035.26,33169.37,29774.39,24869.52,16377.29,14432.03,14712.11,13854.86,29816.2,18523.47,38011.93,79000.86,103464.68,105733.85,157464.02,135243.27,85453.83,68225.78,40730.94
AGO,FAOSTAT_4,total_fertilizers,9500,6900,9100,8000,10000,8000,6000,2000,3400,3400,1400,,5143,5903,14855,7460,12078,11237,28080,21889,34563,56324,41717.43,45393.39,45371,39436.84,35482.22,52305.94,38053.73,35676.95,42134.53,30125.63
AGO,FAOSTAT_5,total_pesticides_use,64,79,23,169,25.5,336,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
ALB,FAOSTAT_6,total_fertilizers,102000,31300,23500,17890,14770,11000,6500,5200,25000,10600,18700,18700,56404,57406.71,58555.64,60457.92,50108.64,51106.74,47158.94,55040.42,53224.98,60604.12,57614.41,54410.38,54410.3,66327,78243.7,61082.86,40706.52,57607.99,60816.34,
ALB,FAOSTAT_7,total_pesticides_use,121,121,121,121,201,251,262.4,273.79,285.19,296.59,307.98,319.38,330.78,342.17,353.57,364.97,376.36,387.76,399.16,410.55,590.5,582.68,361.62,450.6,457.47,538.24,584.49,614.91,442.35,729.67,756.51,756.51
AND,FAOSTAT_8,total_pesticides_use,14.12,14.12,14.12,14.12,14.12,12.82,12.33,14.17,15.4,15.12,18.55,18,18.43,11.74,11.79,12.4,14.58,15.01,14.93,13.39,12.72,13.44,13.68,17.26,15.42,16.27,13.37,13.9,13.17,12.89,12.89,12.89
ARE,FAOSTAT_9,total_fertilizers,12500,17470,22300,27700,29400,32000,32200,32300,35400,36200,35100,35000,48360,48360,48360,45360,42220,41950,41210,31090,37310,40590,31470,38770,27682.89,31528.29,31528.29,31528.29,31528.29,31528.29,31528.29,31528.29
ARG,FAOSTAT_10,total_fertilizers,165500,167300,248200,293900,462000,524700,855200,809600,775500,823500,862983,861991,842378,1200310,1394388,1197545,1443348,1794570,1241715,788194,1488126,1617843,1372564,1428027,1379654.32,1069248.59,1612290.23,1658455.24,1890880.06,2075931.76,2317177.05,2624506.53
ARG,FAOSTAT_11,total_pesticides_use,26156,26156,26156,26156,30195,37842,54595,77691,62397,73293.04,84189.08,95085.12,105981.16,116877.2,127773.24,138669.28,149565.32,186790.19,203369.34,140094.8,235739.1,220610.04,216308.7,212007.35,207706,203807,199908,196009,172928,204559,241294.18,241519.98
ARM,FAOSTAT_12,total_fertilizers,,,25000,15000,7000,7000,8000,8000,9620,6158,7000,5000,15708,10464,14401,10325,57900.5,26820,24390.3,39547.4,29625.6,36366.3,58026.6,59192.6,53113.1,65039.5,147530.9,90339.3,90339.3,90339.3,90339.3,90339.3
ARM,FAOSTAT_13,total_pesticides_use,,,8,8,23,23.9,32,41.46,50.92,60.38,69.85,79.31,88.77,98.23,204.77,220.51,227.55,241.71,218.2,198.36,278.72,320.67,362.62,404.57,446.52,488.47,530.42,572.37,614.32,527.33,639.15,914.03
ATG,FAOSTAT_14,total_fertilizers,,,,,,,,,,,,,52,109,30,24,18,2,14,53,12,13,39.39,50.12,31.81,21.06,72.85,21.05,13.87,41.09,34.94,33.33
ATG,FAOSTAT_15,total_pesticides_use,289.45,289.45,289.45,289.45,289.45,289.45,289.45,289.45,289.45,265.94,260.2,272.21,325.49,378.77,432.05,410.49,347.26,291.81,318.99,379.81,341.78,781.95,694.16,685.08,174.47,175.93,180.2,182.95,199.69,208.22,216.06,216.06
AUS,FAOSTAT_16,total_fertilizers,1168557.14,1290312.31,1424472.65,1517963.67,1733243.93,1875501.26,2024174.5,2193249.74,2258722.78,2361860.67,2284299.16,2472969.49,2265940.25,2173753.46,2432276.91,2215978,2073872.57,2065702.1,1873821.79,1653681.38,1971550.96,2158904.74,2196325.83,2273989.5,2544376.31,2470711.37,2677682.25,2746921.84,2659740.28,2583112.36,2583112.36,2583112.36
AUS,FAOSTAT_17,total_pesticides_use,17866.42,17866.42,22234.95,23899.03,21056.8,25598.59,31185.06,34091.5,37215.09,34200,33475.48,32709.51,26650.16,32417.57,36276.68,34310.35,35901.27,32446.24,42935.38,38065.69,42169.39,47632.98,48687.88,45177.19,49857.35,50921.6,63416.48,60201.36,63416.48,63416.48,63416.48,63416.48
AUT,FAOSTAT_18,total_fertilizers,303300,288700,267000,262000,250000,237000,237336,263361,246338,232711,225433,218214,224822,189642,189678,181842,179409,187187,228873,118321,136116,180464,156397,177237,176905,200193.9,185264.17,187422.15,176710.1,157087.3,182807.83,169676.76
AUT,FAOSTAT_19,total_pesticides_use,4246,4487,3897,3984,3619,3402,3565,3689.6,3340.3,3418.6,3563.2,3132.2,3079.2,3384.9,3301.7,3404,3415.7,3526.6,4246.7,3531.8,3692.4,3441.5,3563.3,3108.6,3380.7,3787.1,3662,4656,5295,4963,5595,5862
AZE,FAOSTAT_20,total_fertilizers,,,75000,54000,39000,39000,16600,23700,15800,13800,4100,11900,19170,14050,22042,24626,24561,19722,38948,25133,18756,29369,36184.31,38433.71,61170.3,98757,88385,76813,127300.36,158439,220587.23,220587.23
AZE,FAOSTAT_21,total_pesticides_use,,,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,262.99,316.18,333.85,461.84,516.35,489.8,531.84,529.69,542.82,542.82,542.82,542.82,542.82,542.82
BDI,FAOSTAT_22,total_fertilizers,2100,2100,5201,3844,3100,3000,2800,1000,3615,3970,3500,3500,1325,301,1095,3390,3009,1716,1954,1768,3446,5635,6375.16,11161.75,12978.17,10003.5,17299.57,21301.95,28537.11,24224.44,24224.44,24224.44
BDI,FAOSTAT_23,total_pesticides_use,92.08,92.08,92.08,96.99,84.45,144.2,207.1,117.56,107.29,150.24,109.87,72.56,98.1,263.7,508.26,304.83,190.51,412.66,456.44,177.75,264.53,75.64,98.59,956.06,74.49,72.74,50.26,50.26,50.26,50.26,50.26,50.26
BEL,FAOSTAT_24,total_fertilizers,,,,,,,,,,,,,271417,283417,283316,280211,274382,281139,189468,236892,271005,262190,263827,262231,248393,253394,233630.86,225499.08,226747.07,227938.24,224041.53,230006.28
BEL,FAOSTAT_25,total_pesticides_use,,,,,,,,,,,9560.49,8529.07,9204,8822,9186,9776,8244.02,6712.05,6516.47,5496.04,4644.53,6297.22,6584.48,6336.49,7179.97,6480.36,6579.06,6248.62,6357.33,5944.14,5835.12,5709.67
BEN,FAOSTAT_26,total_fertilizers,11003,11817,15325,17238,17055,36000,30681,38968,37707,56700,35200,31100,41735,2126,145,1226,33,614,801,16360,22835,11100,26755.09,13506.15,21833.68,359.73,27858.11,45.91,102599.71,155298.28,112593.76,113976.85
BEN,FAOSTAT_27,total_pesticides_use,1378.13,1378.13,1333.52,1183.56,1598.51,1712.27,1635.17,933.06,1019.31,1032.69,1014.81,748.58,777.24,766.28,619.55,582.98,895.21,1610.01,1948.96,2259.94,2092.91,2080.63,1691.82,1422.57,1452.14,1525.17,1583.06,1745.25,3396.57,4315.02,4370.11,3402
BFA,FAOSTAT_28,total_fertilizers,21166,20686,21336,21000,22651,24308,24095,42577,50232,43400,33923,1671,2010,52996,57687,74694,63000,49495,57207,53876,56571,61004,81401.83,95856.94,95284.54,97724.36,130641.1,109044.72,105431.81,57249.1,103086.86,72657.44
BFA,FAOSTAT_29,total_pesticides_use,513.89,513.89,513.89,513.89,513.89,498.52,661.12,913.74,1170.7,1023.49,750.45,558.5,762.42,1060.24,1386.94,1580.79,1808.87,1759.35,1528.07,1166.27,1042.53,1059.25,1254.56,1560.01,1781.41,2046.39,2646.16,2938.25,3123.39,2793.45,2848.95,2832.85
BGD,FAOSTAT_30,total_fertilizers,933622,1004400,998762,945583,1049367,1195000,1230525,1109200,1170500,1365700,1320198,1449623,1556839,1318676,1389777,1564390,1522338,1441357,1561100,1472297,1659202,1963760,1997600,1954820,2141340,2311680,2246980,2356000,2475220,2517740,2567300,3115940
BGD,FAOSTAT_31,total_pesticides_use,1266,1287,1453,1487,1594.5,1702,1919,2035,2068,2532,3170,3334.84,4206.24,5462.81,6995.51,8090.88,9412.65,10915.12,12403.08,13755.78,13250.83,14798.28,13289.18,15330.16,15857.26,13364.42,14387.63,15144.49,15144.49,15144.49,15506.47,15506.47
BGR,FAOSTAT_32,total_fertilizers,684900,471583,236963,204939,225068,124000,192000,199829,169000,122606,151500,200082,381693,489569,267862,235538,231580,314699,343518,329073,309212,432518,318000,379692,379288,428191,482548,455782.15,458520.43,472183.94,486187.33,458771.93
BGR,FAOSTAT_33,total_pesticides_use,3906,3906,3906,3777.25,3648.5,3519.75,3391,3262.25,3133.5,3004.75,2876,2747.25,2618.5,2489.75,2361,2232.25,2103.5,1974.75,1846,1717.25,1588.5,1459.75,1331,1197,1001,1541.9,3759,3384,5067,6663,4220,4484
BHR,FAOSTAT_34,total_fertilizers,602,700,700,600,600,600,600,600,1128,433,346,300,1994.63,1994.63,1994.63,1994.63,1994.63,1350.36,2499.28,1376.53,2752.33,1994.63,3243.34,2747.48,2877.07,2162.17,651.92,728.65,1122.48,1737.99,2931.37,2931.37
BHR,FAOSTAT_35,total_pesticides_use,14.05,14.05,14.05,14.05,30.86,12.46,12.16,9.42,11.15,12.5,8.65,9.2,0.91,6.03,12.24,12.75,12.12,16.25,10.45,12.59,9.84,9.14,9.18,9.22,9.26,9.3,9.34,9.38,5.56,14.56,12.16,12.07
BHS,FAOSTAT_36,total_fertilizers,100,300,300,200,200,200,400,300,300,300,300,800,,,,,,,,,,,1240.78,1075.68,1219.55,1506.14,2182.84,2625.81,2788.8,1364.5,818.59,818.59
BHS,FAOSTAT_37,total_pesticides_use,242,257.1,252.46,313.9,375.34,335.15,437.63,536.93,536.29,554.09,461.09,629.38,547.49,498.67,393.78,436.07,375.45,454.09,243.45,97.41,87,144.36,158.5,111.38,118.48,178.05,178.05,178.05,178.05,178.05,178.05,178.05
BIH,FAOSTAT_38,total_fertilizers,,,,,,15000,9000,9000,47000,42000,41800,32600,32600,17957,59808.39,59032.81,43331.09,46079.46,59662.22,72566.97,81856,103895,121106.21,102550.04,120754.61,130701,110711,112867.47,87220.98,61264.51,83693.97,62518.1
BIH,FAOSTAT_39,total_pesticides_use,,,2276.82,2231.7,2213.13,2226.56,2201.19,2222.29,2158.88,2193.42,2193.39,2162.18,2184.52,2132.92,2163.83,2182.86,2161.42,2209.1,2197.5,2119.77,2135.13,2277.28,2267.39,2261.66,2276.56,2286.58,2369.33,2398.3,2454.3,2509.21,2723.4,2723.4
BLR,FAOSTAT_40,total_fertilizers,,,1395000,752000,540000,523000,777000,855000,925000,791000,805000,760000,763700,755300,815100,929400,1285100,1205100,1309600,1558500,1497000,1680200,1498594,1425190,1218623,1102475,833351,815790,892133,879118,1022922,952524
BLR,FAOSTAT_41,total_pesticides_use,,,2097.16,2097.16,2097.16,2097.16,2097.16,2097.16,1881.7,1822.95,1817.1,1962.61,1603.58,1919.86,2347.57,3646.91,3890.56,4235.1,3880.08,3874.87,3386.54,3078.92,2422.74,2229.08,1892.13,1463.89,1077.76,721.32,839.88,817.28,931.88,974.73
BLZ,FAOSTAT_42,total_fertilizers,5100,5200,5800,6400,4600,5000,3300,4800,5638,6095,6140,4700,25741,26766,5506,5670,6248,4261,3483,8865,4351,17603,10925.5,30350.6,29188.98,33659.49,36367.41,30009.11,37791.05,41380.15,39455.93,37814.44
BLZ,FAOSTAT_43,total_pesticides_use,771,696,997,1057.83,1118.67,1179.5,1240.33,1301.17,1362,1362,1296,1719,1529.27,1339.54,1149.81,960.08,770.35,674.46,984.03,788.61,700.39,826.58,638.28,1036.68,880.1,1067.18,1258.98,1217.14,1384.31,1062.59,1334.69,1123.03
BOL,FAOSTAT_44,total_fertilizers,5162,7752,13737,10155,10796,6769,9059,12555,5054,1940,7503,11529,13341,12916,18125,24636,15478,24556,20088,22962,31177,34778,35166.21,43796.73,40473.99,40560.63,33953.09,39571.55,35632,29616.78,48886.8,50403.7
BOL,FAOSTAT_45,total_pesticides_use,2468.03,1690.82,941,1299.88,1652.86,2005.84,2358.82,2711.8,3064.78,3417.76,3770.74,4123.72,4476.7,4829.68,6453.17,7145.93,7771.83,8426.9,8869.82,10280.78,12969.35,13839.18,14403.04,17070.92,16473.2,15962.09,16392.39,21654.91,21749.34,17909.76,19294.96,18306.98
BRA,FAOSTAT_46,total_fertilizers,3207800,3386800,3535540,4450000,5017800,4205900,5020000,5839900,5851100,5869772,6568000,6838000,7685196.21,8905665.74,10975249.62,8425089.3,9028448.81,11549175.6,10768013.79,7540435.57,10424767.72,13081009.13,12116475.02,14147326.89,15363337.57,12809826.43,13243632.77,15386626.26,16386486.87,16546145.71,20366564.09,21522499.98
BRA,FAOSTAT_47,total_pesticides_use,51120,58662,67358,76053,84748,93444,102139,110835,119530,128226,141130,152271,146264,183340,215779,233367,239892,305530,314191,337391,360735,408787,456839,472977,484254,497626,514829,514843,549280,620538,685746,719507
BRB,FAOSTAT_48,total_fertilizers,2700,2700,2700,2700,2700,3200,3200,3200,3000,3000,3000,3000,642,1116,2785,1418,1807,1737,1757,1001,1621,1059,1995.22,1268.9,720.1,972.52,796.63,1034.98,545.92,380.78,354.13,260.39
BRB,FAOSTAT_49,total_pesticides_use,550,550,550,550,514,664,475,168.46,168.48,168.49,168.51,168.52,168.54,168.55,168.57,168.58,168.6,168.62,168.63,168.65,168.66,168.68,168.69,168.71,168.72,168.74,168.75,168.77,168.79,168.8,168.82,68.4
BRN,FAOSTAT_50,total_fertilizers,,,,,,,,,,,,,672,204,303,617,132,1131,338,412,1727,470,454,223,709,709,709,709,709,709,709,709
BRN,FAOSTAT_51,total_pesticides_use,120.32,132.64,139.83,171.09,197.87,237.59,261.03,260.42,245.65,216.72,197.68,182.69,173.78,282.14,337.71,338.49,215.14,139.33,120.85,116.92,133.56,149.55,168.45,176.16,186.36,172,146.95,142.26,157.04,216.06,286.01,339.11
BTN,FAOSTAT_52,total_fertilizers,100,100,100,100,100,100,100,100,,,,,1083,1098,1169,1262,1153,1228,1166,2396,1010,1308,1070.94,1217.94,1422.91,1479.01,1406.91,1254.28,2000.69,1345.34,1345.34,1345.34
BTN,FAOSTAT_53,total_pesticides_use,4.03,4.55,4.54,3.4,24.51,29.24,32.37,2.01,2.35,2.44,3.22,2.55,1.88,5.16,6.64,2.09,5.93,7.05,5.82,5.68,6.56,9.07,7.44,5.4,3.38,10.81,25.62,27.64,37.58,34.53,34.53,34.53
BWA,FAOSTAT_54,total_fertilizers,900,900,900,1000,1000,2284,3341,3800,4248,4600,4600,4600,,,,,,,,15359,21530,9616,15628,22545,23253,17142.15,12180.85,8614.49,15116.66,13335.69,17210.6,15409.32
BWA,FAOSTAT_55,total_pesticides_use,351.35,331.02,313.04,257.23,209.38,171.46,176.61,192.72,227.33,287.21,374.1,435.96,434.11,380.01,315.72,328,407.82,434.32,429.15,377.28,390.32,425.21,457.36,481.63,469.23,615.39,739.07,940.45,869.9,984.42,1186.21,1428.99
CAF,FAOSTAT_56,total_fertilizers,940,900,1100,1200,300,300,300,300,600,600,600,600,78.77,0.32,129.92,245.08,428.03,604.1,399.28,406.06,539.67,800.51,507.31,259.06,10.79,613.21,404.37,336.18,337.9,425.95,429.23,429.23
CAF,FAOSTAT_57,total_pesticides_use,153.15,111,72.02,54.68,92.11,120.81,119.5,103.88,82.22,70.05,42.01,26.59,21.23,35.33,38.8,31,21.23,37.91,44.9,52.46,48.14,48.69,36.67,27.87,20.97,24.4,41.08,44.74,55.1,43.57,47.6,46.89
CAN,FAOSTAT_58,total_fertilizers,2073852,2173084,2261141,2359214,2394685,2567805,2696330,2726000,2649000,2689240,2445389,2474115,2635197,2685508,2481366,2798402,2120036,3065439,2830666,2726361,3002013,3612675,3911963.27,3646000,3885000,3995000,3825000,3921000,4326000,4125000,5024000,4823000
CAN,FAOSTAT_59,total_pesticides_use,29568,29477.5,29387,29296.5,29206,32234.97,35263.94,38292.91,41321.89,44350.86,39718.43,38501,34264.57,35628.14,36163.71,36382.29,36585.61,45146.45,53707.3,54529.4,61050,62107.2,73508.9,81659.8,76314,75318.3,90926,98304,87632,78893,92960,92960
CHE,FAOSTAT_60,total_fertilizers,167900,159000,152000,151000,145000,135000,125000,121000,120027,102000,88942,98332,80111,82751,87982,92599,93062,93476,92341,77477,88336,84397,67691.44,81970.42,83244.15,83238.87,84567.26,79592.17,74767.62,65174.17,70024.24,70071.29
CHE,FAOSTAT_61,total_pesticides_use,2282,2055.9,2018.7,1934.5,1922.5,1826.3,1746.3,1644.3,1563.6,1526.6,1576.9,1561.9,1526.6,1476.7,1390.7,1388.3,1359.04,2099.3,2237.36,2224.02,2148.48,2284.09,2231.91,2290.07,2245.45,2220.55,2158.17,2027.76,2051.98,1952.01,1928.59,2259.21
CHL,FAOSTAT_62,total_fertilizers,306682,306000,344000,385000,381000,405000,423000,435000,470000,475196,482000,474800,476027,485593,568711,473292,509481,604313,615981,540474,568699,491894,488978,518411,532147,595439,495014.73,454821.64,454350.8,431941.84,454490.61,471759.19
CHL,FAOSTAT_63,total_pesticides_use,3368.9,3356,3179.21,3175.15,3293.85,3678.63,4511.61,4903.7,4917.4,4578.98,4802.36,5125.77,5643.25,5549.18,5917.46,6429.07,6554.88,6537.68,6468.85,7013.69,6895.43,7027.68,7420.73,8059.78,8359.48,9651.25,11816.85,13564,13039.24,12943.95,14129.03,15822.2
CHN,FAOSTAT_64,total_fertilizers,27273700,29659100,29202000,25079300,28842000,35580200,35984000,35646700,35830000,36439000,34217868,35345643,40030306.47,39511799.3,42418044.94,45259876.72,45347730.86,46602615.48,45162717.37,46607753.03,51084980.9,52771038.83,53657857.06,53360000.59,55209645.04,55165789.95,53812381,52355141,49817383.11,43621022.95,41985563.73,40802031.44
CHN,FAOSTAT_65,total_pesticides_use,144459.52,144459.52,150858.55,159466.09,184722.44,205184.24,215339.63,225664.91,232498.09,249467.79,241520.91,240633.73,247523.54,250147.33,261624.06,275573.56,290145.99,306322.89,315666.6,322594.17,331881.25,337317.6,340922.95,341224.97,340394.42,336562.55,328540.17,312419.9,283822.46,262700,247844.43,233876.05
