area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CIV,FAOSTAT_66,total_fertilizers,37000,38700,37000,54000,65000,66000,70500,110000,90000,70600,67100,68700,86853,82167,76213,49785,63763,69571,52814,44392,93049,56268,78063.35,108983.98,122922.26,144575.03,154413.98,133873.66,105727.57,183765.67,159720.89,160587.72
CIV,FAOSTAT_67,total_pesticides_use,16,16,16,16,143,134,93,93.02,93.05,93.07,93.09,93.11,93.14,93.16,93.18,93.2,93.23,93.25,93.27,93.29,93.32,93.34,93.36,93.39,93.41,93.43,93.45,22.1,29.33,92.26,88.56,22.87
CMR,FAOSTAT_68,total_fertilizers,21800,18100,20900,22304,30000,30000,34000,39190,39533,49510,46084,52502,58221,48605,65934,47698,53859,51418,39102,41758,57282,68423,64081.55,62361.7,59650.42,84263.94,67602.46,80775.96,82989.04,82989.04,82989.04,82989.04
CMR,FAOSTAT_69,total_pesticides_use,2227.46,1503.69,1843.81,1245.32,646.84,48.35,180.08,630.12,258.02,653,545,687,2196.54,2249.74,2530.46,2259.41,2758.28,2824.64,2599.43,2323.15,3474.69,3968.89,4010.74,4536.15,5479.55,5838.14,4831.12,7068.63,7321.6,7321.6,7321.6,7321.6
COD,FAOSTAT_70,total_fertilizers,6200,8200,2300,4100,10404,9000,6000,,2954,742,800,1965,,1844,1395,454,3048,4253,6347,5413,7508,7073,5235.87,10262.49,20185.24,23597.45,17611.34,21173.77,25796.55,32968.52,28595.63,28595.63
COD,FAOSTAT_71,total_pesticides_use,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1105.73,1129.87,1113.59,1081.55,1045.34,1069.67,1129.86,1160.01
COG,FAOSTAT_72,total_fertilizers,1575,1400,2000,2000,1900,2000,4000,4000,5000,5000,5000,4625,,,1299,32,26,176,366,2289,276,697,1191.43,1610.12,1037.21,2272.58,1192.39,1269.98,2318.06,2341.13,5476.74,5360.69
COG,FAOSTAT_73,total_pesticides_use,40.91,47.89,65.35,104.42,156.44,204.98,238.89,259.86,280.83,301.79,322.76,343.72,364.69,385.66,406.62,427.59,448.55,424.38,462.82,480.21,598.78,652.53,769.99,858.06,802.96,691.46,499.65,463.12,471.07,579.28,724.2,804.59
COK,FAOSTAT_74,total_fertilizers,,,,,,,,,,,,,33,47,26,54,65,9,52,54,19,19,26.61,23.35,12.17,64.03,48.38,21.09,20.69,22.4,37.37,29.24
COK,FAOSTAT_75,total_pesticides_use,9.98,9.98,9.98,12.22,15,15.67,13.23,9.42,10.55,12.45,15.12,15.91,18.37,20.43,20.75,19.89,19.9,20.39,20.19,17.4,15.66,14.21,14.95,14.94,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93
COL,FAOSTAT_76,total_fertilizers,602300,601200,511400,514900,497800,486200,485000,556700,595900,585900,658200,619719,716155.56,758380.36,814692.6,744738.59,797882.99,790437.74,739770.35,657384.27,841767.81,925700.52,926638.69,899856.44,1080136.04,1041429.68,1086586.94,1208108.37,1149625.6,1075018.12,1229753.59,1226315.96
COL,FAOSTAT_77,total_pesticides_use,18058.29,16817,15305.94,14961.81,17051.34,20156.23,18131,16005,60687,66088,75843,85515.3,84023.26,88772.15,105514.19,117881.45,98328.63,82439.06,48538.97,51435.13,48618.46,53797,48727.73,54563.38,73744.34,33689.3,32392,37699,37773,69862,36711,39324
COM,FAOSTAT_78,total_fertilizers,,100,100,100,300,300,300,300,300,300,300,300,55.55,24.44,,,6.75,,25.47,23.55,16.56,,14.79,9.52,2.14,9.29,45.41,6.43,73.92,115.83,223.04,124.92
COM,FAOSTAT_79,total_pesticides_use,13.73,13.73,13.73,13.73,13.73,17.72,19.62,19.44,15.09,12.66,11.79,11.1,8.37,5.49,2.61,2.38,4.94,8.25,14.96,19.69,25.39,25.37,20.41,16.16,11.94,17.35,18.17,20.94,21.37,28.2,39.18,45.56
CPV,FAOSTAT_80,total_fertilizers,,,,,,,,102,114,187,129,243,,,,,,,,,,,,,,151.73,154.08,195.67,203.5,204.38,283.64,268.65
CPV,FAOSTAT_81,total_pesticides_use,1,1,1,1,2,0.68,0.5,1.74,7.03,11,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CRI,FAOSTAT_82,total_fertilizers,108600,116400,122800,107500,129000,122000,149200,191000,199000,184000,167000,117173,125838.31,193130.4,157722.77,143542.48,177548.43,171608.71,183141.98,84252.81,116846.49,163810.44,147396.02,136843.35,131434.41,158026.2,149709.24,160067.88,162065.51,154805.53,160512.5,144786.68
CRI,FAOSTAT_83,total_pesticides_use,1447.15,1447.15,1447.15,1447.15,1475.13,1503.12,2747.79,4104.66,7898,17029,14283,10704,11982.37,11334.74,11524.1,11309.47,11198.84,12746.56,13317,12306.67,14241.84,12811.25,12575.54,12339.82,12104.11,11868.4,11632.69,11396.97,10284.52,11866.02,14113.7,10758.66
CUB,FAOSTAT_84,total_fertilizers,580000,365000,249500,172000,124100,244000,235000,239400,169300,155500,130400,205900,141521.91,55869.95,60219.51,74577.16,108114.32,95663.34,130792.7,32860.52,125999.25,112710.94,136277.89,143144.57,169427.04,133786.1,99361.92,99610.66,74383.88,74383.88,74383.88,74383.88
CUB,FAOSTAT_85,total_pesticides_use,4188.73,4188.73,4188.73,4188.73,4188.73,4188.73,4188.73,4188.73,4188.73,3874.51,3656.65,3456.23,3118.26,2979.76,3115.18,3539.45,3667.88,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96,3504.96
CYP,FAOSTAT_86,total_fertilizers,22732,22144,28359,26213,26314,25575,25449,20339,20294,20183,14415,14707,15965,17722,14849,13404,12538,12060,9230,15768,16749,12701,16862,14660,12685,15544,16649.35,16488.11,16400.42,18098.37,16663.14,14786.93
CYP,FAOSTAT_87,total_pesticides_use,2184.51,1970.71,1695.53,2044.07,2518.2,2030.77,2417.19,2224.09,1731.13,1238.18,745.22,864.51,1060.57,796.43,717.3,678.16,861.02,534.89,477.75,728.61,632.48,1324.62,1266.21,1243.1,1203.71,1056.74,1142.13,1163.2,1187.4,1233.5,1201,1115.4
CZE,FAOSTAT_88,total_fertilizers,,,,306303,336700,347700,346700,314072,299884,268867,330723,394716,263742,295144,279818,287382,301864,320042,278198,281484,303927,318224,403039,403869,404854,478861,489191,455322,433112,411656,358256,367895
CZE,FAOSTAT_89,total_pesticides_use,,,,3545.1,3593.15,3757.2,3631.1,4085.03,4351.03,4242.02,4533.04,4649.12,4977.62,4590,5318.44,5384.76,5693.11,6194.49,5440,4759.9,4957.4,5306.06,5345.4,5146.98,4683.39,4472.87,4433,4433,4092,3908.2,3515.1,3461.1
DEU,FAOSTAT_90,total_fertilizers,3350700,2968658,2843851,2672215,2906436,2820946,2818925,2856819,2938428,3033160,2742776,2613413,2594893,2598369,2559567,2485044,2306976,2635171,1904141,2166995,2506576,2273908,2354038,2416417,2583830,2396137,2319996,2096816,1952990,2039392,1904055,1517184
DEU,FAOSTAT_91,total_pesticides_use,31289,32006,29542,25170,26330,30090,31683,30414,33377,30019,35273.17,33423.49,34431.72,35539.26,34930.37,36386.27,38540.15,40740.64,43413.01,39289.43,40832.42,44429.92,46204.26,44039.03,46777.65,48002.64,47027.57,48420.18,45079.86,45301.23,48332.97,49071.47
DJI,FAOSTAT_92,total_fertilizers,,,,,,,,,,,,,12.7,11.16,11.01,11.51,15.99,20.12,16.8,17.49,24.56,32.14,35.74,35.4,38.1,37.18,42.94,48.76,46.44,48.94,51.6,51.6
DJI,FAOSTAT_93,total_pesticides_use,20.51,20.47,20.39,20.28,20.16,20.04,19.93,19.81,19.69,19.58,19.46,19.34,19.23,19.11,18.99,18.88,18.76,18.65,18.53,18.45,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41
DMA,FAOSTAT_94,total_fertilizers,3400,5000,4600,4600,4400,3212,2739,3000,3000,3000,3000,3000,433,741,993,1039,671,1380,223,349,313,901,508.95,735.68,482.45,912.26,532.13,248.29,394.34,4813.56,432.74,438.54
DNK,FAOSTAT_95,total_fertilizers,633200,580600,507000,483000,466000,438000,449000,437000,412000,375000,349000,308668,293318,313116,328516,319757,325250,328402,354718,250194,275297,282009,259000,280781,300512,321895,329836.09,386280.23,322042.66,326045.26,343741.62,312589.18
DNK,FAOSTAT_96,total_pesticides_use,5650,4628,4566,4103,3922,5043,3672,3679,3623,2867,3174,3311,2868,2954,2899,3246,3212,3336,4145,2836,3894,4549.46,5959.04,4197.1,1821.89,2583.75,2586.88,2708.11,2647.13,2660.87,3168.46,2975.53
DOM,FAOSTAT_97,total_fertilizers,92291,94700,83900,78200,90700,94000,91900,108900,97800,93700,91695,97570,65907,42839,48522,47757,65983,77701,64319,64448,85605,75325,59571,63826,75786.62,117664.37,131537.84,132395.37,244277.72,136008.44,153451.45,142244.8
