Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,production_Agr_1,480000,420000,300000,470000,500000,530000,360000,300000,330000,240000,115000,160000,298000,210000,400000,315000,359000,360000,360000,300000,301000,300120,310000,312000,316000,316000,311646,173912,106670,184671,271776,264314,311000
AFG,production_Agr_10,51000,56000,58000,63000,68000,70000,84000,100000,120000,135000,110700,97000,123400,101000,115000,105000,110000,113000,112800,113000,112000,120000,118000,112600,108674.29,115470.19,112761.88,114208.27,115857.22,115342.86,118015.48,117163.51,118312.66
AFG,production_Agr_2,333000,335000,300000,300000,342000,390000,340000,400000,450000,280000,260000,242000,388000,434000,463000,485000,540000,552000,612000,645000,672000,672000,703000,764000,801500,612000,532200,505100,525500,570900,655400,622300,592000
AFG,production_Agr_4,1650000,1726000,1650000,1940000,2050000,2100000,2300000,2711000,2834000,2499000,1469000,1597000,2686000,3480000,2390000,4266000,3363000,4484000,2623000,5064000,4532000,3388000,5050000,5169235,5370259,4673040,4555110,4280776,3613300,4890000,5185000,4017657,3810000
AFG,production_Agr_5,86400,86400,86400,97200,113400,130000,143000,156000,171000,149000,126000,108000,150000,137000,149300,141100,117300,137000,133000,135000,131000,138000,139000,134000,120544.58,111438.28,107532.88,115754.24,96126.71,98096.31,91658.16,86716.51,81649.23
AFG,production_Agr_7,12400,12160,12000,11840,11600,12320,13040,14000,15040,14000,13200,13120,24000,28400,30800,32320,24400,17600,20800,20000,28000,25600,24800,26400,24809.32,24558.74,24297.68,27637.84,29315.76,28324.87,28168.87,28480.02,28790.74
AFG,production_Agr_8,20020,22100,24180,26000,28600,31200,31200,36400,42900,48100,48100,32500,46800,48100,49400,45500,44200,35100,41600,37700,44200,45500,44200,44200,44705.5,47794.12,44456.08,45649.31,46048.39,47126.48,46864.53,47212.41,47562.08
AFG,production_Agr_9,560000,600000,640000,765000,945000,1100000,1260000,1380000,1430000,1650000,1320000,800000,1600000,1480000,1508500,1458000,1374800,1434000,1390800,1413000,1401000,1403000,1507700,1495600,2100702.35,1855052.78,1848155.64,1765609.07,1828222.9,1850110.2,1871978.13,1899397.98,1945903.74
AFG,trade_export_1,,,,,,,,,,,,,,,,,,,,,,,,,,,64.74,,,,,,
AFG,trade_export_2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,,,,20.68,,
AFG,trade_export_3,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,709.5,0,,2.82,,
AFG,trade_export_4,,,,,,,,,,,,,,,,,,,,73,45,0,0,0,1735.98,133.5,4.01,,,,215,62.26,26.17
AFG,trade_export_5,,,,,,,,,,,,,,,,,,,,,,,,,6.83,32.89,,,,,0.09,0.84,
AFG,trade_export_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99,154,321.65,0.24,13.81,
AFG,trade_export_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,
AFG,trade_import_1,,,,,,,,,,,,,,,,,,,,,,,,,717.86,,72.55,,739,,103.17,75,17.17
AFG,trade_import_2,200000,122000,70000,170000,65500,101000,120000,140000,70000,165000,783000,720000,440000,211600,200389,245950,206827,273188,695629,637957,206145,220428,204801,222974,78730,176538.59,258472.69,728124,692468,457458.88,598254.11,575749.94,733011.93
AFG,trade_import_3,,,,,,,,,,,,,,,,,,,,,,,,,6,408.67,56.24,4192.42,3000,3260,10754.3,600,286
AFG,trade_import_4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,146,30,532,44,0,7589,0,2885,3874,655,32787.74,1166,7061.38,4424,16180.77,,2809,4585.83,8111.95
AFG,trade_import_5,,,,,,,,,,,144,286,1113,3488,9887,8209,23873,20420,23782,21692,24029,20888,8358,44167,30198,25587,38859,41291,33022,,15992.42,26038,
AFG,trade_import_6,0,135,650,0,100,150,0,0,0,30,25,45,1068,316,4933,23192,11135,11342,32316,23056,38591,51004,21750,48389,42300,41811,35473,28937,23913,14671.92,35617.12,32613.38,6902.31
AFG,trade_import_7,,,,,,,,,,,,,,,,,,,,,,1,0,1,12.62,25.66,3.22,,,,1.08,0.09,
AFG,trade_import_8,,,,,,,,,,,,,,,,,,,,,,,,,114.44,146.84,95.37,,133.96,,42.66,38.15,21.33
AGO,production_Agr_1,180000,299000,320000,275000,201000,211000,398158,369505,504662,428045,394607,428769,546860,618684,577000,734372,526084,615894,702387,970231,1072737,1262222,454343,1548750,1686869,1878305,2238456,2380522,2765316,2818684,2972177,2970208,3089902
AGO,production_Agr_2,3000,4000,4000,4000,21000,19000,14000,12000,10000,7402,5776,5335,4890,10831,13000,8650,3831,4635,8414,14291,17697,23209,21492,37608,42288,45322,24576,9426,9699,10102,10567,10514,10563
