Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,production_Agr_3,0,0,0,0,0,0,0,0,0,0,700,800,1000,1300,1800,2200,3000,7064,14711,5936,6087,7743,5898,10326,13762.85,14835,15740,36001,35266,37350,37961,37317,37374
AGO,production_Agr_4,2500,2560,2800,3000,3000,5000,5235.76,5503.12,6000,4000,4000,4000,4000,3937.08,3941.31,4000,4000,4000,4000,4000,4000,4000,3840.03,3214.34,2885.03,2978.24,2966.67,2915.75,2953.56,2945.33,2938.21,2945.7,2943.08
AGO,production_Agr_5,59000,60000,66000,68061,65000,55401,71000,77000,85000,84404,93806,94464,96202,96017,72250,84660,84862.99,91800,96900,97750,98600,100300,102000,105400,103853.68,102043.49,103615.87,107286.81,103051.01,106882.98,106444.53,107144.2,107859.65
AGO,production_Agr_6,23992,23000,24000,24500,25000,26000,28000,29000,29058,28600,29000,29900,34100,35750,39300,39900,44600,49800,55600,61900,69550,76700,84500,93600,103354.6,112702.01,122130.07,127229.28,129203.09,145034.8,128185.25,161514.5,169195.83
AGO,production_Agr_7,7110,7155,7200,7290,7290,7335,7380,7425,7470,7560,7740,7875,8010,8100,8280,7920,9000,10800,13140,15660,19080,22050,25650,29880,35036.12,39528.52,39517.77,40460.72,41476.19,49016.46,52230.56,55384.74,58532.79
AGO,production_Agr_8,4050,4500,4650,4950,5220,5694,6678,7740,8370,9000,9675,11250,12375,13500,13950,15000,15750,15900,16350,16800,17250,17775,18000,18750,19059.85,19289.1,19573.72,18345.44,18092.39,19417.7,19608.12,19835.3,20064.2
AGO,production_Agr_9,155601,152000,157000,152000,146000,147000,162000,175000,190000,191000,195000,181908.71,178738.09,175539.81,181729.66,202210.24,198000,200000,195500,158400,198644.22,184000,185500,187000,190000,215009.48,217865.35,214530.42,213824.62,220430.18,220853.23,222378.39,223902.03
AGO,trade_export_1,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,11.66,1.3,27.43,2.4,,0.31
AGO,trade_export_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,,2.27,563.31,0.5,0.5
AGO,trade_export_3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.5,4.42,,0.03,0.04
AGO,trade_export_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1141.8,703.43,94.89,362.32,19.3,22.92,25.17
AGO,trade_export_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,0,0,0.01,,0.61,2.73,0.08,1.69,1.4,,15.02
AGO,trade_export_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16.5,168.76,98.38,34.9,452.07,17.23,1.87,10.87
AGO,trade_export_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.04,,0.08
AGO,trade_export_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.01,30,0.45,,2.2,1.37,0.51,0.49
AGO,trade_import_1,,,,,,,,,,,,,,,,,,,,,,,,,393.54,18.88,19.3,196.68,72.35,1204.83,180.49,209.81,205.73
AGO,trade_import_2,40478,31500,37000,12500,17800,48500,46000,44000,52000,13000,26000,15100,25819,65942,73353,27334,27,1,1,0,1,18,13,11,16.36,138.75,110.14,168535.81,343270.66,323761.38,383294.24,554629.37,518692.99
AGO,trade_import_3,17000,500,7100,0,0,0,0,0,0,0,0,0,120,520,219,50,3016,1699,190,131,27,132,189,758,239.91,113.16,426.09,1053.29,230.7,2279.68,269.77,312.39,1716.17
AGO,trade_import_4,107000,92897,87000,98500,183000,165000,231000,97500,111000,85000,113900,170000,145000,146751,112000,85000,28675,7060,34265,39582,29066,18473,9616,37502,38504,56026,39616.21,48048.29,20337.72,57357.8,44909.37,49782.42,92234.6
AGO,trade_import_5,650,900,1400,1100,700,3300,3000,2200,2500,1200,1800,2000,3244,4030,3807,4446,5898,6275,8703,11485,14132,13853,21749,24809,34742.08,28181.48,30402.22,27642.3,30672.58,23754.18,16239.67,7626.62,13520.32
AGO,trade_import_6,15650,15000,23700,13000,7000,10500,8300,26700,34000,29000,47300,33966,77849,98826,85909,102812,128969,137543,170612,160770,238357,286761,301288,320249,364602.75,220537.9,203908.12,265888.3,322679.7,253768.53,214513.15,240448.8,308122.71
AGO,trade_import_7,,,,,,,,,,,,,,,,,,,,,,,,,102.93,106.83,130.53,63.2,7.21,67.32,64.38,13.31,35.77
AGO,trade_import_8,350,390,400,620,300,600,500,800,1800,570,1300,1300,1924,2409,3115,2992,5852,7420,10465,9485,10325,18625,12496,17863,19295,15405,29319,31861,12018,36309.74,34531.94,57795.86,57667.12
ALB,production_Agr_1,227000,128779,156063,175751,193261,215566,214059,194818,189130,206000,205700,198300,197300,206900,216200,219900,245400,215900,245000,265100,362000,366400,360000,372000,380000,380000,379714,381059,391104,388951,399125,414270.8,401419
ALB,production_Agr_10,52600,56800,70400,74700,82500,95500,79460,74103,67466,73000,71000,72000,63000,81000,72000,71000,71000,73000,68000,62000,64890,69010,69773,80340,81370,82400,87538,89450,88620,86480,82600,82580,78478.79
ALB,production_Agr_2,7000,2283,960,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,production_Agr_3,7000,2513,1457,671,130,158,274,226,149,1200,600,800,400,500,400,700,400,400,600,500,500,600,400,300,350,500,664,500,744,605,441,373,686
ALB,production_Agr_4,613000,297340,251862,464498,420000,405342,271150,388391,395067,272000,341100,282200,295300,259900,253400,260000,230900,249500,335000,333100,294900,292800,300000,294000,280000,275000,275000,274877,240294,233218,233430,225170.9,233145
ALB,production_Agr_5,22000,21100,23400,24300,28300,30800,32600,32500,32000,33700,35900,35300,37600,40000,39600,40800,48651,49775,39600,39000,40800,41200,41460,41820,38070,38556,38880,39017,38543.94,36709.36,32869.95,31712,29736.3
ALB,production_Agr_6,13300,9000,10600,12500,13550,13600,6360,6600,6500,6200,7800,7800,8600,8600,10100,11300,11250,12500,12500,12500,12500,13100,13260,13494,11900,11424,11424,11561,10316.72,10231.68,9002.01,9370,8500.8
ALB,production_Agr_7,6700,6300,2500,3300,3700,3900,3500,3700,5100,5000,4000,4000,6000,8000,9000,9000,10000,13000,16000,17000,17000,17100,16000,17000,12775,12905,12702,12912,15587.27,11633.32,12233.91,13250,16335.57
ALB,production_Agr_8,4000,4300,5400,5600,6500,3500,4850,4400,5500,6400,7200,7200,7200,7200,7900,7800,7350,9300,5800,6000,7600,7300,6912,6984,9158,9713,9731,9723,12617.21,8210.04,8142.59,7208,7771
ALB,production_Agr_9,421000,422900,486300,536700,647400,791200,894556,707200,721850,761000,807000,840000,878000,904000,917000,930000,956000,868000,895000,908000,957900,983650,985710,998070,993950,993030,1004250,1011990,1002730,974960,924270,885160,849690.26
ALB,trade_export_1,,,,,,,,,,69,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
ALB,trade_export_2,0,0,0,1700,0,0,0,0,138,81,6,0,0,42,0,0,0,469,99,0,0,87,0,52,,,741.08,,,,,,
ALB,trade_export_3,,,,,,,,,,,,,,17,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
ALB,trade_export_4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,49,5,5,12,25,20,8,,,,,,,,,
ALB,trade_export_5,,,,,,,,,,0,430,26,0,0,0,0,6,0,0,0,0,185,652,311,,,50.22,,,,,,128.61
ALB,trade_export_6,,,,,,,,,,,2,30,16,0,0,0,227,0,5,0,0,0,0,0,,,,,,,,,
ALB,trade_import_1,,,,,,,2295,161,466,4755,1419,3989,1178,127,122,195,62,370,33,3219,2791,955,484,100,,42.51,62.08,,,,6.55,,24
ALB,trade_import_2,129200,205000,422000,415000,37000,20000,242739,74799,59937,101464,190790,180373,246470,295633,354617,314972,327836,315626,284532,267257,270612,305944,272705,254225,268809,235833.19,207007.82,178363.04,194876.35,144425.67,239702.36,41349.44,88452.32
ALB,trade_import_3,,,,,,,7,109,20,28,4,82,48,30,248,23,36,0,0,0,21,0,0,0,,,,,,0.07,80.62,0.41,3.96
ALB,trade_import_4,25500,500,3200,0,4800,0,2423,8489,6034,24746,36800,42474,36481,31071,45460,51646,59782,77796,81665,63850,66319,47526,47675,64685,51494.93,64586.01,73505.18,65480.34,84834.03,89429.22,83401.95,69429.98,46303.92
ALB,trade_import_5,445,120,120,65,50,250,326,85,1192,442,964,1741,2450,3152,3909,2072,4034,6313,5140,6460,6101,6816,7555,8080,5650.24,6722.08,6555.16,7687.93,9035.83,10411.91,8594.1,11341.32,12998.94
ALB,trade_import_6,2900,3700,160,9650,11200,12500,48,1981,1085,17968,10119,17136,27496,20120,16917,16986,9184,13883,18412,17893,18668,22201,21101,21813,21180.91,21313.85,20301.03,17515.47,11587.51,19304.04,23503.19,21929.5,43124.46
ALB,trade_import_7,,,,,,,,,,,,1,0,0,0,58,0,2,0,10,0,0,0,0,,,,,,,,,5.72
ALB,trade_import_8,,,,,,,2291,554,4319,1038,7970,223,594,1158,859,865,1411,1627,1367,2055,1460,2186,1375,2384,,708.5,667.13,1155.37,488.96,221.06,2588.39,1575.99,632.59
ARE,production_Agr_1,3551.28,3547.62,3600.49,3727.44,3900,4000,4100,4200,3948.68,3834.85,3673.21,3483.89,3017.91,2357.56,2190.4,2132.96,2190.51,1733,2243,3278,5226,4590.17,3779,772,2580,3695,5988,17143,8169.54,26072.05,26405,23474.84,23031.27
ARE,production_Agr_10,15198,16262,17300,18618,19920,21314,22805,24401,26109,27937,29590,31359,33099,34839,35000,34277,36112,37930,41000,44200,32770,35690,42400,46660,53890,54230,56520,75430,72990,73210,81590,75930,76910
ARE,production_Agr_4,2877,2466,3179,765,1052,972,601,298,360,212,364,159,116,15,20,24,26,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,production_Agr_5,5385,5465,5600,6312.5,8250,10875,6750,7150,8125,7625,15325,8135,9207.5,20000,20500,7050,5000,7500,11250,14750,15000,15375,15750,16000,14880.99,18500.94,18666.02,18397.83,18020,18530,18090,18671.24,19601.15
ARE,production_Agr_7,15852,16500,16056,16596,22080,22470,29103.6,28016.4,26392.8,29250,27312,28128,28584,41028,34800,33600,28800,26400,36000,39600,40800,41400,45884,51683,51772,52863,53692,57387,47271,44930,54101,46494,52573
ARE,production_Agr_8,4320,4640,4960,5280,5600,19200,16000,20800,24000,24000,22400,24480,18400,16800,22400,16000,29352,24800,36800,37600,38080,38400,39200,39680,47457.83,49000,53000,55000,58291.08,58970.58,61147.91,64590.57,57294.21
ARE,production_Agr_9,5011,5362,5600,6000,6568,7028,7520,8046,8609,8700,9757,10341,10915,11488,11540,16282,17138,18038,20000,35000,31700,36490,45160,36880,40250,40780,41350,52740,51010,50920,55900,52610,53143.33
ARE,trade_export_1,,,,,,,,,,,,,,0,0,363,126,623,761,770,115,727,1537,1782,830.5,1627.11,598.79,256.08,974.68,446.07,1051.58,724.98,2558.3
ARE,trade_export_2,2711,603,191,1100,41,1113,227,7700,8700,85200,16000,29700,23031,77674,285822,2681,15321,2816,19696,245400,649933,29588,103198,52625,102028.48,35305.33,15073.39,48122,92051.92,78593.77,31483.36,87265,134572.1
ARE,trade_export_3,,,,,,,,,,,,,0,116,0,1160,6431,765,12,19,0,879,58,4863,584.79,299.36,265.09,1220.49,225.19,62.32,78.55,127.42,136.19
ARE,trade_export_4,1588,823,756,755,392,1503,500,4800,100,90,105500,107700,2070,4825,4360,11953,17277,12545,57363,44868,50000,2879,3583,8344,63834.85,48018.18,58731.84,40934,37009.19,43521.49,71929.21,35735.11,60421.56
ARE,trade_export_5,600,1969,168,249,535,159,12,1420,130,160,620,1450,4651,2380,6894,945,10125,564,500,15131,18758,15665,23291,25715,21133.47,25590.58,21922.27,34668,44220.02,49667.95,41585.52,39473.32,38769.82
ARE,trade_export_6,10837,7099,28623,26000,24000,16251,11248,16000,600,1200,130,320,7120,9784,12382,11317,10639,20360,18567,15528,15283,13883,18266,21805,25447.81,15060.18,18984.75,23131.16,36433.62,52327.58,62207.36,95862.89,94007.43
ARE,trade_export_7,,,,,,,,,,,,,15,108,346,96,456,347,158,158,158,255,473,1003,266.97,191.71,317.83,229.31,922.92,1027.5,437.02,595.4,506.07
ARE,trade_export_8,,,,,,,,,,,,,37,56,203,249,77,100,53,53,45,93,88,111,143.3,106.12,92.22,91.15,447.14,314.54,250.81,158.93,96
ARE,trade_import_1,,,,,,,,,,,,,2153,6889,376,1128,1870,4345,4701,5246,4134,171,1920,2436,791.92,147.55,77.24,78,561.78,1010.61,10264.48,5570.15,358.94
ARE,trade_import_2,106892,58769,75669,104695,263570,339277,294722,488000,793000,1200000,1043200,1100000,1074145,1241498,1091778,1576627,932179,738879,1053510,1324335,1143910,944421,1985153,1696580,1661925.56,895366.4,809958.28,975426,1237623.85,1263013.26,1400697.6,1410153.87,1664950.14
ARE,trade_import_3,0,0,0,0,0,0,0,0,0,0,0,0,30295,147891,315469,365650,376956,428064,274749,189500,3000,1109,159500,174300,96617.2,48759.2,34605,21575,45025.15,996.12,1175.35,1052.64,136749.9
ARE,trade_import_4,49330,32594,80073,70365,58302,78119,46716,69000,103000,49160,54147,340000,92403,78080,55025,157463,285766,333854,465511,317775,384816,303393,431701,474095,426740.76,546117.78,535060.94,635292,414666.31,452080.67,556537.81,656764.73,545960.58
ARE,trade_import_5,8000,8032,7128,7027,10387,2991,16027,5000,2300,5000,1700,3400,37482,13108,1492,1645,4500,3354,3965,3750,2373,2976,1494,77458,44023.05,32883.33,38483.95,64833,56092.71,42343.8,25075.34,21804.78,24943
ARE,trade_import_6,64600,61155,66787,75000,82169,99587,105267,100000,111000,116000,110900,131000,137802,168585,154926,170336,184939,240243,274446,311669,285569,319366,355847,355880,390712.31,526492.2,501819.51,440543.31,591186.03,669021.74,474939.04,835237.18,615447.94
ARE,trade_import_7,,,,,,,,,,,,,4580,7072,1897,7119,3685,7006,12039,4893,6640,9247,8574,8811,12659.79,15072.21,14810.03,15800.36,16457.69,16694.89,14296.08,18224.02,20494.91
ARE,trade_import_8,0,0,0,0,0,0,0,0,0,0,0,0,1871,3864,987,1422,1885,3003,4186,2306,2161,3374,1941,2987,9200.55,8822.37,9920.05,9589.74,10002.34,9276.91,16671.35,15560.12,16125.42
ARG,production_Agr_1,5400000,7684800,10700500,10901000,10360000,11404041,10518290,15536820,19360656,13504100,16780650,15359397,14712079,15044529,14950825,20482572,14445538,21755364,22016926,13121380,22663095,23799830,21196637,32119211,33087165,33817744,39792854,49475895,43462323,56860704,58395811,60525805,59037179
ARG,production_Agr_2,428100,347600,732700,608300,607600,926200,986000,1205140,1011135,1658200,903630,873183,709295,717630,1060083,956253,1193492,1080070,1245800,1334155,1243259,1748075,1567971,1563450,1581810,1558100,1404980,1328340,1367968,1189866,1222910,1453187,1222426
ARG,production_Agr_3,10700000,10862000,11310000,11045400,11719900,12133000,12448200,11004890,18732172,20000000,20135800,26880852,30000000,34818552,31576752,38289744,40537364,47482784,46238088,30993380,52675464,48888536,40100196,49306200,53397715,61446556,58799258,54971626,37787927,55263891,48780407,46217911,43861066
ARG,production_Agr_4,10055700,11036600,9998500,9995900,9736500,11406460,9542315,16106700,15086820,12600600,15478660,16146620,15427820,12399040,14710175,16139170,12721976,14662945,16486532,8508156,9016373,16067929,14683475,8134409,9188339,13930078,11314952,18395106,18518045,19459727,19776942,17644277,22150287
ARG,production_Agr_5,3007000,2918000,2784000,2808000,2783000,2688000,2694000,2712000,2469169,2719784,2718000,2461000,2493000,2658000,3024000,3130800,3033600,3223700,3131902,3378460,2630163,2498954,2595815,2821608,2674000,2727000,2644000,2844511,3066094,3135908,3168472,2981690,3133103
ARG,production_Agr_6,140548,141585,157230,230140,230340,211433,179589,160971,184041,214583,213965,197504,165292,149755,185300,215496,262173,276116,274355,288851,279102,300663,331000,416442,442025,483437,522428,566276,620549,629717,655381.88,695939,723380
ARG,production_Agr_7,321713,373549,448259,663135,706384,773735,749452,782391,889597,940390,957790,950652,699440,738212,866000,1010000,1159000,1244000,1400000,1501000,1598000,1779000,1903000,1921000,1934000,2093000,2055000,2116000,2068494,2203410.7,2219238.25,2294101.41,2319000
ARG,production_Agr_8,6600,6732,6929.44,7345.2,7879.74,7259.39,7259.38,7259.37,8896.03,9001.62,9002,9008.27,9239.29,9569.31,9569.37,9570,9569.36,9899.14,9898.89,9898.97,9899.05,9899.14,10102.68,10387.06,8380.77,8505.87,7347,7232.6,7540.75,7840.48,7356.88,6459.95,6004.38
ARG,production_Agr_9,6281980,6121000,6795320,7220093,8018087,8770717,9139815,9371790,9841926,10649200,10121330,9768725,8793400,8197480,9444070,9908941,10493569,9822337,10320318,10366290,10616743.54,11542448.83,11680200,11300130,11340197,12422725,10600967.49,10400401.93,10842363.56,10650132.74,11446583.21,11899905.14,11904142
ARG,trade_export_1,250,9208,65615,46986,12188,37468,28944,123268,113751,350410,201591.34,169709,126720,42002,47427,4511,1264,3423,7353,67866,90137,123796,28348,37081,43435.58,4640.97,15556.18,46073.63,31165,59680.4,,,
ARG,trade_export_2,5836660,5511124,6071943,5777230,5172297,6913286,3532042,8791336,10370581,8796526,11019021,10790517,9051610,6169213,9976599,10431146,9697359,9645491,8772264,5118007,4038997,8411136,11461359,2388934,1852411.34,4311206.53,10266234.05,13099132.92,11724765.36,10542597.82,10196930.53,9485175.01,12938182.07
ARG,trade_export_3,3214440,4431458,3117025,2428304,2909527,2549840,2055449,490065,2843302,3065436,4122890,7364885,6163391,8709581,6519806,9962112,7872864,11842537,11733589,4291705,13616013,10820030,6158407,7782681,7441733.63,11650221.45,8946957.55,7400919.6,3539907.28,10053802.18,6359763.73,4284452.89,5195178.01
ARG,trade_export_4,2997890,3897726,6092827,4870801,4153739,6000873,6424596,10979204,12442471,7889791,10846503,10934068,9483591,11912789,10692005,14643493,10399802,14990342,15383217,8535937,17546457,15805601,17855374,20069440,15895180.95,16729496.33,24504609.9,23706381.92,23178875.94,36075720.14,36881995.76,36911996.44,35409335.81
ARG,trade_export_5,180,264,60,190,6947,34328,36340,43245,22280,37840,23498.67,6731,10155,1902,7423,12735,15017,9212,22343,21543,17430,13446,5867,4263,3897.59,2422.57,1194.68,1517.77,415.02,505.31,2283.09,963.75,6024.13
ARG,trade_export_6,3107,2531,2452,1726,2765,7116,8380,16725,17067,15637,16616.07,17171,27389,40348,64669,111696,117835,151048,193159,209271,251019,266487,329124,365516,310197.93,212674.84,183347.33,204098.83,162443.43,230513.9,179460.36,156542.47,179621.83
ARG,trade_export_7,244,38,0,0,0,0,0,0,0,0,30.47,13,72,297,364,324,274,233,172,219,901,736,105,35,68.57,173.04,183.93,171.51,,189.37,,,272.73
ARG,trade_export_8,2755,484,67,61,23,253,3,45,23,0,0,0,0,0,0,0,0,0,478,75,0,0,0,0,27,,,857.59,5815.58,5891.76,10963.79,8778.36,
ARG,trade_import_1,172,662,557,579,808,539,531,237,178,87,7.15,13,14,543,267,268,129,177,75,163,119,99,370,183,84.25,193.87,54.84,74.81,186.51,224.6,185.69,23.18,213.12
ARG,trade_import_2,4003,13222,14025,55,17582,26428,116,36,77,261,101.65,142,211,16,295,147,23,69,524,18,9,9,18,151,10.25,12.98,2921.82,4.68,10.4,42.66,17.84,84.65,52.05
ARG,trade_import_3,42,33,506,42,257,116,536,779931,462928,294106,238303.9,328596,260674,338077,559438,747732,712440,2245391,2891771,823924,1895,12862,10114,4806,2226.67,565.56,853848.85,1897831.45,6443247.6,4547681.77,5317336.42,4866019.88,3310610.21
ARG,trade_import_4,784,1159,2421,1814,1383,4083,12717,26236,8972,4579,8297.54,5694,1832,2982,1865,2270,1399,4208,5894,3940,6912,5166,7258,2857,1800.81,2589.74,2169.67,11115.67,6741.4,5140.77,3857.06,5468.28,8217.97
ARG,trade_import_5,0,33809,57785,60995,40983,14038,29350,20696,4470,620,429.87,6216,168,32484,36997,3540,169,69,49,0,0,1,0,0,0.01,0.03,,0.08,2847.02,398.34,41.17,375.51,453.06
ARG,trade_import_6,1814,4334,42627,50541,56211,19837,29014,45891,62419,51256,41292.62,22941,487,7784,898,2001,2412,3496,2561,4027,7506,8711,2533,2176,666.37,666,5832.32,2097.23,6623.56,5088.79,5418.11,6856.16,10218.32
ARG,trade_import_7,,,,,,,,,,,,,,,,23,0,0,0,1,0,0,0,0,,,,,,,,,
ARG,trade_import_8,1363,8753,25392,25695,410,141,77,4723,5172,751,843.51,761,0,192,487,794,888,879,773,1044,1396,1390,644,452,,11.91,17.09,19.09,10.53,3.63,2.29,6.04,26.16
ARM,production_Agr_1,,,4195,3910,4900,4200,4381,9565,5738,11450,5915,9865,12156,15241,19322,14127,8421,18860,21172,15232,12751,19120,19131,20906,20158,21720,21026,10413,7615,4758,6466.8,6291.9,5154.1
ARM,production_Agr_10,,,200,200,200,1100,300,700,1000,1531,2063,2900,2415,2200,3109,5800,5900,6009,5438,4561,2900,3000,2981,3042,4100,4700,4500,4300,4000,4100,3900,3990,3700
ARM,production_Agr_2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,production_Agr_4,,,141483,217900,152900,153800,201400,183700,244300,214380,177762,241679,284670,216698,291556,258361,146544,254233,225734,198080,183464,224082,243130,311558,338158,362746,350369,176428,187453,112621,131951.2,97160.1,138612.8
ARM,production_Agr_5,,,32600,30400,28800,29700,33100,34800,34900,32000,30900,29413,29613,29921,33406,34400,40400,43300,49300,49600,48000,48200,47600,53600,59000,63600,68100,70800,68800,68100,68300,69400,65800
ARM,production_Agr_6,,,16800,4500,6100,4800,5600,5400,7200,8300,9100,8509,10310,11508,8505,9400,14100,13300,7500,7200,7900,9400,9500,12600,16200,17500,18000,16600,16300,16100,16200,15800,14900
ARM,production_Agr_7,,,9600,3200,3300,6800,4200,4000,4100,4300,3200,3608,4404,5010,4275,4600,5100,5800,6700,5000,5400,5700,8300,8200,8800,9500,9700,10600,12300,12400,12600,14600,11900
ARM,production_Agr_8,,,90,48,39.31,35.8,38.31,48.07,49.02,86.42,90.48,92.53,97.04,103.22,97.34,91.78,81.95,80.3,71.06,57.81,51.25,48.48,46.58,45.9,46.83,47.44,44.25,38.31,29.71,29.26,29.38,31.22,28.11
ARM,production_Agr_9,,,385600,388600,406000,418280,421000,415000,434500,443800,440337,450805,475113,498100,535831,557300,580300,600970,618730,573740,557293,558000,575000,604340,638100,663800,687400,693800,645700,615900,605400,647000,607000
ARM,trade_export_1,,,,,,,2,,,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.01,,,,,0.4
ARM,trade_export_2,,,,,,,,,,,,,9,21,0,3,0,0,15,0,0,22,0,0,161.76,882.19,15.55,82.39,8.8,15.32,64.07,2376.32,3588.93
