country,date,sector,value
"United Kingdom","01/01/2019","Domestic Aviation","0.00307635",
"United Kingdom","01/01/2019","Residential","0.318218",
"United Kingdom","01/01/2019","Power","0.142444",
"United States","01/01/2019","Industry","2.10137",
"United States","01/01/2019","Ground Transport","3.56233",
"United States","01/01/2019","International Aviation","0.178948",
"United States","01/01/2019","Domestic Aviation","0.363743",
"United States","01/01/2019","Residential","3.0694",
"United States","01/01/2019","Power","3.64276",
"WORLD","01/01/2019","Domestic Aviation","0.835127",
"WORLD","01/01/2019","Ground Transport","14.0955",
"WORLD","01/01/2019","Industry","29.6395",
"WORLD","01/01/2019","International Aviation","1.3868",
"WORLD","01/01/2019","Power","33.8013",
"WORLD","01/01/2019","Residential","17.5625",
"Brazil","02/01/2019","Industry","0.398329",
"Brazil","02/01/2019","Ground Transport","0.364679",
"Brazil","02/01/2019","International Aviation","0.0211425",
"Brazil","02/01/2019","Domestic Aviation","0.0271762",
"Brazil","02/01/2019","Residential","0.10755",
"Brazil","02/01/2019","Power","0.0614731",
"China","02/01/2019","Industry","11.5918",
"China","02/01/2019","Ground Transport","2.65219",
"China","02/01/2019","International Aviation","0.0892317",
"China","02/01/2019","Domestic Aviation","0.159149",
"China","02/01/2019","Residential","3.38188",
"China","02/01/2019","Power","12.8589",
"EU27 & UK","02/01/2019","Industry","1.81161",
"EU27 & UK","02/01/2019","Ground Transport","1.98829",
"EU27 & UK","02/01/2019","International Aviation","0.382861",
"EU27 & UK","02/01/2019","Domestic Aviation","0.0412529",
"EU27 & UK","02/01/2019","Residential","2.99699",
"EU27 & UK","02/01/2019","Power","2.39419",
"France","02/01/2019","Industry","0.179681",
"France","02/01/2019","Ground Transport","0.273844",
"France","02/01/2019","International Aviation","0.042688",
"France","02/01/2019","Domestic Aviation","0.0126146",
"France","02/01/2019","Residential","0.401653",
"France","02/01/2019","Power","0.121173",
"Germany","02/01/2019","Industry","0.324533",
"Germany","02/01/2019","Ground Transport","0.417455",
"Germany","02/01/2019","International Aviation","0.0688198",
"Germany","02/01/2019","Domestic Aviation","0.00428949",
"Germany","02/01/2019","Residential","0.712089",
"Germany","02/01/2019","Power","0.495638",
"India","02/01/2019","Industry","1.86346",
"India","02/01/2019","Ground Transport","0.759889",
"India","02/01/2019","International Aviation","0.00814136",
"India","02/01/2019","Domestic Aviation","0.0540853",
"India","02/01/2019","Residential","0.827307",
"India","02/01/2019","Power","3.44979",
"Italy","02/01/2019","Industry","0.164263",
"Italy","02/01/2019","Ground Transport","0.204287",
"Italy","02/01/2019","International Aviation","0.0272712",
"Italy","02/01/2019","Domestic Aviation","0.00619626",
"Italy","02/01/2019","Residential","0.46789",
"Italy","02/01/2019","Power","0.170181",
"Japan","02/01/2019","Industry","0.67971",
"Japan","02/01/2019","Ground Transport","0.466598",
"Japan","02/01/2019","International Aviation","0.0477728",
"Japan","02/01/2019","Domestic Aviation","0.0291201",
"Japan","02/01/2019","Residential","0.644129",
"Japan","02/01/2019","Power","0.972587",
"ROW","02/01/2019","Industry","11.4749",
"ROW","02/01/2019","Ground Transport","4.92022",
"ROW","02/01/2019","International Aviation","0.710158",
"ROW","02/01/2019","Domestic Aviation","0.173041",
"ROW","02/01/2019","Residential","5.40173",
"ROW","02/01/2019","Power","9.69096",
"Russia","02/01/2019","Industry","0.959196",
"Russia","02/01/2019","Ground Transport","0.483007",
"Russia","02/01/2019","International Aviation","0.0234692",
"Russia","02/01/2019","Domestic Aviation","0.0301089",
"Russia","02/01/2019","Residential","1.14653",
"Russia","02/01/2019","Power","2.35986",
"Spain","02/01/2019","Industry","0.188178",
"Spain","02/01/2019","Ground Transport","0.163251",
"Spain","02/01/2019","International Aviation","0.0453273",
"Spain","02/01/2019","Domestic Aviation","0.00843998",
"Spain","02/01/2019","Residential","0.171143",
"Spain","02/01/2019","Power","0.107103",
"United Kingdom","02/01/2019","Industry","0.250038",
"United Kingdom","02/01/2019","Ground Transport","0.24128",
"United Kingdom","02/01/2019","International Aviation","0.0842413",
"United Kingdom","02/01/2019","Domestic Aviation","0.0040527",
"United Kingdom","02/01/2019","Residential","0.394315",
"United Kingdom","02/01/2019","Power","0.279203",
"United States","02/01/2019","Industry","2.21008",
"United States","02/01/2019","Ground Transport","2.93036",
"United States","02/01/2019","International Aviation","0.190483",
"United States","02/01/2019","Domestic Aviation","0.436517",
"United States","02/01/2019","Residential","3.49866",
"United States","02/01/2019","Power","3.83122",
"WORLD","02/01/2019","Domestic Aviation","0.95045",
"WORLD","02/01/2019","Ground Transport","14.5652",
"WORLD","02/01/2019","Industry","30.9892",
"WORLD","02/01/2019","International Aviation","1.47326",
"WORLD","02/01/2019","Power","35.619",
"WORLD","02/01/2019","Residential","18.0048",
"Brazil","03/01/2019","Industry","0.382605",
"Brazil","03/01/2019","Ground Transport","0.447488",
"Brazil","03/01/2019","International Aviation","0.0224946",
"Brazil","03/01/2019","Domestic Aviation","0.0275087",
"Brazil","03/01/2019","Residential","0.10755",
"Brazil","03/01/2019","Power","0.0590463",
"China","03/01/2019","Industry","11.4118",
"China","03/01/2019","Ground Transport","2.64157",
"China","03/01/2019","International Aviation","0.0928204",
"China","03/01/2019","Domestic Aviation","0.155674",
"China","03/01/2019","Residential","3.12381",
"China","03/01/2019","Power","12.4478",
"EU27 & UK","03/01/2019","Industry","2.3251",
"EU27 & UK","03/01/2019","Ground Transport","2.53554",
"EU27 & UK","03/01/2019","International Aviation","0.39042",
"EU27 & UK","03/01/2019","Domestic Aviation","0.0420605",
"EU27 & UK","03/01/2019","Residential","3.31027",
"EU27 & UK","03/01/2019","Power","3.0728",
"France","03/01/2019","Industry","0.206178",
"France","03/01/2019","Ground Transport","0.334913",
"France","03/01/2019","International Aviation","0.0454866",
"France","03/01/2019","Domestic Aviation","0.012616",
"France","03/01/2019","Residential","0.460736",
"France","03/01/2019","Power","0.139041",
"Germany","03/01/2019","Industry","0.568338",
"Germany","03/01/2019","Ground Transport","0.442189",
"Germany","03/01/2019","International Aviation","0.0715098",
"Germany","03/01/2019","Domestic Aviation","0.00461542",
"Germany","03/01/2019","Residential","0.800222",
"Germany","03/01/2019","Power","0.867985",
"India","03/01/2019","Industry","1.88626",
"India","03/01/2019","Ground Transport","0.766687",
"India","03/01/2019","International Aviation","0.00808378",
"India","03/01/2019","Domestic Aviation","0.052319",
"India","03/01/2019","Residential","0.864015",
"India","03/01/2019","Power","3.49201",
"Italy","03/01/2019","Industry","0.175861",
"Italy","03/01/2019","Ground Transport","0.265339",
"Italy","03/01/2019","International Aviation","0.0259332",
"Italy","03/01/2019","Domestic Aviation","0.00621611",
"Italy","03/01/2019","Residential","0.537216",
"Italy","03/01/2019","Power","0.182197",
"Japan","03/01/2019","Industry","0.717403",
"Japan","03/01/2019","Ground Transport","0.485947",
"Japan","03/01/2019","International Aviation","0.0494511",
"Japan","03/01/2019","Domestic Aviation","0.0290405",
"Japan","03/01/2019","Residential","0.65399",
"Japan","03/01/2019","Power","1.02652",
"ROW","03/01/2019","Industry","12.3084",
"ROW","03/01/2019","Ground Transport","6.07041",
"ROW","03/01/2019","International Aviation","0.724664",
"ROW","03/01/2019","Domestic Aviation","0.176953",
"ROW","03/01/2019","Residential","5.25712",
"ROW","03/01/2019","Power","10.4111",
"Russia","03/01/2019","Industry","0.979738",
"Russia","03/01/2019","Ground Transport","0.505624",
"Russia","03/01/2019","International Aviation","0.0243832",
"Russia","03/01/2019","Domestic Aviation","0.0326437",
"Russia","03/01/2019","Residential","1.12975",
"Russia","03/01/2019","Power","2.4104",
"Spain","03/01/2019","Industry","0.229916",
"Spain","03/01/2019","Ground Transport","0.282338",
"Spain","03/01/2019","International Aviation","0.0430082",
"Spain","03/01/2019","Domestic Aviation","0.00804482",
"Spain","03/01/2019","Residential","0.177407",
"Spain","03/01/2019","Power","0.130858",
"United Kingdom","03/01/2019","Industry","0.293553",
"United Kingdom","03/01/2019","Ground Transport","0.308954",
"United Kingdom","03/01/2019","International Aviation","0.0876354",
"United Kingdom","03/01/2019","Domestic Aviation","0.00459256",
"United Kingdom","03/01/2019","Residential","0.40067",
"United Kingdom","03/01/2019","Power","0.327793",
"United States","03/01/2019","Industry","2.55799",
"United States","03/01/2019","Ground Transport","4.20054",
"United States","03/01/2019","International Aviation","0.203517",
"United States","03/01/2019","Domestic Aviation","0.46924",
"United States","03/01/2019","Residential","3.32089",
"United States","03/01/2019","Power","4.43431",
"WORLD","03/01/2019","Domestic Aviation","0.98544",
"WORLD","03/01/2019","Ground Transport","17.6538",
"WORLD","03/01/2019","Industry","32.5692",
"WORLD","03/01/2019","International Aviation","1.51583",
"WORLD","03/01/2019","Power","37.354",
"WORLD","03/01/2019","Residential","17.7674",
"Brazil","04/01/2019","Industry","0.345475",
"Brazil","04/01/2019","Ground Transport","0.473815",
"Brazil","04/01/2019","International Aviation","0.0217383",
"Brazil","04/01/2019","Domestic Aviation","0.0270286",
"Brazil","04/01/2019","Residential","0.107574",
"Brazil","04/01/2019","Power","0.0533162",
"China","04/01/2019","Industry","11.5905",
"China","04/01/2019","Ground Transport","2.68783",
"China","04/01/2019","International Aviation","0.0914054",
"China","04/01/2019","Domestic Aviation","0.156753",
"China","04/01/2019","Residential","3.08915",
"China","04/01/2019","Power","12.8915",
"EU27 & UK","04/01/2019","Industry","2.29118",
"EU27 & UK","04/01/2019","Ground Transport","2.59577",
"EU27 & UK","04/01/2019","International Aviation","0.401851",
"EU27 & UK","04/01/2019","Domestic Aviation","0.0437312",
"EU27 & UK","04/01/2019","Residential","3.32615",
"EU27 & UK","04/01/2019","Power","3.02797",
"France","04/01/2019","Industry","0.225814",
"France","04/01/2019","Ground Transport","0.345243",
"France","04/01/2019","International Aviation","0.0465548",
"France","04/01/2019","Domestic Aviation","0.0143706",
"France","04/01/2019","Residential","0.473751",
"France","04/01/2019","Power","0.152283",
"Germany","04/01/2019","Industry","0.503753",
"Germany","04/01/2019","Ground Transport","0.448282",
"Germany","04/01/2019","International Aviation","0.0737965",
"Germany","04/01/2019","Domestic Aviation","0.00434112",
"Germany","04/01/2019","Residential","0.739009",
"Germany","04/01/2019","Power","0.769349",
"India","04/01/2019","Industry","1.90738",
"India","04/01/2019","Ground Transport","0.767308",
"India","04/01/2019","International Aviation","0.00887517",
"India","04/01/2019","Domestic Aviation","0.053909",
"India","04/01/2019","Residential","0.870425",
"India","04/01/2019","Power","3.53111",
"Italy","04/01/2019","Industry","0.201393",
"Italy","04/01/2019","Ground Transport","0.271024",
"Italy","04/01/2019","International Aviation","0.0279764",
"Italy","04/01/2019","Domestic Aviation","0.00632765",
"Italy","04/01/2019","Residential","0.593848",
"Italy","04/01/2019","Power","0.208648",
"Japan","04/01/2019","Industry","0.762134",
"Japan","04/01/2019","Ground Transport","0.491588",
"Japan","04/01/2019","International Aviation","0.0487976",
"Japan","04/01/2019","Domestic Aviation","0.0288313",
"Japan","04/01/2019","Residential","0.575835",
"Japan","04/01/2019","Power","1.09053",
"ROW","04/01/2019","Industry","11.863",
"ROW","04/01/2019","Ground Transport","5.82715",
"ROW","04/01/2019","International Aviation","0.742718",
"ROW","04/01/2019","Domestic Aviation","0.174685",
"ROW","04/01/2019","Residential","5.28908",
"ROW","04/01/2019","Power","10.3815",
"Russia","04/01/2019","Industry","0.97282",
"Russia","04/01/2019","Ground Transport","0.508992",
"Russia","04/01/2019","International Aviation","0.0232279",
"Russia","04/01/2019","Domestic Aviation","0.0342409",
"Russia","04/01/2019","Residential","1.1787",
"Russia","04/01/2019","Power","2.39338",
"Spain","04/01/2019","Industry","0.262411",
"Spain","04/01/2019","Ground Transport","0.286276",
"Spain","04/01/2019","International Aviation","0.0440815",
"Spain","04/01/2019","Domestic Aviation","0.00815683",
"Spain","04/01/2019","Residential","0.181557",
"Spain","04/01/2019","Power","0.149353",
"United Kingdom","04/01/2019","Industry","0.271861",
"United Kingdom","04/01/2019","Ground Transport","0.311697",
"United Kingdom","04/01/2019","International Aviation","0.0893025",
"United Kingdom","04/01/2019","Domestic Aviation","0.00470269",
"United Kingdom","04/01/2019","Residential","0.412001",
"United Kingdom","04/01/2019","Power","0.303571",
"United States","04/01/2019","Industry","2.48077",
"United States","04/01/2019","Ground Transport","4.42641",
"United States","04/01/2019","International Aviation","0.203857",
"United States","04/01/2019","Domestic Aviation","0.456743",
"United States","04/01/2019","Residential","3.15347",
"United States","04/01/2019","Power","4.30045",
"WORLD","04/01/2019","Domestic Aviation","0.975921",
"WORLD","04/01/2019","Ground Transport","17.7789",
"WORLD","04/01/2019","Industry","32.2132",
"WORLD","04/01/2019","International Aviation","1.54247",
"WORLD","04/01/2019","Power","37.6697",
"WORLD","04/01/2019","Residential","17.5904",
"Brazil","05/01/2019","Industry","0.371316",
"Brazil","05/01/2019","Ground Transport","0.396624",
"Brazil","05/01/2019","International Aviation","0.0229007",
"Brazil","05/01/2019","Domestic Aviation","0.0253748",
"Brazil","05/01/2019","Residential","0.114354",
"Brazil","05/01/2019","Power","0.0573041",
"China","05/01/2019","Industry","12.044",
"China","05/01/2019","Ground Transport","2.62587",
"China","05/01/2019","International Aviation","0.101436",
"China","05/01/2019","Domestic Aviation","0.152596",
"China","05/01/2019","Residential","3.15757",
"China","05/01/2019","Power","12.8689",
"EU27 & UK","05/01/2019","Industry","1.95139",
"EU27 & UK","05/01/2019","Ground Transport","2.07529",
"EU27 & UK","05/01/2019","International Aviation","0.402782",
"EU27 & UK","05/01/2019","Domestic Aviation","0.0357934",
"EU27 & UK","05/01/2019","Residential","3.01765",
"EU27 & UK","05/01/2019","Power","2.57891",
"France","05/01/2019","Industry","0.232373",
"France","05/01/2019","Ground Transport","0.282152",
"France","05/01/2019","International Aviation","0.0472577",
"France","05/01/2019","Domestic Aviation","0.0129426",
"France","05/01/2019","Residential","0.449684",
"France","05/01/2019","Power","0.156706",
"Germany","05/01/2019","Industry","0.404009",
"Germany","05/01/2019","Ground Transport","0.412123",
"Germany","05/01/2019","International Aviation","0.0729778",
"Germany","05/01/2019","Domestic Aviation","0.00259233",
"Germany","05/01/2019","Residential","0.618136",
"Germany","05/01/2019","Power","0.617016",
"India","05/01/2019","Industry","1.92579",
"India","05/01/2019","Ground Transport","0.760242",
"India","05/01/2019","International Aviation","0.00827697",
"India","05/01/2019","Domestic Aviation","0.0529472",
"India","05/01/2019","Residential","0.745483",
"India","05/01/2019","Power","3.5652",
"Italy","05/01/2019","Industry","0.174675",
"Italy","05/01/2019","Ground Transport","0.228143",
"Italy","05/01/2019","International Aviation","0.0263379",
"Italy","05/01/2019","Domestic Aviation","0.00563972",
"Italy","05/01/2019","Residential","0.550354",
"Italy","05/01/2019","Power","0.180968",
"Japan","05/01/2019","Industry","0.782578",
"Japan","05/01/2019","Ground Transport","0.474678",
"Japan","05/01/2019","International Aviation","0.0494367",
"Japan","05/01/2019","Domestic Aviation","0.027808",
"Japan","05/01/2019","Residential","0.56271",
"Japan","05/01/2019","Power","1.11978",
"ROW","05/01/2019","Industry","11.9017",
"ROW","05/01/2019","Ground Transport","5.16723",
"ROW","05/01/2019","International Aviation","0.761415",
"ROW","05/01/2019","Domestic Aviation","0.159259",
"ROW","05/01/2019","Residential","5.23728",
"ROW","05/01/2019","Power","9.98547",
"Russia","05/01/2019","Industry","0.970962",
"Russia","05/01/2019","Ground Transport","0.566001",
"Russia","05/01/2019","International Aviation","0.0265925",
"Russia","05/01/2019","Domestic Aviation","0.0324217",
"Russia","05/01/2019","Residential","1.19011",
"Russia","05/01/2019","Power","2.38881",
"Spain","05/01/2019","Industry","0.203696",
"Spain","05/01/2019","Ground Transport","0.162589",
"Spain","05/01/2019","International Aviation","0.0497845",
"Spain","05/01/2019","Domestic Aviation","0.0070008",
"Spain","05/01/2019","Residential","0.179148",
"Spain","05/01/2019","Power","0.115935",
"United Kingdom","05/01/2019","Industry","0.22771",
"United Kingdom","05/01/2019","Ground Transport","0.266838",
"United Kingdom","05/01/2019","International Aviation","0.0887483",
"United Kingdom","05/01/2019","Domestic Aviation","0.00253857",
"United Kingdom","05/01/2019","Residential","0.372581",
"United Kingdom","05/01/2019","Power","0.254271",
"United States","05/01/2019","Industry","2.446",
"United States","05/01/2019","Ground Transport","3.67258",
"United States","05/01/2019","International Aviation","0.209391",
"United States","05/01/2019","Domestic Aviation","0.415185",
"United States","05/01/2019","Residential","2.99523",
"United States","05/01/2019","Power","4.24018",
"WORLD","05/01/2019","Domestic Aviation","0.901385",
"WORLD","05/01/2019","Ground Transport","15.7385",
"WORLD","05/01/2019","Industry","32.3937",
"WORLD","05/01/2019","International Aviation","1.58223",
"WORLD","05/01/2019","Power","36.8046",
"WORLD","05/01/2019","Residential","17.0204",
"Brazil","06/01/2019","Industry","0.373639",
"Brazil","06/01/2019","Ground Transport","0.280998",
"Brazil","06/01/2019","International Aviation","0.022408",
"Brazil","06/01/2019","Domestic Aviation","0.0242187",
"Brazil","06/01/2019","Residential","0.10755",
"Brazil","06/01/2019","Power","0.0576627",
"China","06/01/2019","Industry","12.0226",
"China","06/01/2019","Ground Transport","2.56183",
"China","06/01/2019","International Aviation","0.0980034",
"China","06/01/2019","Domestic Aviation","0.156295",
"China","06/01/2019","Residential","3.14689",
"China","06/01/2019","Power","12.9567",
"EU27 & UK","06/01/2019","Industry","2.05056",
"EU27 & UK","06/01/2019","Ground Transport","1.47251",
"EU27 & UK","06/01/2019","International Aviation","0.421595",
"EU27 & UK","06/01/2019","Domestic Aviation","0.0415078",
"EU27 & UK","06/01/2019","Residential","2.9677",
"EU27 & UK","06/01/2019","Power","2.70998",
"France","06/01/2019","Industry","0.220371",
"France","06/01/2019","Ground Transport","0.192528",
"France","06/01/2019","International Aviation","0.0506769",
"France","06/01/2019","Domestic Aviation","0.0135757",
"France","06/01/2019","Residential","0.428613",
"France","06/01/2019","Power","0.148613",
"Germany","06/01/2019","Industry","0.5102",
"Germany","06/01/2019","Ground Transport","0.248282",
"Germany","06/01/2019","International Aviation","0.0784537",
"Germany","06/01/2019","Domestic Aviation","0.00361804",
"Germany","06/01/2019","Residential","0.640024",
"Germany","06/01/2019","Power","0.779194",
"India","06/01/2019","Industry","1.91137",
"India","06/01/2019","Ground Transport","0.713754",
"India","06/01/2019","International Aviation","0.00871608",
"India","06/01/2019","Domestic Aviation","0.0526111",
"India","06/01/2019","Residential","0.722528",
"India","06/01/2019","Power","3.53849",
"Italy","06/01/2019","Industry","0.157325",
"Italy","06/01/2019","Ground Transport","0.170094",
"Italy","06/01/2019","International Aviation","0.0288887",
"Italy","06/01/2019","Domestic Aviation","0.00623928",
"Italy","06/01/2019","Residential","0.478792",
"Italy","06/01/2019","Power","0.162993",
"Japan","06/01/2019","Industry","0.846468",
"Japan","06/01/2019","Ground Transport","0.449908",
"Japan","06/01/2019","International Aviation","0.0488733",
"Japan","06/01/2019","Domestic Aviation","0.0286794",
"Japan","06/01/2019","Residential","0.654501",
"Japan","06/01/2019","Power","1.2112",
"ROW","06/01/2019","Industry","10.9692",
"ROW","06/01/2019","Ground Transport","4.07599",
"ROW","06/01/2019","International Aviation","0.777221",
"ROW","06/01/2019","Domestic Aviation","0.167224",
"ROW","06/01/2019","Residential","5.05164",
"ROW","06/01/2019","Power","9.50177",
"Russia","06/01/2019","Industry","0.980097",
"Russia","06/01/2019","Ground Transport","0.470624",
"Russia","06/01/2019","International Aviation","0.0246001",
"Russia","06/01/2019","Domestic Aviation","0.0314599",
"Russia","06/01/2019","Residential","1.23041",
"Russia","06/01/2019","Power","2.41129",
"Spain","06/01/2019","Industry","0.164222",
"Spain","06/01/2019","Ground Transport","0.119271",
"Spain","06/01/2019","International Aviation","0.0502873",
"Spain","06/01/2019","Domestic Aviation","0.00765835",
"Spain","06/01/2019","Residential","0.173303",
"Spain","06/01/2019","Power","0.093468",
"United Kingdom","06/01/2019","Industry","0.229554",
"United Kingdom","06/01/2019","Ground Transport","0.219267",
"United Kingdom","06/01/2019","International Aviation","0.091496",
"United Kingdom","06/01/2019","Domestic Aviation","0.00360866",
"United Kingdom","06/01/2019","Residential","0.321187",
"United Kingdom","06/01/2019","Power","0.256329",
"United States","06/01/2019","Industry","2.18897",
"United States","06/01/2019","Ground Transport","2.45232",
"United States","06/01/2019","International Aviation","0.213379",
"United States","06/01/2019","Domestic Aviation","0.397246",
"United States","06/01/2019","Residential","2.9156",
"United States","06/01/2019","Power","3.79461",
"WORLD","06/01/2019","Domestic Aviation","0.899242",
"WORLD","06/01/2019","Ground Transport","12.4779",
"WORLD","06/01/2019","Industry","31.3429",
"WORLD","06/01/2019","International Aviation","1.6148",
"WORLD","06/01/2019","Power","36.1817",
"WORLD","06/01/2019","Residential","16.7968",
"Brazil","07/01/2019","Industry","0.353645",
"Brazil","07/01/2019","Ground Transport","0.491076",
"Brazil","07/01/2019","International Aviation","0.0225915",
"Brazil","07/01/2019","Domestic Aviation","0.0273113",
"Brazil","07/01/2019","Residential","0.10755",
"Brazil","07/01/2019","Power","0.0545771",
"China","07/01/2019","Industry","11.5998",
"China","07/01/2019","Ground Transport","2.64586",
"China","07/01/2019","International Aviation","0.0916669",
"China","07/01/2019","Domestic Aviation","0.156247",
"China","07/01/2019","Residential","3.08939",
"China","07/01/2019","Power","12.8238",
"EU27 & UK","07/01/2019","Industry","2.26809",
"EU27 & UK","07/01/2019","Ground Transport","2.44805",
"EU27 & UK","07/01/2019","International Aviation","0.398681",
"EU27 & UK","07/01/2019","Domestic Aviation","0.0442728",
"EU27 & UK","07/01/2019","Residential","2.95281",
"EU27 & UK","07/01/2019","Power","2.99745",
"France","07/01/2019","Industry","0.222987",
"France","07/01/2019","Ground Transport","0.354557",
"France","07/01/2019","International Aviation","0.0456844",
"France","07/01/2019","Domestic Aviation","0.0139252",
"France","07/01/2019","Residential","0.400733",
"France","07/01/2019","Power","0.150377",
"Germany","07/01/2019","Industry","0.557999",
"Germany","07/01/2019","Ground Transport","0.487289",
"Germany","07/01/2019","International Aviation","0.0743394",
"Germany","07/01/2019","Domestic Aviation","0.00567611",
"Germany","07/01/2019","Residential","0.636608",
"Germany","07/01/2019","Power","0.852196",
"India","07/01/2019","Industry","1.81743",
"India","07/01/2019","Ground Transport","0.776116",
"India","07/01/2019","International Aviation","0.00753744",
"India","07/01/2019","Domestic Aviation","0.0538988",
"India","07/01/2019","Residential","0.790963",
"India","07/01/2019","Power","3.36459",
"Italy","07/01/2019","Industry","0.241245",
"Italy","07/01/2019","Ground Transport","0.226468",
"Italy","07/01/2019","International Aviation","0.0268275",
"Italy","07/01/2019","Domestic Aviation","0.00654846",
"Italy","07/01/2019","Residential","0.49731",
"Italy","07/01/2019","Power","0.249936",
"Japan","07/01/2019","Industry","0.949632",
"Japan","07/01/2019","Ground Transport","0.481881",
"Japan","07/01/2019","International Aviation","0.0488433",
"Japan","07/01/2019","Domestic Aviation","0.028014",
"Japan","07/01/2019","Residential","0.624434",
"Japan","07/01/2019","Power","1.35881",
"ROW","07/01/2019","Industry","11.8547",
"ROW","07/01/2019","Ground Transport","6.04154",
"ROW","07/01/2019","International Aviation","0.735582",
"ROW","07/01/2019","Domestic Aviation","0.171606",
"ROW","07/01/2019","Residential","5.15708",
"ROW","07/01/2019","Power","10.3732",
"Russia","07/01/2019","Industry","0.989187",
"Russia","07/01/2019","Ground Transport","0.477262",
"Russia","07/01/2019","International Aviation","0.022571",
"Russia","07/01/2019","Domestic Aviation","0.0342026",
"Russia","07/01/2019","Residential","1.2992",
"Russia","07/01/2019","Power","2.43365",
"Spain","07/01/2019","Industry","0.207436",
"Spain","07/01/2019","Ground Transport","0.139419",
"Spain","07/01/2019","International Aviation","0.0438612",
"Spain","07/01/2019","Domestic Aviation","0.00829772",
"Spain","07/01/2019","Residential","0.175241",
"Spain","07/01/2019","Power","0.118064",
"United Kingdom","07/01/2019","Industry","0.150389",
"United Kingdom","07/01/2019","Ground Transport","0.337159",
"United Kingdom","07/01/2019","International Aviation","0.087666",
"United Kingdom","07/01/2019","Domestic Aviation","0.00414981",
"United Kingdom","07/01/2019","Residential","0.289846",
"United Kingdom","07/01/2019","Power","0.16793",
"United States","07/01/2019","Industry","1.86554",
"United States","07/01/2019","Ground Transport","3.80813",
"United States","07/01/2019","International Aviation","0.204479",
"United States","07/01/2019","Domestic Aviation","0.421686",
"United States","07/01/2019","Residential","2.93172",
"United States","07/01/2019","Power","3.23395",
"WORLD","07/01/2019","Domestic Aviation","0.937239",
"WORLD","07/01/2019","Ground Transport","17.1699",
"WORLD","07/01/2019","Industry","31.698",
