country,date,sector,value
"Brazil","01/01/2019","Industry","0.337191",
"Brazil","01/01/2019","Ground Transport","0.21554",
"Brazil","01/01/2019","International Aviation","0.0200505",
"Brazil","01/01/2019","Domestic Aviation","0.0196797",
"Brazil","01/01/2019","Residential","0.10755",
"Brazil","01/01/2019","Power","0.0520378",
"China","01/01/2019","Industry","11.9659",
"China","01/01/2019","Ground Transport","2.63322",
"China","01/01/2019","International Aviation","0.090529",
"China","01/01/2019","Domestic Aviation","0.15699",
"China","01/01/2019","Residential","3.51944",
"China","01/01/2019","Power","13.0745",
"EU27 & UK","01/01/2019","Industry","1.19489",
"EU27 & UK","01/01/2019","Ground Transport","1.766",
"EU27 & UK","01/01/2019","International Aviation","0.328556",
"EU27 & UK","01/01/2019","Domestic Aviation","0.0336055",
"EU27 & UK","01/01/2019","Residential","2.62407",
"EU27 & UK","01/01/2019","Power","1.57914",
"France","01/01/2019","Industry","0.0872075",
"France","01/01/2019","Ground Transport","0.233798",
"France","01/01/2019","International Aviation","0.0408227",
"France","01/01/2019","Domestic Aviation","0.0114822",
"France","01/01/2019","Residential","0.367863",
"France","01/01/2019","Power","0.0588105",
"Germany","01/01/2019","Industry","0.1822",
"Germany","01/01/2019","Ground Transport","0.233287",
"Germany","01/01/2019","International Aviation","0.0522543",
"Germany","01/01/2019","Domestic Aviation","0.00304601",
"Germany","01/01/2019","Residential","0.568945",
"Germany","01/01/2019","Power","0.278262",
"India","01/01/2019","Industry","1.86944",
"India","01/01/2019","Ground Transport","0.743579",
"India","01/01/2019","International Aviation","0.00728578",
"India","01/01/2019","Domestic Aviation","0.0528666",
"India","01/01/2019","Residential","0.905767",
"India","01/01/2019","Power","3.46088",
"Italy","01/01/2019","Industry","0.115888",
"Italy","01/01/2019","Ground Transport","0.222612",
"Italy","01/01/2019","International Aviation","0.0223537",
"Italy","01/01/2019","Domestic Aviation","0.00444558",
"Italy","01/01/2019","Residential","0.460923",
"Italy","01/01/2019","Power","0.120063",
"Japan","01/01/2019","Industry","0.656905",
"Japan","01/01/2019","Ground Transport","0.484635",
"Japan","01/01/2019","International Aviation","0.0456645",
"Japan","01/01/2019","Domestic Aviation","0.0282329",
"Japan","01/01/2019","Residential","0.602347",
"Japan","01/01/2019","Power","0.939956",
"ROW","01/01/2019","Industry","10.5802",
"ROW","01/01/2019","Ground Transport","4.13672",
"ROW","01/01/2019","International Aviation","0.696403",
"ROW","01/01/2019","Domestic Aviation","0.161953",
"ROW","01/01/2019","Residential","5.52195",
"ROW","01/01/2019","Power","8.75539",
"Russia","01/01/2019","Industry","0.933495",
"Russia","01/01/2019","Ground Transport","0.553427",
"Russia","01/01/2019","International Aviation","0.019367",
"Russia","01/01/2019","Domestic Aviation","0.0180568",
"Russia","01/01/2019","Residential","1.21195",
"Russia","01/01/2019","Power","2.29663",
"Spain","01/01/2019","Industry","0.183461",
"Spain","01/01/2019","Ground Transport","0.210812",
"Spain","01/01/2019","International Aviation","0.0356185",
"Spain","01/01/2019","Domestic Aviation","0.00693828",
"Spain","01/01/2019","Residential","0.166479",
"Spain","01/01/2019","Power","0.104418",
"United Kingdom","01/01/2019","Industry","0.127565",
"United Kingdom","01/01/2019","Ground Transport","0.248642",
"United Kingdom","01/01/2019","International Aviation","0.0785244",
