Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2010,2020,2030,2040,2050,2060
GMM,Hard Rock,China,Electricity|Capacity by technology|Biomass w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Biomass w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,India,Electricity|Capacity by technology|Biomass w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,United States,Electricity|Capacity by technology|Biomass w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,World,Electricity|Capacity by technology|Biomass w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,China,Electricity|Capacity by technology|Biomass w/o CCS,GW,6,42,48,43,50,50
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Biomass w/o CCS,GW,30,46,38,41,47,53
GMM,Hard Rock,India,Electricity|Capacity by technology|Biomass w/o CCS,GW,3,13,13,22,28,56
GMM,Hard Rock,United States,Electricity|Capacity by technology|Biomass w/o CCS,GW,12,16,14,15,19,17
GMM,Hard Rock,World,Electricity|Capacity by technology|Biomass w/o CCS,GW,70,156,154,169,216,279
GMM,Hard Rock,China,Electricity|Capacity by technology|Coal w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Coal w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,India,Electricity|Capacity by technology|Coal w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,United States,Electricity|Capacity by technology|Coal w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,World,Electricity|Capacity by technology|Coal w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,China,Electricity|Capacity by technology|Coal w/o CCS,GW,671,871,824,934,702,552
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Coal w/o CCS,GW,270,245,171,117,59,47
GMM,Hard Rock,India,Electricity|Capacity by technology|Coal w/o CCS,GW,101,183,267,356,359,287
GMM,Hard Rock,United States,Electricity|Capacity by technology|Coal w/o CCS,GW,338,268,188,118,64,38
GMM,Hard Rock,World,Electricity|Capacity by technology|Coal w/o CCS,GW,1648,1855,1727,1823,1506,1268
GMM,Hard Rock,China,Electricity|Capacity by technology|Gas w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Gas w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,India,Electricity|Capacity by technology|Gas w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,United States,Electricity|Capacity by technology|Gas w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,World,Electricity|Capacity by technology|Gas w/ CCS,GW,0,0,0,0,0,0
GMM,Hard Rock,China,Electricity|Capacity by technology|Gas w/o CCS,GW,35,89,82,84,251,307
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Gas w/o CCS,GW,359,342,341,386,445,463
GMM,Hard Rock,India,Electricity|Capacity by technology|Gas w/o CCS,GW,21,54,61,87,135,246
GMM,Hard Rock,United States,Electricity|Capacity by technology|Gas w/o CCS,GW,424,531,545,571,638,661
GMM,Hard Rock,World,Electricity|Capacity by technology|Gas w/o CCS,GW,1440,1615,1617,1797,2242,2480
GMM,Hard Rock,China,Electricity|Capacity by technology|Geothermal,GW,0,1,1,2,4,5
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Geothermal,GW,2,1,1,1,1,1
GMM,Hard Rock,India,Electricity|Capacity by technology|Geothermal,GW,0,1,2,3,5,6
GMM,Hard Rock,United States,Electricity|Capacity by technology|Geothermal,GW,3,4,6,8,11,13
GMM,Hard Rock,World,Electricity|Capacity by technology|Geothermal,GW,11,14,20,31,46,62
GMM,Hard Rock,China,Electricity|Capacity by technology|Hydro,GW,213,347,379,408,433,473
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Hydro,GW,273,290,290,298,316,334
GMM,Hard Rock,India,Electricity|Capacity by technology|Hydro,GW,40,55,67,92,122,152
GMM,Hard Rock,United States,Electricity|Capacity by technology|Hydro,GW,101,104,104,106,108,111
GMM,Hard Rock,World,Electricity|Capacity by technology|Hydro,GW,1033,1285,1387,1534,1695,1863
GMM,Hard Rock,China,Electricity|Capacity by technology|Nuclear,GW,11,54,138,194,261,351
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Nuclear,GW,177,168,149,139,143,160
GMM,Hard Rock,India,Electricity|Capacity by technology|Nuclear,GW,5,9,25,48,75,111
GMM,Hard Rock,United States,Electricity|Capacity by technology|Nuclear,GW,106,102,97,101,104,108
GMM,Hard Rock,World,Electricity|Capacity by technology|Nuclear,GW,394,440,512,591,707,868
GMM,Hard Rock,China,Electricity|Capacity by technology|Oil w/o CCS,GW,15,7,5,2,2,1
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Oil w/o CCS,GW,90,57,31,13,11,5
GMM,Hard Rock,India,Electricity|Capacity by technology|Oil w/o CCS,GW,7,8,8,4,3,3
GMM,Hard Rock,United States,Electricity|Capacity by technology|Oil w/o CCS,GW,70,46,40,19,11,11
GMM,Hard Rock,World,Electricity|Capacity by technology|Oil w/o CCS,GW,435,328,211,136,108,90
GMM,Hard Rock,China,Electricity|Capacity by technology|Other,GW,0,0,0,0,0,0
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Other,GW,0,0,0,0,0,2
GMM,Hard Rock,India,Electricity|Capacity by technology|Other,GW,0,0,0,0,2,3
GMM,Hard Rock,United States,Electricity|Capacity by technology|Other,GW,0,0,0,2,3,3
GMM,Hard Rock,World,Electricity|Capacity by technology|Other,GW,0,0,7,10,18,25
GMM,Hard Rock,China,Electricity|Capacity by technology|Solar,GW,1,101,124,202,363,713
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Solar,GW,30,118,177,219,260,294
GMM,Hard Rock,India,Electricity|Capacity by technology|Solar,GW,0,27,70,152,274,446
GMM,Hard Rock,United States,Electricity|Capacity by technology|Solar,GW,3,49,66,89,143,232
GMM,Hard Rock,World,Electricity|Capacity by technology|Solar,GW,39,384,586,919,1473,2357
GMM,Hard Rock,China,Electricity|Capacity by technology|Total,GW,997,1689,1870,2260,2592,3159
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Total,GW,1318,1460,1403,1449,1558,1674
GMM,Hard Rock,India,Electricity|Capacity by technology|Total,GW,190,402,595,916,1228,1619
GMM,Hard Rock,United States,Electricity|Capacity by technology|Total,GW,1098,1227,1232,1239,1388,1578
GMM,Hard Rock,World,Electricity|Capacity by technology|Total,GW,5269,6677,7060,8186,9626,11514
GMM,Hard Rock,China,Electricity|Capacity by technology|Wind,GW,46,178,269,391,525,707
GMM,Hard Rock,Europe,Electricity|Capacity by technology|Wind,GW,86,193,206,238,274,315
GMM,Hard Rock,India,Electricity|Capacity by technology|Wind,GW,13,53,82,152,226,309
GMM,Hard Rock,United States,Electricity|Capacity by technology|Wind,GW,40,106,173,212,286,385
GMM,Hard Rock,World,Electricity|Capacity by technology|Wind,GW,198,600,839,1175,1615,2221
GMM,Hard Rock,China,Electricity|Generation by technology|Biomass w/ CCS,EJ/yr,0,0,0,0,0,0
GMM,Hard Rock,Europe,Electricity|Generation by technology|Biomass w/ CCS,EJ/yr,0,0,0,0,0,0
GMM,Hard Rock,India,Electricity|Generation by technology|Biomass w/ CCS,EJ/yr,0,0,0,0,0,0
GMM,Hard Rock,United States,Electricity|Generation by technology|Biomass w/ CCS,EJ/yr,0,0,0,0,0,0
