Model,Scenario,Region,ESP Indicator Name,Unit of Entry,1990,1995,2000,2005,2010,2011,2013,2015,2020,2030
UNFCCC Biennial Reports,Historical emissions (BR2),Australia,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"131,68503","121,68879","125,26469","120,6026","112,43909",,"111,81078",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Belarus,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"15,22424","11,72386","11,43001","13,12023","15,2267",,"16,48504",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Belgium,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"12,7878","12,74448","11,63982","9,81013","9,42776",,"8,87962",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Bulgaria,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"19,23035","12,49934","10,28358","9,23525","8,60945",,"12,49934",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Canada,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,100,138,124,124,117,,113,,,
UNFCCC Biennial Reports,Historical emissions (BR2),Croatia,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"6,95412","4,95949","4,45644","4,15624","4,03847",,"3,58293",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Czech Republic,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"21,18149","16,30441","13,6347","12,98943","12,76189","13,05592",,,,
UNFCCC Biennial Reports,Historical emissions (BR2),Denmark,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"7,816","8,156","7,865","7,582","7,219",,"6,913",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Estonia,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"1,87113","1,22764","1,22455","1,19468","1,16723",,"1,11579",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Finland,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"9,28673","8,92761","8,01211","6,87084","6,46993",,"6,05133",,,
UNFCCC Biennial Reports,Historical emissions (BR2),France,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"70,06569","74,32654","71,33923","65,02881","63,78375",,"60,45942",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Germany,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"119,74212","105,28835","89,95206","70,68176","60,35205",,"59,47509",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Hungary,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"12,54738","9,39883","9,37189","8,7858","8,26246",,"7,82591",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Iceland,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"0,4078","0,42823","0,44807","0,45057","0,4678","0,45267",,,,
UNFCCC Biennial Reports,Historical emissions (BR2),Ireland,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"15,35639","15,69678","15,02768","14,44993","13,57772",,"13,83195",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Italy,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"55,63966","54,40681","55,98063","50,71643","46,99216",,"44,27279",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Japan,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"48,65934","45,89516","41,57198","39,02918","38,32266",,"36,09986",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Kazakhstan,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"96,634","53,453","40,329","45,547","57,99",,"62,678",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Latvia,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"4,29965","2,6523","2,33918","2,279","2,2631",,"2,38507",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Liechtenstein,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"0,01911","0,01773","0,01676","0,01862","0,01926",,"0,0192",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Lithuania,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"6,95682","4,43753","3,82759","3,97218","3,75005",,"3,48156",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Luxembourg,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"0,6198","0,61049","0,60465","0,57728","0,59734",,"0,56336",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Malta,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"0,08696","0,13354","0,14917","0,16733","0,20927",,"0,10529",,,
UNFCCC Biennial Reports,Historical emissions (BR2),Monaco,Emissions|GHG Emissions by gas with LULUCF|CH4,Mt CO2e/yr,"0,00152","0,00098","0,00189","0,00212","0,00209",,"0,00263",,,
