Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Coal,GW,"8,359","8,858","9,439","9,634","9,559","9,636","9,565","9,495","9,422","9,351","9,279","9,208","9,15","9,09","9,021","8,982","8,942","8,904","8,87","8,836","8,804","8,784","8,77","8,764","8,762","8,764","8,773","8,766","8,774","8,791","8,846"
IEO,Reference,Middle East,Electricity|Capacity by technology|Coal,GW,"0,219","0,217","0,218","0,216","0,214","0,482","0,483","0,484","0,497","0,512","0,535","0,547","0,566","0,607","0,655","0,698","0,741","0,782","0,821","0,858","0,891","0,906","0,92","0,953","0,987","1,024","1,064","1,104","1,146","1,193","1,244"
IEO,Reference,Russia,Electricity|Capacity by technology|Coal,GW,"49,635","49,157","48,958","48,766","53,858","54,392","54,13","53,751","53,375","53,001","52,631","52,264","51,899","51,538","51,179","50,824","51,642","52,364","53,144","53,224","53,813","53,781","53,759","54,514","55,234","56,242","56,538","56,624","56,583","56,646","56,332"
IEO,Reference,South Korea,Electricity|Capacity by technology|Coal,GW,"29,007","27,545","30,925","31,743","33,268","35,374","38,658","39,418","39,181","38,945","38,811","38,579","38,349","38,121","37,894","37,893","37,999","37,778","37,559","37,581","37,664","37,858","38,123","38,375","38,619","38,872","39,167","39,484","39,874","40,357","40,95"
IEO,Reference,United States,Electricity|Capacity by technology|Coal,GW,313,"314,4","308,1","303,8","300,4",289,"269,3","266,6","264,8","263,2","262,9","262,3","262,1","262,1","262,1","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,3","260,4","260,4","260,4"
IEO,Reference,World,Electricity|Capacity by technology|Coal,GW,"1634,492","1715,199","1782,458","1822,704","1891,799","1920,131","1916,211","1928,174","1956,964","1950,72","1946,745","1945,547","1942,168","1944,179","1948,91","1947,126","1944,751","1942,859","1940,829","1936,284","1936,045","1936,776","1937,732","1939,685","1941,909","1945,672","1948,125","1951,475","1956,368","1961,678","1970,474"
IEO,Reference,Africa,Electricity|Capacity by technology|Gas,GW,"52,573","54,925","58,911","65,067","70,865","73,651","74,06","75,444","74,884","74,329","73,78","73,236","72,698","72,165","74,878","78,019","80,824","84,049","87,375","90,76","94,002","98,395","102,494","106,548","110,727","115,097","119,407","123,746","128,136","132,708","137,448"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Gas,GW,"19,015","19,619","20,661","20,662","20,849","20,647","20,497","21,05","21,103","21,512","21,895","22,662","23,458","24,131","24,775","25,484","26,181","26,803","27,518","28,271","29,072","29,852","30,785","31,743","32,852","34,025","35,253","36,563","37,97","39,336","40,675"
IEO,Reference,Brazil,Electricity|Capacity by technology|Gas,GW,"12,15","11,575","11,457","15,464","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701","16,701"
IEO,Reference,Canada,Electricity|Capacity by technology|Gas,GW,"21,637","20,397","20,472","20,537","20,338","21,141","20,942","21,025","22,085","23,973","24,965","25,499","26,45","28,436","28,252","29,614","30,492","31,593","32,549","35,091","35,882","36,774","37,614","38,524","39,502","41,12","42,828","43,541","44,251","45,26","46,295"
IEO,Reference,China,Electricity|Capacity by technology|Gas,GW,"36,421","38,61","41,243","50,746","56,674","58,419","60,799","68,765","68,372","70,533","73,77","80,353","86,071","94,423","101,892","107,181","109,533","112,454","115,693","118,452","123,93","130,484","137,302","143,099","149,529","156,126","162,271","168,323","175,112","180,905","185,942"
IEO,Reference,European Union,Electricity|Capacity by technology|Gas,GW,"231,466","237,654","243,532","249,649","253,144","251,766","251,323","248,984","246,668","246,333","244,064","242,141","243,005","245,163","246,573","249,163","252,023","254,909","257,985","261,055","263,865","266,404","268,922","271,659","274,449","277,734","283,379","289,134","295,174","301,241","307,597"
IEO,Reference,India,Electricity|Capacity by technology|Gas,GW,"23,222","24,815","24,199","23,978","26,524","26,287","26,052","25,819","25,589","25,361","25,136","24,912","24,691","24,643","26,215","26,701","27,198","27,935","28,774","29,646","31,321","33,415","35,169","36,741","38,31","39,919","41,211","42,44","43,421","44,158","44,832"
IEO,Reference,Japan,Electricity|Capacity by technology|Gas,GW,"80,697","82,919","86,102","89,016","91,178","92,151","88,759","87,932","87,113","88,39","89,083","91,455","93,064","94,583","95,537","96,056","96,815","96,925","97,127","97,313","97,403","97,994","98,546","99,117","99,589","100,812","101,033","101,912","103,202","103,93","103,889"
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Gas,GW,"32,541","32,49","32,443","33,029","32,707","32,389","32,557","32,697","33,888","35,583","37,781","39,981","42,807","45,49","47,699","48,787","49,665","50,661","51,768","52,905","54,092","55,543","56,989","58,486","60,036","61,67","63,061","64,538","66,151","67,651","69,195"
IEO,Reference,Middle East,Electricity|Capacity by technology|Gas,GW,"143,808","152,824","164,847","176,447","182,695","190,097","191,586","193,636","195,218","197,64","200,711","202,021","203,485","208,893","214,674","220,842","226,018","230,401","234,308","237,765","241,18","242,179","242,713","245,886","249,314","252,857","256,776","260,559","264,174","268,133","272,198"
IEO,Reference,Russia,Electricity|Capacity by technology|Gas,GW,"103,935","107,129","108,969","109,82","121,155","122,445","122,128","121,081","120,045","119,019","118,003","116,998","116,002","115,017","114,041","113,075","113,932","114,775","115,768","115,618","116,468","116,178","115,914","116,78","117,702","118,941","118,962","118,703","118,198","117,775","116,945"
IEO,Reference,South Korea,Electricity|Capacity by technology|Gas,GW,"26,587","26,244","29,585","31,734","36,784","37,754","37,592","38,107","37,826","37,548","37,489","37,216","36,945","36,678","36,413","36,911","37,831","37,574","37,32","37,904","38,514","39,542","40,644","41,767","42,862","43,913","44,996","46,106","47,077","48,06","48,939"
IEO,Reference,United States,Electricity|Capacity by technology|Gas,GW,"348,3","357,5","366,7","373,5",381,"384,2","388,4",398,"394,8","393,4","392,6","393,3","394,8","396,8","400,4","409,1","412,7","419,4","429,2","436,6","443,9","451,8",458,"464,9","472,3",481,"490,4","498,7","506,9","515,6",525
IEO,Reference,World,Electricity|Capacity by technology|Gas,GW,"1332,703","1369,803","1423,183","1482,356","1543,848","1565,862","1571,491","1588,73","1583,383","1590,739","1596,789","1607,788","1622,737","1651,277","1681,895","1716,908","1743,832","1772,913","1806,001","1836,876","1870,299","1905,191","1937,219","1972,823","2010,45","2052,113","2093,877","2133,808","2174,421","2213,562","2252,347"
IEO,Reference,Africa,Electricity|Capacity by technology|Geothermal,GW,"0,196","0,198","0,207","0,243","0,409","0,982","1,057","1,657","1,706","1,756","1,77","1,784","1,798","2,09","2,382","2,674","2,966","3,258","3,55","3,842","4,134","4,134","4,276","4,417","4,562","4,714","4,864","5,015","5,17","5,331","5,5"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Geothermal,GW,"0,732","0,732","0,749","0,849","1,015","1,202","1,261","1,449","1,636","1,636","1,636","1,636","1,636","1,673","1,707","1,745","1,782","1,814","1,851","1,89","1,931","1,971","2,02","2,07","2,129","2,191","2,256","2,326","2,402","2,479","2,556"
IEO,Reference,China,Electricity|Capacity by technology|Geothermal,GW,"0,024","0,024","0,028","0,028","0,038","0,048","0,058","0,068","0,075","0,082","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088","0,088"
IEO,Reference,European Union,Electricity|Capacity by technology|Geothermal,GW,"1,433","1,543","1,595","1,687","1,719","1,849","1,89","1,928","1,982","2,402","2,822","2,896","2,969","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,042","3,078","3,114","3,153","3,193","3,234"
IEO,Reference,India,Electricity|Capacity by technology|Geothermal,GW,,,,,"0,009","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,019","0,02","0,021","0,022","0,022","0,023","0,024","0,025","0,025","0,026"
IEO,Reference,Japan,Electricity|Capacity by technology|Geothermal,GW,"0,537","0,537","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,512","0,514","0,515","0,517","0,518","0,519","0,52","0,52","0,52","0,52","0,519"
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Geothermal,GW,"0,965","0,887","0,812","0,862","0,912","1,03","1,112","1,238","1,363","1,363","1,363","1,363","1,363","1,363","1,363","1,363","1,363","1,399","1,439","1,48","1,522","1,565","1,607","1,652","1,697","1,746","1,793","1,844","1,898","1,949","2,002"
IEO,Reference,Middle East,Electricity|Capacity by technology|Geothermal,GW,,,,,"0,159","0,319","0,478","0,638","0,797","0,956","1,116","1,275","1,435","1,466","1,498","1,53","1,669","1,808","1,947","2,086","2,225","2,364","2,503","2,569","2,638","2,709","2,782","2,853","2,922","2,995","3,07"
IEO,Reference,Russia,Electricity|Capacity by technology|Geothermal,GW,"0,082","0,082","0,092","0,092","0,294","0,497","0,7","0,903","1,105","1,308","1,511","1,511","1,511","1,525","1,542","1,561","1,578","1,594","1,609","1,624","1,64","1,656","1,672","1,688","1,705","1,717","1,722","1,726","1,725","1,722","1,715"
IEO,Reference,South Korea,Electricity|Capacity by technology|Geothermal,GW,,,,,"0,014","0,029","0,043","0,058","0,072","0,087","0,101","0,115","0,13","0,144","0,159","0,173","0,188","0,202","0,216","0,231","0,245","0,249","0,253","0,257","0,261","0,265","0,269","0,273","0,277","0,282","0,286"
IEO,Reference,United States,Electricity|Capacity by technology|Geothermal,GW,"2,4","2,5","2,6","2,6","2,6","2,6","2,7","2,7","2,9","3,4","3,8","4,2","4,6","4,8","5,1","5,3","5,5","5,9","6,3","6,7",7,"7,3","7,6","7,8",8,"8,2","8,4","8,6","8,8",9,"9,1"
IEO,Reference,World,Electricity|Capacity by technology|Geothermal,GW,"10,106","10,075","10,454","11,282","12,167","13,653","15,049","16,848","18,454","20,019","21,509","22,842","24,174","25,507","26,868","28,133","30,475","33,048","35,628","38,209","40,697","41,737","42,913","43,932","44,992","46,062","47,166","48,277","49,415","50,516","51,604"
IEO,Reference,Africa,Electricity|Capacity by technology|Hydro,GW,"26,314","27,171","29,095","30,39","31,693","38,732","40,587","43,08","46,119","49,073","54,075","56,569","59,062","59,834","60,606","61,378","63,826","66,275","68,724","71,173","73,622","74,248","76,798","79,331","81,935","84,656","87,348","90,067","92,841","95,739","98,76"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Hydro,GW,"17,851","19,038","19,633","21,379","23,11","24,559","27,632","28,071","29,598","30,915","32,194","32,344","32,485","33,057","33,594","34,187","34,767","35,265","35,836","36,439","37,087","37,715","38,478","39,259","40,169","41,137","42,157","43,248","44,436","45,633","46,825"
IEO,Reference,Brazil,Electricity|Capacity by technology|Hydro,GW,"89,456","94,822","97,014","101,181","105,389","105,924","105,476","106,122","109,398","112,878","115,71","118,684","121,628","124,602","127,508","130,346","133,147","135,938","138,785","141,62","144,471","147,913","151,363","154,86","158,289","161,826","165,481","169,277","173,157","177,024","181,094"
IEO,Reference,Canada,Electricity|Capacity by technology|Hydro,GW,"83,231","85,304","86,64","89,081","93,672","96,407","98,627","100,849","102,438","104,027","105,616","107,366","109,117","110,868","112,619","114,369","116,12","117,871","119,622","121,372","123,123","124,874","126,625","128,376","130,126","131,877","134,112","136,409","138,817","141,183","143,605"
IEO,Reference,China,Electricity|Capacity by technology|Hydro,GW,"255,417","287,313","321,45","381,712","425,669","480,238","515,562","541,703","576,72","611,736","646,753","664,618","682,484","700,349","718,214","736,08","753,945","771,811","789,676","807,541","825,407","843,272","861,138","879,003","896,868","914,734","932,599","950,465","968,33","986,195","1004,061"
IEO,Reference,European Union,Electricity|Capacity by technology|Hydro,GW,"286,117","336,534","371,762","392,207","408,906","436,249","445,749","458,629","473,694","483,105","514,091","519,068","524,046","526,269","530,109","533,95","537,79","541,631","545,472","549,312","553,153","561,292","569,431","577,571","585,71","593,849","599,9","606,085","612,688","619,321","626,381"
IEO,Reference,India,Electricity|Capacity by technology|Hydro,GW,"56,285","62,412","66,017","67,788","70,657","78,854","87,42","96,513","102,468","108,674","115,102","123,528","131,954","139,305","146,655","154,006","161,357","168,708","176,059","183,41","190,761","196,897","203,15","209,565","216,14","222,913","229,849",237,"244,299","251,758","260,604"
IEO,Reference,Japan,Electricity|Capacity by technology|Hydro,GW,"30,312","31,515","33,455","40,628","50,983","60,791","61,218","62,41","63,591","64,932","66,271","67,881","69,491","71,099","72,706","74,313","75,92","77,527","79,134","80,741","82,348","82,749","83,123","83,508","83,829","84,088","84,245","84,286","84,187","84,121","84,101"
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Hydro,GW,"19,841","20,354","21,434","22,055","24,7","26,113","26,717","28,492","30,71","32,455","34,28","35,962","37,644","39,113","40,583","42,052","43,522","44,595","45,763","46,957","48,191","49,453","50,71","52,011","53,357","54,773","56,182","57,661","59,256","60,757","62,306"
IEO,Reference,Middle East,Electricity|Capacity by technology|Hydro,GW,"12,66","13,169","14,885","15,188","16,436","17,36","19,817","22,275","23,883","25,438","26,992","37,946","48,9","49,696","50,493","51,29","52,446","53,602","54,758","55,914","57,07","66,801","76,532","78,305","80,172","82,081","84,054","85,972","87,823","89,802","91,818"
IEO,Reference,Russia,Electricity|Capacity by technology|Hydro,GW,"47,527","47,404","48,289","49,927","51,649","52,266","52,913","53,457","54,211","56,761","59,31","59,367","59,423","59,906","60,479","61,105","61,672","62,189","62,703","63,187","63,733","64,267","64,821","65,348","65,893","66,307","66,484","66,617","66,587","66,476","66,227"
IEO,Reference,South Korea,Electricity|Capacity by technology|Hydro,GW,"2,896","3,206","3,631","4,087","5,313","8,37","9,213","10,054","12,023","13,73","16,223","18,217","18,855","19,493","20,131","20,768","21,406","22,044","23,367","24,689","26,012","26,378","26,783","27,191","27,587","27,973","28,378","28,797","29,195","29,62","30,046"
IEO,Reference,United States,Electricity|Capacity by technology|Hydro,GW,"158,9","167,8","184,9","191,7","201,5","216,5","226,4","228,7","230,4","231,4","232,5","233,6","235,2","236,5","238,3","239,8","241,7",244,"246,3","248,6","252,4","256,3","260,5","265,1","269,8","272,9","277,4","283,4","290,3","297,4","300,9"
IEO,Reference,World,Electricity|Capacity by technology|Hydro,GW,"1234,09","1353,459","1466,065","1581,668","1689,62","1829,764","1909,702","1978,727","2057,791","2130,549","2231,106","2297,027","2357,848","2400,831","2445,872","2490,58","2538,842","2586,998","2636,011","2684,953","2735,598","2795,786","2858,337","2913,629","2969,633","3024,5","3079,226","3136,009","3194,47","3253,092","3310,819"
IEO,Reference,Africa,Electricity|Capacity by technology|Nuclear,GW,"1,8","1,83","1,86","1,86","1,86","1,86","1,86","1,86","1,86","1,86","1,86","2,046","2,232","2,418","2,604","2,79","2,976","3,162","3,348","3,534","3,72","3,906","4,092","4,278","4,464","4,65","4,836","5,022","5,208","5,394","5,58"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Nuclear,GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IEO,Reference,Brazil,Electricity|Capacity by technology|Nuclear,GW,"1,884","1,884","1,884","1,884","1,884","1,884","2,133","2,382","2,631","2,88","3,129","3,129","3,129","3,129","3,129","3,129","3,963","4,797","5,632","6,466","7,3","7,3","7,3","7,3","7,3","7,3","7,3","7,3","7,3","7,3","7,3"
IEO,Reference,Canada,Electricity|Capacity by technology|Nuclear,GW,"12,604","12,604","13,5","13,5","13,5","13,5","12,984","12,984","12,468","12,468","12,468","12,468","11,953","10,406","11,438","10,406","10,406","10,406","10,406","10,406","10,406","10,406","10,406","10,406","10,406","9,746","8,946","8,9","8,9","8,9","8,9"
IEO,Reference,China,Electricity|Capacity by technology|Nuclear,GW,"10,065","11,816","12,86","16,038",19,"22,61","29,88","33,08","35,07","37,06","41,294","46,411","51,021","51,021","51,021","56,681","65,091","72,841","80,841","88,841","94,591","100,341","106,091","111,841","117,591","123,341","129,091","134,841","140,591","146,341","152,091"
IEO,Reference,European Union,Electricity|Capacity by technology|Nuclear,GW,"130,969","122,578","122,019","125,62","123,91","122,2","121,04","119,88","118,72","117,56","116,4","117,1","117,8","118,5","119,2","119,9","121,04","122,18","123,32","124,46","125,6","125,88","126,16","126,44","126,72",127,"125,6","124,2","122,8","121,4",120
IEO,Reference,India,Electricity|Capacity by technology|Nuclear,GW,"4,189","4,391","4,391","5,308","5,308","7,058","8,338","9,255","9,255","9,255","10,915","11,545","13,792","15,409","15,109","19,019","22,929","26,099","29,359","32,269","33,519","34,219","34,919","35,619","36,319","36,132","37,332","38,532","39,527","40,727","40,522"
IEO,Reference,Japan,Electricity|Capacity by technology|Nuclear,GW,"46,821","44,215","44,215","42,4","42,4","6,204","11,433","18,311","22,634","24,809","28,486","29,553","30,62","30,62","30,62","30,62","29,84","29,84","29,84","29,84","29,84","29,84","29,84","29,84","29,84","28,773","28,773","27,717","25,868","24,801","24,801"
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Nuclear,GW,"1,3","1,3","1,53","1,46","1,48","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,72","1,94","2,16","2,38","2,6","2,6","2,6","2,6","2,6","2,6","2,82","3,04","3,26","3,48","3,7"
IEO,Reference,Middle East,Electricity|Capacity by technology|Nuclear,GW,,"0,915","0,915","0,549","0,732","0,915","1,906","2,897","3,888","4,879","5,87","6,548","7,226","7,904","8,582","9,26","10,2","11,14","12,08","13,02","13,96","14,9","15,84","16,78","17,72","18,66","19,38","20,1","20,82","21,54","22,26"
IEO,Reference,Russia,Electricity|Capacity by technology|Nuclear,GW,"22,693","23,643","23,643","23,643","25,546","26,557","28,371","27,986","31,167","32,318","33,422","34,496","36,916","37,106","36,347","38,157","36,282","35,332","34,161","34,865","34,13","35,23","36,345","35,395","34,47","32,595","32,184","32,184","32,184","31,773","31,773"
IEO,Reference,South Korea,Electricity|Capacity by technology|Nuclear,GW,"18,698","18,751","20,739","20,721","23,011","24,411","25,751","27,091","27,091","27,091","27,091","28,491","29,891","31,291","32,691","32,691","32,691","34,191","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691","35,691"
IEO,Reference,United States,Electricity|Capacity by technology|Nuclear,GW,"101,4","101,5","102,1","98,9",99,"99,6","100,2","100,8","100,3","100,9","101,4","101,4","101,4","101,4","101,4","101,4","101,4","101,4","101,4","101,4","101,6","101,8","101,8","101,8","101,9","102,1","102,2","102,7","103,2","103,7","104,9"
IEO,Reference,World,Electricity|Capacity by technology|Nuclear,GW,"375,453","368,793","373,032","377,397","341,192","354,706","372,551","385,929","395,235","401,979","413,982","425,868","439,695","443,953","447,924","460,87","474,679","490,293","506,027","521,785","532,394","542,03","551,481","558,867","566,378","570,425","576,544","583,172","588,848","595,1","602,125"
IEO,Reference,Africa,Electricity|Capacity by technology|Oil,GW,"15,071","15,164","15,434","15,896","16,79","16,639","16,489","16,341","16,194","16,049","15,905","15,763","15,622","15,482","15,344","15,207","15,072","14,938","14,805","14,674","14,544","14,415","14,287","14,161","14,036","13,912","13,79","13,669","13,548","13,43","13,312"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Oil,GW,"1,416","1,491","1,507","1,492","1,619","1,604","1,589","1,575","1,56","1,546","1,532","1,518","1,505","1,491","1,477","1,464","1,451","1,438","1,425","1,412","1,399","1,387","1,374","1,362","1,35","1,338","1,326","1,314","1,302","1,29","1,279"
IEO,Reference,Brazil,Electricity|Capacity by technology|Oil,GW,"7,068","7,486","7,687","8,213","8,177","8,101","8,027","7,953","7,88","7,807","7,736","7,665","7,595","7,525","7,456","7,388","7,321","7,254","7,188","7,122","7,057","6,993","6,93","6,867","6,805","6,743","6,682","6,622","6,562","6,503","6,444"
IEO,Reference,Canada,Electricity|Capacity by technology|Oil,GW,"4,399","4,294","4,41","4,376","4,351","4,31","4,267","4,225","4,183","4,142","4,101","4,06","4,02","3,98","3,94","3,901","3,862","3,824","3,786","3,749","3,711","3,675","3,638","3,602","3,566","3,531","3,496","3,461","3,427","3,393","3,36"
IEO,Reference,China,Electricity|Capacity by technology|Oil,GW,"8,302","8,234","8,185","8,103","8,228","8,148","8,069","7,99","7,912","7,835","7,759","7,683","7,609","7,535","7,461","7,389","7,317","7,246","7,175","7,106","7,037","6,968","6,901","6,834","6,768","6,702","6,637","6,573","6,509","6,446","6,384"
IEO,Reference,European Union,Electricity|Capacity by technology|Oil,GW,"50,918","50,227","49,623","49,417","49,791","49,624","49,143","48,666","48,194","47,727","47,265","46,807","46,353","45,905","45,46","45,021","44,585","44,154","43,727","43,305","42,886","42,472","42,062","41,656","41,255","40,857","40,463","40,073","39,687","39,305","38,927"
IEO,Reference,India,Electricity|Capacity by technology|Oil,GW,"7,247","7,757","7,299","7,226","7,267","7,795","7,724","7,654","7,585","7,516","7,448","7,381","7,314","7,249","7,186","7,122","7,06","6,997","6,935","6,873","6,812","6,751","6,691","6,632","6,574","6,516","6,458","6,402","6,346","6,293","6,258"
IEO,Reference,Japan,Electricity|Capacity by technology|Oil,GW,"51,71","52,035","52,307","52,308","52,546","52,546","50,485","49,983","49,485","48,993","48,505","48,023","47,545","47,072","46,604","46,14","45,681","45,226","44,777","44,331","43,89","43,454","43,022","42,594","42,17","41,751","41,336","40,925","40,518","40,115","39,716"
IEO,Reference,Mexico/Chile,Electricity|Capacity by technology|Oil,GW,"16,39","16,096","15,603","15,489","15,383","15,23","15,079","14,929","14,781","14,634","14,488","14,344","14,202","14,061","13,921","13,783","13,646","13,51","13,376","13,243","13,112","12,982","12,853","12,725","12,599","12,474","12,35","12,227","12,106","11,986","11,867"
IEO,Reference,Middle East,Electricity|Capacity by technology|Oil,GW,"35,704","37,212","39,442","41,801","47,517","49,431","51,688","51,309","53,814","53,443","53,075","52,711","52,351","51,994","51,641","51,291","50,945","50,602","50,263","49,927","49,595","49,266","48,94","48,617","48,298","47,982","47,669","47,359","47,052","46,748","46,448"
IEO,Reference,Russia,Electricity|Capacity by technology|Oil,GW,"3,13","3,114","3,372","3,371","4,004","3,971","3,938","3,906","3,874","3,842","3,81","3,779","3,749","3,718","3,688","3,658","3,628","3,599","3,57","3,541","3,513","3,485","3,457","3,429","3,402","3,375","3,348","3,322","3,296","3,27","3,244"
IEO,Reference,South Korea,Electricity|Capacity by technology|Oil,GW,"4,594","4,267","4,773","4,725","4,681","4,635","4,588","4,543","4,497","4,452","4,408","4,364","4,32","4,277","4,234","4,192","4,15","4,109","4,067","4,027","3,987","3,947","3,907","3,868","3,83","3,791","3,754","3,716","3,679","3,642","3,606"
IEO,Reference,United States,Electricity|Capacity by technology|Oil,GW,"109,5","105,1","101,2","96,6","94,9","95,5","98,1","97,6","95,2","92,4","89,4",85,"82,3","81,2","80,4","80,2","79,9","79,4",76,"75,6",75,"74,5","73,1","71,3","71,2","71,1","71,1","71,1","70,7","70,2","70,1"
IEO,Reference,World,Electricity|Capacity by technology|Oil,GW,"395,269","394,361","394,88","393,231","402,166","404,222","405,059","401,738","399,425","393,86","388,123","381,013","375,63","371,875","368,448","365,646","362,77","359,72","353,795","350,895","347,819","344,869","341,043","336,842","334,364","331,91","329,58","327,273","324,59","321,832","319,514"
IEO,Reference,Africa,Electricity|Capacity by technology|Other,GW,"0,553","0,556","0,999","1,055","1,183","1,22","1,256","1,288","1,377","1,38","1,383","1,384","1,386","1,388","1,39","1,392","1,394","1,397","1,4","1,402","1,405","1,496","1,524","1,552","1,581","1,611","1,64","1,67","1,7","1,732","1,765"
