Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
IEO,Reference,World,Buildings|Emissions By Sub-Sector|Commercial,Mt CO2e/yr,"30,409742","30,6005915","30,91783","32,038451","32,9903775","33,953909","34,5726665","34,9157525","35,462981","35,902494","36,3986605","37,0128815","37,5952415","38,074317","38,6882215","39,251908","39,8077875","40,3920465","41,006162","41,551175","42,187762","42,75071","43,3135525","43,8545565","44,474158","45,034996","45,5478315","46,162369","46,627202","47,1892005","47,6831515"
IEO,Reference,World,Buildings|Emissions By Sub-Sector|Residential,Mt CO2e/yr,"55,420838","55,2996185","55,9292425","58,3084785","60,0775025","61,752737","61,988424","62,443129","63,043424","63,7195735","64,448051","65,437852","66,3283775","67,1177285","68,0957135","69,042365","69,9090475","70,81793","71,7552975","72,5830505","73,6530315","74,5755235","75,479342","76,3211265","77,3130375","78,20082","78,9999825","80,0053975","80,7816665","81,7583855","82,6038625"
IEO,Reference,Africa,Electricity|Capacity by technology|Coal,GW,"37,339","36,384","35,572","35,288","39,705","41,014","42,326","45,026","46,342","46,071","45,802","45,535","45,27","45,008","44,985","45,069","45,129","45,228","45,35","45,497","45,711","46,065","46,33","46,674","47,015","47,407","47,869","48,397","49,028","49,751","50,58"
IEO,Reference,Australia/New Zealand,Electricity|Capacity by technology|Coal,GW,"30,775","30,693","30,227","29,985","29,746","29,508","29,279","29,184","28,988","28,85","28,704","28,582","28,449","28,311","28,16","28,015","27,867","27,69","27,512","27,336","27,17","27,002","26,851","26,699","26,556","26,425","26,306","26,194","26,112","26,092","26,096"
IEO,Reference,Brazil,Electricity|Capacity by technology|Coal,GW,"3,048","3,307","3,642","5,047","5,024","4,995","4,966","4,938","4,91","4,882","4,855","4,828","4,801","4,774","4,747","4,72","4,694","4,668","4,642","4,617","4,591","4,566","4,541","4,516","4,492","4,467","4,443","4,419","4,395","4,372","4,348"
IEO,Reference,Canada,Electricity|Capacity by technology|Coal,GW,"10,154","10,024","9,838","9,725","9,679","9,403","9,254","9,254","9,101","7,615","7,112","6,959","6,96","6,963","6,963","6,965","6,613","5,941","5,589","3,352","3,353","3,355","3,357","3,359","3,361","3,365","2,981","2,983","2,986","2,611","2,234"
IEO,Reference,China,Electricity|Capacity by technology|Coal,GW,"661,877","719,156","769,573","807,102","837,358","848,78","851,656","857,929","889,015","887,884","887,604","891,106","892,526","897,287","900,575","901,078","898,228","895,832","892,785","888,982","885,71","882,161","878,213","873,887","869,533","865,2","860,92","856,711","852,813","848,875","845,101"
IEO,Reference,European Union,Electricity|Capacity by technology|Coal,GW,"200,533","197,479","197,834","198,491","208,306","209,145","209,124","209,176","208,556","208,074","206,578","205,107","203,763","202,493","201,186","199,931","198,688","197,446","196,21","194,988","193,748","192,516","191,291","190,097","188,905","187,747","186,724","185,721","184,812","183,922","183,133"
IEO,Reference,India,Electricity|Capacity by technology|Coal,GW,"116,779","138,526","152,778","151,555","165,343","181,805","186,821","190,284","190,589","189,425","188,269","187,123","185,986","185,154","188,333","188,888","189,571","190,895","192,293","194,181","196,902","201,019","205,586","210,507","215,619","221,664","227,021","232,682","238,898","245,332","254,536"
IEO,Reference,Japan,Electricity|Capacity by technology|Coal,GW,"49,973","50,356","50,491","52,091","52,119","52,119","50,523","50,298","49,91","49,559","49,195","48,855","48,505","48,158","47,805","47,451","47,103","46,75","46,401","46,055","45,713","45,378","45,046","44,717","44,39","44,077","43,753","43,442","43,148","42,85","42,54"
