Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2000,2005,2010,2011,2015,2020,2025,2030,2035,2040,2045,2050
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Agriculture emissions|CH4",Mt CO2e/yr,"2470,8588","2616,717875","2674,2039","3385,68715","3540,531575","3673,9307","3799,634675","3932,128975","4079,0066","4238,905525","4387,426725","4551,795025"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Agriculture emissions|CO2",Mt CO2e/yr,0,0,0,0,0,0,0,0,0,0,0,0
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Agriculture emissions|N2O",Mt CO2e/yr,"2,876063858","3,107136634","3,257449026","2,11900797","2,16090379","2,195702144","2,233220344","2,271196272","2,30713537","2,343601332","2,380260398","2,414573608"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Cropland",million Ha/yr,"1482,390376","1502,982067","1497,960839","1503,03019","1486,662586","1470,452893","1448,127215","1424,270462","1399,991338","1374,463406","1344,658319","1314,281089"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Energy Crops",million Ha/yr,"86,8","92,4","97,067",98,98,98,"112,7485473","126,06449","128,6279145","126,1845145","134,5487045","131,0075618"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Forest",million Ha/yr,"4085,1686","4060,9648","4033,05952","4027,47833","4021,51716","4050,771149","4086,555414","4114,975588","4131,696156","4137,908018","4155,707635","4164,41791"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Other",million Ha/yr,"4000,82565","4033,21538","4093,59327","4080,91162","4097,896275","4116,474669","4134,443697","4151,163839","4166,363066","4180,259072","4193,379257","4204,731922"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Pasture",million Ha/yr,"3417,6424","3388,2637","3358,24029","3362,679","3368,02312","3336,400429","3290,224266","3255,624762","3245,420665","3253,284129","3243,805224","3257,660657"
GC,Cambridge Architectural Research,World,"Agriculture, Land Use and Forestry|Land Cover|Total",million Ha/yr,,,,"13072,09914","13072,09914","13072,09914","13072,09914","13072,09914","13072,09914","13072,09914","13072,09914","13072,09914"
GC,Cambridge Architectural Research,World,Buildings|Energy Use by Fuel|Biomass,EJ/yr,,,,"21,54205008","20,12709431","16,7495579","13,54329374","10,86491772","8,685362105","6,90597877","5,445401815","4,167632937"
