competition_id,name,code,type,emblem,area_name,area_code,country_code,current_season_id,current_season_start,current_season_end,last_updated
2013,Campeonato Brasileiro Série A,BSA,LEAGUE,https://crests.football-data.org/bsa.png,Brazil,BRA,,2474,2026-01-28,2026-12-02,2024-09-13T16:55:53Z
2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,England,ENG,,2416,2025-08-08,2026-05-12,2026-05-11T15:45:39Z
2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,England,ENG,,2403,2025-08-15,2026-05-24,2024-09-13T16:51:24Z
2001,UEFA Champions League,CL,CUP,https://crests.football-data.org/CL.png,Europe,EUR,,2454,2025-09-16,2026-05-30,2026-05-31T11:41:29Z
2018,European Championship,EC,CUP,https://crests.football-data.org/ec.png,Europe,EUR,,1537,2024-06-14,2024-07-14,2024-09-13T17:04:30Z
2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,France,FRA,,2420,2025-08-17,2026-05-16,2024-09-13T16:49:18Z
2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,Germany,DEU,,2414,2025-08-22,2026-05-16,2024-09-13T16:48:00Z
2019,Serie A,SA,LEAGUE,https://crests.football-data.org/c111.png,Italy,ITA,,2395,2025-08-24,2026-05-24,2026-01-02T11:22:51Z
2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,Netherlands,NLD,,2400,2025-08-08,2026-05-17,2024-09-13T16:34:42Z
2017,Primeira Liga,PPL,LEAGUE,https://crests.football-data.org/PPL.png,Portugal,POR,,2433,2025-08-08,2026-05-17,2024-09-13T16:54:08Z
2152,Copa Libertadores,CLI,CUP,https://crests.football-data.org/CLI.svg,South America,SAM,,2466,2026-02-04,2026-11-28,2026-05-20T00:07:05Z
2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,Spain,ESP,,2429,2025-08-17,2026-05-24,2024-09-13T16:52:33Z
2000,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,World,INT,,2398,2026-06-11,2026-07-19,2025-12-08T05:32:32Z
