team_id,name,short_name,tla,crest,address,website,founded,club_colors,venue,competition_id,coach_name,coach_nationality,coach_id
1765,Fluminense FC,Fluminense,FLU,https://crests.football-data.org/1765.png,"Rua Álvaro Chaves 41, Bairro Laranjeiras Rio de Janeiro, RJ 22231-220",http://www.fluminense.com.br,1902.0,Maroon / Green / White,Estadio Jornalista Mário Filho,2013,Luis Zubeldía,Argentina,293.0
1766,CA Mineiro,Mineiro,CAM,https://crests.football-data.org/1766.png,"Av. Olegário Maciel 1516, Lourdes Belo Horizonte, MG 30180-111",http://www.atletico.com.br,1908.0,Black / White,Estádio Raimundo Sampaio,2013,Eduardo Domínguez,Argentina,45858.0
1767,Grêmio FBPA,Grêmio,FBP,https://crests.football-data.org/1767.png,"Avenida Padre Leopoldo Bretano, 110, Humaitá Porto Alegre, RS 90250-590",http://www.gremio.net,1903.0,Blue / Black / White,Arena do Grêmio,2013,Jéssica Lima,Brazil,293872.0
1768,CA Paranaense,Paranaense,CAP,https://crests.football-data.org/1768.png,"Estrada do Ganchinho 1451, Umbará Curitiba, PR 81930-160",http://www.atleticoparanaense.com,1924.0,Black / White / Red,Estádio Joaquim Américo Guimarães,2013,João Eduardo Louro Baptista Cr,Portugal,278640.0
1769,SE Palmeiras,Palmeiras,PAL,https://crests.football-data.org/1769.png,"Rua Palestra Italia nº 214, Perdizes São Paulo, SP 05005-030",http://www.palmeiras.com.br,1914.0,Green / White,Allianz Parque,2013,Abel Ferreira,Portugal,45403.0
1770,Botafogo FR,Botafogo,BOT,https://crests.football-data.org/1770.png,"Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140",http://www.botafogo.com.br,1904.0,Black / White,Estádio Nilton Santos,2013,Franclim Carvalho,Portugal,177226.0
1771,Cruzeiro EC,Cruzeiro,CRU,https://crests.football-data.org/1771.png,"Rua Timbiras 2903, Bairro Preto Belo Horizonte, MG 30140-062",http://www.cruzeiro.com.br,1921.0,Blue / White,Estádio Governador Magalhães Pinto,2013,Artur Jorge,Portugal,145312.0
1772,Chapecoense AF,Chapecoense,CHA,https://crests.football-data.org/1772_large.png,"Rua Clevelândia S/N, Centro Chapecó, SC 89801-445",http://www.chapecoense.com,1973.0,Green / White,Arena Condá,2013,Fábio Matias,Brazil,248709.0
1776,São Paulo FC,São Paulo,PAU,https://crests.football-data.org/1776.png,"null São Paulo, SP null",http://www.saopaulofc.net,1930.0,White / Red / Black,Estádio do Morumbi,2013,Dorival Júnior,Brazil,203358.0
1777,EC Bahia,Bahia,BAH,https://crests.football-data.org/1777.png,"Rua Antônio Fernandes S/N, Jardim das Margaridas Salvador, BA 41502-590",http://www.esporteclubebahia.com.br,1931.0,Blue / White / Red,Estádio Governador Roberto Santos,2013,Rogério Ceni,Brazil,12718.0
1779,SC Corinthians Paulista,Corinthians,COR,https://crests.football-data.org/1779.png,"Rua São Jorge 777, Tatuapé São Paulo, SP 03087-000",http://www.corinthians.com.br,1910.0,Black / White,Neo Química Arena,2013,Fernando Diniz,Brazil,11165.0
1780,CR Vasco da Gama,Vasco da Gama,VAS,https://crests.football-data.org/1780.png,"Rua Gen. Almério de Moura 131, Bairro Vasco da Gama Rio de Janeiro, RJ 20921-060",http://www.vasco.com.br,1898.0,Black / White,Estádio Club de Regatas Vasco da Gama,2013,Possato,Brazil,293871.0
1782,EC Vitória,Vitória,VIT,https://crests.football-data.org/1782.png,"Rua Artêmio Castro Valente, Nossa Senhora da Vitória Salvador, BA 41750-240",http://www.ecvitoria.com.br,1899.0,Red / Black,Estádio Manoel Barradas,2013,Jair Ventura,Brazil,213375.0
1783,CR Flamengo,Flamengo,FLA,https://crests.football-data.org/1783.png,"null Rio de Janeiro, RJ null",https://www.flamengo.com.br/pagina-inicial-basquete,1919.0,Red / Black / White,Estadio Jornalista Mário Filho,2013,Leonardo Jardim,Portugal,15925.0
4241,Coritiba FBC,Coritiba,COR,https://crests.football-data.org/4241.png,"Rua Ubaldino do Amaral 37, Alto da Glória Curitiba, PR 80060-195",http://www.coritiba.com.br,1909.0,Green / White,Estádio Major Antônio Couto Pereira,2013,Fernando Seabra,Brazil,246731.0
4286,RB Bragantino,Bragantino,RBB,https://crests.football-data.org/4286.png,"Rua Emílio Colela S/N, Jd. Nova Bragança Bragança Paulista, SP 12914-410",http://www.bragantino.net,1928.0,White / Black,Estádio Nabi Abi Chedid,2013,Vágner Mancini,Brazil,11131.0
4287,Clube do Remo,Clube do Remo,CRE,https://crests.football-data.org/4287.png,"Avenida Nazaré, 962, Bairro Nazaré Belém, PA 66035-170",http://www.clubedoremo.com.br,1905.0,Navy Blue / White,Estádio Estadual Jornalista Edgar Augusto Proença,2013,Leo Condé,Brazil,181493.0
4364,Mirassol FC,Mirassol,MIR,https://crests.football-data.org/4364.png,"null Mirassol, SP null",http://www.mirassolfc.com.br,1925.0,Green / Yellow,Estádio José Maria de Campos Maia,2013,Rafael Guanaes,Brazil,249467.0
6684,SC Internacional,Internacional,SCI,https://crests.football-data.org/6684.png,"Avenida Padre Cacique 891, Bairro Menino Deus Porto Alegre, RS 90810-240",http://www.internacional.com.br,1909.0,Red / White,Estádio José Pinheiro Borba,2013,Leonardo Ramos,Brazil,295217.0
6685,Santos FC,Santos,SAN,https://crests.football-data.org/6685.png,"Rua Princesa Isabel S/N, Vila Belmiro Santos, SP 11075-501",http://santosfc.com.br,1912.0,Black / White,Estádio Urbano Caldeira,2013,Cuca,Brazil,77180.0
59,Blackburn Rovers FC,Blackburn,BLA,https://crests.football-data.org/59.png,Ewood Park Blackburn BB2 4JF,http://www.rovers.co.uk,1874.0,Blue / White,Ewood Park,2016,,,
68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,Carrow Road Norwich NR1 1JE,http://www.canaries.co.uk,1902.0,Yellow / Green,Carrow Road,2016,,,
69,Queens Park Rangers FC,QPR,QPR,https://crests.football-data.org/69.png,"South Africa Road, Shepherds Bush London W12 7PA",http://www.qpr.co.uk,1882.0,Blue / White,Kiyan Prince Foundation Stadium,2016,,,
70,Stoke City FC,Stoke,STK,https://crests.football-data.org/70.png,Stanley Matthews Way Stoke-on-Trent ST4 4EG,http://www.stokecityfc.com,1863.0,Red / White,Bet365 Stadium,2016,,,
72,Swansea City AFC,Swansea,SWA,https://crests.football-data.org/72.png,"Liberty Stadium, Landore Swansea, Glamorgan SA1 2FA",http://www.swanseacity.net,1912.0,White / Black,Liberty Stadium,2016,,,
74,West Bromwich Albion FC,West Brom,WBA,https://crests.football-data.org/74.png,The Hawthorns West Bromwich B71 4LF,http://www.wba.co.uk,1879.0,White / Navy Blue,The Hawthorns,2016,,,
322,Hull City AFC,Hull City,HUL,https://crests.football-data.org/322.png,Walton Street Hull HU3 6HU,http://www.hullcitytigers.com,1904.0,Orange / Black,Kingston Communications Stadium,2016,,,
325,Portsmouth FC,Portsmouth,POR,https://crests.football-data.org/325.png,Frogmore Road Portsmouth PO4 8RA,http://www.portsmouthfc.co.uk,1898.0,Blue / White,Fratton Park,2016,,,
332,Birmingham City FC,Birmingham,BIR,https://crests.football-data.org/332.png,St. Andrew's Stadium Birmingham B9 4RL,http://www.bcfc.com,1875.0,Blue / White,St Andrew's Trillion Trophy Stadium,2016,,,
338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,"The Walkers Stadium, Filbert Way Leicester LE2 7FL",http://www.lcfc.com,1884.0,Royal Blue / White,King Power Stadium,2016,,,
