competition_id,season,stage,group,table_type,position,team_id,team_name,team_crest,played_games,form,won,draw,lost,points,goals_for,goals_against,goal_difference
2000,2026,GROUP_STAGE,,TOTAL,1,769,Mexico,https://crests.football-data.org/769.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,2,774,South Africa,https://crests.football-data.org/9396.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,3,772,South Korea,https://crests.football-data.org/772.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,4,798,Czechia,https://crests.football-data.org/798.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,5,828,Canada,https://crests.football-data.org/canada.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,6,1060,Bosnia-Herzegovina,https://crests.football-data.org/bosnia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,7,771,United States,https://crests.football-data.org/usa.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,8,761,Paraguay,https://crests.football-data.org/761.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,9,8030,Qatar,https://crests.football-data.org/8030.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,10,788,Switzerland,https://crests.football-data.org/788.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,11,764,Brazil,https://crests.football-data.org/764.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,12,815,Morocco,https://crests.football-data.org/morocco.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,13,836,Haiti,https://crests.football-data.org/haiti.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,14,8873,Scotland,https://crests.football-data.org/814.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,15,779,Australia,https://crests.football-data.org/779.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,16,803,Turkey,https://crests.football-data.org/803.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,17,759,Germany,https://crests.football-data.org/759.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,18,9460,Curaçao,https://crests.football-data.org/curacao.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,19,8601,Netherlands,https://crests.football-data.org/8601.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,20,766,Japan,https://crests.football-data.org/766.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,21,1935,Ivory Coast,https://crests.football-data.org/787.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,22,791,Ecuador,https://crests.football-data.org/791.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,23,792,Sweden,https://crests.football-data.org/792.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,24,802,Tunisia,https://crests.football-data.org/tunisia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,25,760,Spain,https://crests.football-data.org/760.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,26,1930,Cape Verde Islands,https://crests.football-data.org/cape_verde.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,27,805,Belgium,https://crests.football-data.org/805.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,28,825,Egypt,https://crests.football-data.org/825.svg,0,,0,0,0,0,0,0,0
