"Data last updated April 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of global emissions covered (accounting for overlap of coverage between instruments). Global GHG Emissions is sourced from the EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austria ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0005847681905","0,0005548650374","0,0005548650374","0,0004956610756"
Australia CPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,007701087553","0,007525234094","0,007357802799",0,0,0,0,0,0,0,0,0,0,0
Australia Safeguard Mechanism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002807207586","0,002807207586","0,002807207586"
Canada federal OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001536720638","0,0001443268452","0,0001412236073","0,0001434028194","0,0001411696645","0,0001411696645","0,0004235089936"
Alberta TIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,003507585701","0,00340856076","0,003336141593","0,003251449377","0,003277261171","0,003373079604","0,003474740781","0,00350712459","0,003607535357","0,003374331065","0,003393418652","0,003329230906","0,003324978624","0,003192525856","0,003077852328","0,003054149048","0,002996804554","0,002996804554","0,002851797882"
BC OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0002896357224"
New Brunswick OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000121004275","0,000120072392","0,000117817921","0,000117817921","0,0001223493795"
Newfoundland and Labrador PSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00008151560498","0,00006779150661","0,00006116145567","0,0000606904366","0,0000595509171","0,0000595509171","0,00005641665831"
Nova Scotia OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0002714586654","0,0002645571655","0,0002530618251","0,0002511129352","0,0002463980559","0,0002463980559","0,0001019578162"
Ontario CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002564611331",0,0,0,0,0,0,0,0
Ontario EPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0007554554664","0,0007412710861","0,0007412710861","0,0007412710861"
Quebec CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00049597974","0,0004802847136","0,001270566249","0,001232097627","0,001243311223","0,001246109884","0,001255301314","0,001177634156","0,001172131956","0,001163105086","0,001141266704","0,001141266704","0,001100559102"
Saskatchewan OBPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0006289182442","0,0005666186034","0,0005586751863","0,0005543726945","0,0005439638306","0,0005439638306",0
