"Data last updated by May 15, 2025",,,,
,,,,
Article 6.2 of the Paris Agreement sets out the framework for international compliance carbon market where Internationally Transferred Mitigation Outcomes (ITMOs) are traded bilaterally with corresponding adjustment (CA) under cooperative approaches. Corresponding adjustment is a procedure established under Article 6 of the Paris Agreement to avoid double counting. A selling (host) country that authorizes the transfer of mitigation outcomes must increase its reported emissions by the amount transferred. Carbon credits transferred with a CA cannot be counted toward the host/seller country’s NDC.,,,,
"Note: Agreements signed by Japan and Australia with seller countries as part of JCM and IPCOS respectively are not included in this list but instead under government crediting mechanisms, because while these agreements are Article 6-aligned, they are not explicitly Article 6.2 agreements. With JCM, there are several agreements that pre-date Paris Agreement and credits / ITMOs generated as part of the mechanism will be shared by both Japan and seller country.",,,,
Buyer,Year of Agreement,Seller,Status of Agreement,Notes
Switzerland,2022,Chile,Implementing Agreement Signed,
Switzerland,2021,Dominica,Implementing Agreement Signed,
Switzerland,2021,Georgia,Implementing Agreement Signed,
Switzerland,2020,Ghana ,Bilteral authorization Completed,112565 ITMOs to be transferred by 2030 through the promotion of climate smart agriculture practices for sustainable rice cultivation in Ghana
Switzerland,2023,Kenya,Implementing Agreement Signed,
Switzerland,2022,Malawi,Implementing Agreement Signed,
Switzerland,2022,Morocco,Implementing Agreement Signed,
Switzerland,2020,Peru,Implementing Agreement Signed,
Switzerland,2021,Senegal,Implementing Agreement Signed,
Switzerland,2024,Tunisia,Implementing Agreement Signed,
Switzerland,2021,Thailand,Bilteral Authorization Completed,"31,138 ITMOs transferred so far; Maximum of 500000 ITMOs to be transferred by 2030 from e-mobility project in Bangkok Metropolitan Area"
Switzerland,2022,Ukraine,Implementing Agreement Signed,
Switzerland,2022,Uruguay,Implementing Agreement Signed,
Switzerland,2021,Vanuatu,Bilteral Authorization Completed,97217 ITMOs to be transferred by 2030 through the electrification of Vanuatu’s Inhabited Islands through Solar Power ITMO Programme
Singapore,2025,Bhutan,Implementing Agreement Signed,
Singapore,2023,Cambodia,MoU Signed,
Singapore,2025,Chile,Implementing Agreement Signed,
Singapore,2023,Costa Rica,MoU Signed,
Singapore,2023,Colombia,MoU Signed,
Singapore,2023,Dominican Republic,MoU Signed,
Singapore,2023,Fiji,MoU Signed,
Singapore,2024,Ghana,Implementing Agreement Signed,
Singapore,2023,Kenya,MoU Signed,
Singapore,2024,Lao PDR,MoU Signed,
Singapore,2025,Malaysia,MoU Signed,
Singapore,2023,Mongolia,MoU Signed,
Singapore,2022,Morocco,MoU Signed,
Singapore,2024,Phillipines,MoU Signed,
Singapore,2023,Papua New Guinea,Implementing Agreement Signed,
Singapore,2025,Paraguay,Implementing Agreement Signed,
Singapore,2025,Peru ,Implementing Agreement Signed,
Singapore,2025,Rwanda,Implementing Agreement Signed,
Singapore,2023,Senegal,MoU Signed,
Singapore,2023,Sri Lanka,MoU Signed,
Singapore,2024,Zambia,MoU Signed,
Singapore,2022,Vietnam,MoU Signed,
"Korea, Rep.",2024,Cambodia,MoU Signed,
"Korea, Rep.",2023,Gabon,MoU Signed,
"Korea, Rep.",2024,Indonesia,MoU Signed,
"Korea, Rep.",2024,Kazakhstan,MoU Signed,
"Korea, Rep.",2023,Lao PDR,MoU Signed,
"Korea, Rep.",2024,Malaysia,MoU Signed,
"Korea, Rep.",2023,Mongolia,MoU Signed,
"Korea, Rep.",2023,Uzbekistan,MoU Signed,
"Korea, Rep.",2023,Vietnam,Implementing Agreement Signed,
Kuwait,2023,Rwanda,MoU Signed,
Sweden,2022,Dominican Republic,MoU Signed,
Sweden,2024,Ghana,Implementing Agreement Signed,
Sweden,2024,Nepal,Implementing Agreement Signed,
Sweden,2024,Zambia,Implementing Agreement Signed,
Sweden,2024,Rwanda,MoU Signed,
Norway,2023,Indonesia,MoU Signed,
Norway,2023,Morocco,MoU Signed,
Norway,2024,Senegal,Implementing Agreement Signed,
Norway,2024,Zambia,Implementing Agreement Signed,
Norway,2024,Jordan,Implementing Agreement Signed,
Norway,2024,Benin,Implementing Agreement Signed,
United Arab Emirates,2023,Paraguay,MoU Signed,
