"Data last updated by May 22, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Eligible Activities,,,,,,,,,,,,,
Mechanism,Administration,Status,Year of Implementation,Scope,Administering Jurisdiction or organisation ,Description of the mechanism,Recent developments,Region,Income Group of Administering Country,Credit name,Price (Range),Countries with project (ISO3 codes),Agriculture,CCS / CCU,Energy Efficiency / Fuel Switching,Forestry / Land Use,Fugitive Emissions,Industrial Gases/Manufacturing,Renewable Energy ,Transport,Waste,Compliance CPIs accepting credits generated through mechanism,Cumulative credits issued (in kt) until 31.12.2024,Cumulative credits retired (in kt) until 31.12.2024,Cumulative credits cancelled for administrative purposes (in kt) until 31.12.2024,Cumulative Projects Registered until 31.12.2024
Alberta Emission Offset System,Governmental,Implemented,2007,Subnational,Alberta,"Alberta’s greenhouse gas reduction framework including the implementation of its carbon offset crediting system was established in 2007. To be eligible for crediting, all activities must take place within the province of Alberta and meet a number of other system requirements including having a government-approved quantification protocol for the emission reduction activity. 

The Canadian federal government recognizes the Alberta Emission Offset System under a number of approved protocols to supply a source of credits (called Recognized Units) to the federal-regulated facilities under the federal output-based pricing system program since August 2020. The federal output-based pricing system does not apply in Alberta. 

Other credit types include:
• Emission performance credits, created by regulated facilities whose emissions are less than their allocations; 
• Associated Emission Offset: Sequestration credits, which occur from converting emission offsets from deep saline aquifer sequestration or enhanced oil recovery and enable the underlying activity to also participate in generating credits under Canada’s Clean Fuel Regulations; and
• Capture recognition tonnes, which are converted sequestration credits and can be applied at a regulated facility that captured the carbon dioxide as if it was an on-site reduction.
","The TIER Regulation was amended effective January 1, 2023, and updated a number of requirements for regulated facilities and Alberta emission offset projects. Related to credits, amendments include a phased-in increase in credit use limit (rising from 60% maximum in 2023 by 10% per year until it reaches 90% in 2026), reducing the credit expiry period to 5 years, additional reviews for project credit extensions, and the establishment of two new credit types – sequestration credits and capture recognition tonnes – to support carbon capture and storage business models. The guidance and requirements of the offset system are also updated including the Standard for Greenhouse Gas Emission Offset Project Developers (version 3.2, released April 28, 2023) and the Carbon Offset Emission Factor Handbook.  ",North America,High income,"Emission offsets, 
Emission performance credits,
An Emission offset can convert to a Sequestration credit, and a Sequestration credit can convert to a Capture recognition tonne.
",The TIER fund price is set at $80 per tonne of CO2e. Credits/offsets typically trade at an unknown discount to that number. ,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Alberta TIER Regulation and Canada’s Output-based Pricing System.,  94.055 ,  62.869 ,  -   ,  460 
American Carbon Registry,Independent,Implemented,1996,Global,,"The American Carbon Registry (ACR), originally the GHG Registry, was founded in 1996 by Environmental Defense Fund as the first independent voluntary offset program in the world. The GHG Registry offered corporate GHG inventory service, VER project registration and a RECs registry, before issuing its first project-based credits in 2002. The GHG Registry rebranded as ACR upon joining Winrock in 2008. ACR issues project-based VERs for projects based in the US. Since its inception, the ACR has branched out to credit emission reductions and removals credits for voluntary and compliance markets, and projects outside the US. The ACR also issues ROCs under the California Compliance Program, which can then be transitioned into ARB Offset Credits under that program.",,,,Verified Emission Reductions (VERs),US$5.38/tCO2e (unweighted average) (2020),,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"CORSIA, Washington State CAR",  312.517 ,  207.815 ,  12.696 ,  354 
Australian Carbon Credit Unit Scheme (ACCU),Governmental,Implemented,2012,National,Australia,"Australia’s carbon crediting mechanism started registering projects in 2012 following the passing of the Carbon Credits (Carbon Farming Initiative) Act 2011. The Carbon Farming Initiative (CFI) was used to supply offsets to Australia’s Carbon Pricing Mechanism – a national ETS. When the ETS was repealed in 2014, Australia’s carbon crediting policy transitioned to a voluntary scheme, previously known as the Emissions Reduction Fund (ERF). ACCUs issued under the scheme can be used for compliance purposes by entities covered under the Safeguard Mechanism, sold to the Government, or sold on the voluntary market.","The Australian Government responded to Climate Change Authority’s 2020 and 2023 reviews in August 2024. 
-	The 2023 review made 15 recommendations; the government agreed to implement 3 in full and agreed in principle to the remaining 12 recommendations.
-	The 2020 review made 23 recommendations; the government agreed in principle to 7. Of the remaining recommendations the government noted 15 and did not agree to 1, with many of these recommendations superseded by later reviews such as the Independent Review of ACCUs in 2022, and reforms to the Safeguard Mechanism in 2022-23.
",East Asia & Pacific,High income,Australia Carbon Credit Unit (ACCU),A$31.96-41.73/tCO2e (US$19.82-25.87/tCO2e ),,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,The Australian Safeguard Mechanism accepts credits for compliance but is not a direct carbon pricing instrument,  177.870 ,  104.200 ,  200 ,  2.832 
Beijing Certified Emission Reduction Mechanism,Governmental,Implemented,2014,Subnational,Beijing,"Beijing Certified Emission Reduction Mechanism 

was launched in September 2014 after the authority issued Administrative Measures for Carbon Emissions Offsetting in Beijing (Trial). 

Eligible projects include green architecture, Low-carbon transportation, landscaping, renewable energy and energy saving.  ",Beijing Municipal Ecology and Environment Bureau revised and issued the Administrative Measures for Carbon Emissions Offsetting in Beijing Carbon Market in September 2024. ,East Asia & Pacific,Upper middle income,Beijing Certified Emission Reductions (BCERs),CNY83-110/tCO2-e (US$11.8–15.5/tCO2-e) (2024) ,,,,,,,,,,,Beijing pilot ETS ,  150 ,  -   ,  -   ,  1 
Beijing Forestry Offset Mechanism,Governmental,Abolished,2014,Subnational,Beijing,The Beijing Forestry Offset Mechanism is a subnational crediting mechanism running in parallel with the China GHG Voluntary Emission Reduction Program (the national crediting mechanism). BFCERs are only eligible for compliance use under the Beijing pilot ETS. The Beijing Forestry Offset Mechanism was established in the same year as China’s national crediting mechanism and focuses on crediting forestry carbon sequestration activities within the Beijing municipality.,"The ""Urban green space Carbon sink function Accounting Project based on remote sensing and carbon flux Monitoring"" of Beijing Landscape Planning and Resources Monitoring Center has made new progress. Beijing Tongzhou District Landscaping Bureau actively promote forestry carbon sink pilot construction.",East Asia & Pacific,Upper middle income,Beijing Forestry Certified Emission Reductions (BFCERs),CNY13.8-61/tCO2e (US$2.1-9.28/tCO2e) (2020),,No,No,No,Yes,No,No,No,No,No,Beijing pilot ETS,  -   ,  -   ,  -   , Not available
Beijing Parking Offset Crediting Mechanism,Governmental,Abolished,2017,Subnational,Beijing,"Similar to the Beijing Forestry Offset Mechanism, the Beijing Parking Offset Mechanism is a subnational crediting mechanism running in parallel with the China GHG Voluntary Emission Reduction Program. The Mechanism was established in 2017. It is mainly an incentive program to encourage citizens to stop using fossil fuel vehicle by providing 0.5 Yuan/day. In April 2020, Beijing Environment and Ecology Bureau extend the scope of application to various low-carbon travel modes such as public transportation, rail, walking, bicycle, and ridesharing. In September 2020, the Beijing Municipal Commission of Transport and the Beijing Municipal Bureau of Ecological Environment launched a carbon inclusive incentive measure for green travel based on the Beijing MaaS platform. In addition, PCERs were made eligible for compliance to use under the Beijing pilot ETS.","Relying on the pilot carbon market in Beijing, we have innovatively opened up carbon inclusion and carbon trading. The public low-carbon travel carbon reduction collected by the carbon inclusive platform, after verification, can be traded in the pilot carbon market in Beijing, and used to settle the quota of key carbon emission units or take the initiative to fulfill the social responsibility of carbon reduction.",East Asia & Pacific,Upper middle income,Parking Certified Emission Reductions (PCERs),CNY56-130/tCO2e (US$7-19/tCO2e) (2023),,No,No,Yes,No,No,No,No,Yes,No,Beijing pilot ETS,  -   ,  -   , Not available, Not available
British Columbia Offset Program,Governmental,Implemented,2016,Subnational,British Columbia,"British Columbia’s crediting mechanism was legislated through the GHG Emission Control Regulation under the Greenhouse Gas Industrial Reporting and Control Act (GGIRCA) in 2014. Emissions reductions from projects within British Columbia can earn British Columbia Offset Units, which can then be sold to facilities covered under the GGIRCA—a baseline and-credit ETS, such as pulp and paper operators, to satisfy their legislative requirements. The Canadian Federal Government recognized British Columbia's offset programs as source of credits for the federal OBPS program in August 2020. Regulated operations with emissions reductions less than the emissions limit applicable can hold Earned Credits, which can then be sold to facilities to satisfy their compliance obligation.",The and Forest Carbon Offset Protocol was approved in April 2024.  A Carbon Capture and Sequestration Protocol is in development and targeted for publication in 2025.,North America,High income,British Columbia Offset Units (BCOs) and British Columbia Earned Credits (BCEs),"CAN$8-15/tCO2e (US$6-12/tCO2e) (2020)
BC does not have regulations requiring the disclosure of price transparency. However, the BC Carbon Neutral Government Program, as purchaser, does publish its offset purchase prices annually: PSO CCARs and annual summary reports - Province of British Columbia The latest is from 2022.",,No,No,Yes,Yes,No,No,No,No,Yes,Greenhouse Gas Industrial Reporting and Control Act (GGIRCA),  17.739 ,  6.336 ,  -   ,  92 
California Compliance Offset Program,Governmental,Implemented,2013,Subnational,California,"The California Compliance Offset Program is the mechanism that supplies compliance offset credits for use in California’s Cap-and-Trade Program. The Compliance Offset Program is implemented and overseen by the California Air Resources Board (CARB) and leverages approved Offset Project Registries to assist in administering the offset project registration and credit issuance application processes. The amount of offset credits compliance entities can use to meet their obligations under California’s Cap-and-Trade Program (also called the quantitative usage limit) was reduced from 8% (for 2013-2020 GHG emissions) to 4% for emissions during 2021-2025, and then will be 6% for emissions in 2026 and beyond. In addition, no more than one half of the quantitative offset usage limit can be met from offset credits that do not provide direct environmental benefits within the state of California. A Compliance Offsets Protocol Task Force provides guidance to CARB in approving new and revising current offset protocols. The design of the Compliance Offset Program has been successfully litigated.","In 2024, CARB held three public workshops to discuss concepts related to potential updates to the Cap-and-Trade Program, including potential adjustments to allowance budgets. CARB anticipates initiating a formal rulemaking process during 2025.",North America,High income,Air Resources Board Offset Credits (ARBOCs) is the regulatory name; many market participants also use the term California Carbon Offsets (CCOs),US$20.88/tCO2e (weighted average price for 2023),,Yes,No,No,Yes,Yes,Yes,No,No,No,California Cap-and-Trade Program and Québec Cap-and-Trade System,  278.536 ,  164.614 ,  6.451 ,  569 
Canada Federal GHG Offset System,Governmental,Implemented,2022,National,Canada,"Canada’s GHG Offset Credit System was launched in June 2022, building on the Pan-Canadian Greenhouse Gas Offsets Framework (Offsets Framework) agreed upon by the Canadian Council of Ministers of the Environment (CCME) in 2018. The main purpose of the system is to generate offset credits for use in the federal Output Based Pricing System (OBPS), thereby increasing the supply of compliance units for the system and reducing compliance cost while creating incentives for voluntary GHG mitigation projects. Federal offset credits can be used for compliance in the Clean Electricity Regulations and are also being proposed for compliance use in the proposed Oil and Gas Greenhouse Gas Emissions Cap Regulations. Federal offset credits can also be used voluntarily for other purposes such as Canada’s Net Zero Challenge. ","Environment and Climate Change Canada (ECCC) published an offset protocol for Improved Forest Management on Private Land on May 6th, 2024 and an updated version (1.1) was released on October 15 2024.

ECCC published a discussion paper entitled Facilitating Projects on Crown and Public Land in Canada’s Greenhouse Gas Offset Credit System. Feedback on this paper will help to inform how offset projects can be developed on provincial Crown land or public land administered by territorial governments.  ",North America,High income,Federal Offset Credit ,n/a,,,,,,,,,,,"Canada’s federal Output-Based Pricing System
Clean Electricity Regulations",  -   ,  -   ,  -   ,  59 
