"Data last updated by May 22, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Eligible Activities,,,,,,,,,,,,,
Chile Green Tax Emissions Offsetting Scheme,Governmental,Implemented,2024,National,Chile,"In September 2023, the Ministry of Environment approved Regulation No° 43.664, establishing the obligations and procedures for evaluating, verifying, and certifying emission reduction projects to offset the carbon tax in the country. Some of the key points include: 
-	Regulated entities can offset all or a portion of their carbon tax-covered emissions.
-	For offsetting, there may be a maximum of three years between the year of reduction of the emissions used to compensate and the year in which the taxed emissions are generated.
-	The mitigation initiatives generating eligible carbon credits shall be aligned with the country’s NDC.
-	Emissions may only be offset by implementing projects to reduce emissions of the same pollutant. 
-	Offset projects must be located within Chile. Entities seeking to compensate for their particulate matter emissions must invest in projects located in the same area as the emitting installation.
The compensation scheme recognizes VCS, CDM, Gold Standard, Cercarbono and Biocarbon Standard as external certification programs or standards, so credits under these standards can then be used to offset emissions under the carbon tax..","During 2024, 258,547 tCO2eq credits from Verra, CDM and Gold Standard were homologated and cancelled for Chilean Carbon Tax.",Latin America & Caribbean,High income,Certificado de Reducción de Emisiones (CRE),USD 0.5 - USD 5,,,,,,,,,,,Chile's carbon tax,  517 ,  -   ,  -   ,  16 
China GHG Voluntary Emission Reduction Program,Governmental,Implemented,2012,National,China,"National Voluntary Greenhouse Gas Emission Reduction Trading Market was established by the Ministry of Ecology and Environment (MEE) in conjunction with the State Administration for Market Regulation in 2023, and launched in 2024. Its predecessor was the China GHG Voluntary Emission Reduction Program established by the National Development and Reform Commission (NDRC) in 2012. The Market is an offset crediting mechanism to support greater control and management of domestic GHG emissions and the promotion of the domestic carbon market. The registration of projects started in 2015 but the registration of new projects was suspended in 2017 while regulations were reviewed. In 2018, because of restructuring, the competent authority of National Voluntary Greenhouse Gas Emission Reduction Trading Market has transferred to  the Ministry of Ecology and Environment (MEE). In 2023, the MEE and the State Administration for Market Regulation jointly released the Measures for the Administration of Voluntary Greenhouse Gas Emission Reduction Trading (Trial). CCERs can be used by the compliance entities to offset up to 5% under the national ETS to help meet emission obligations.","On January 22, 2024, National Voluntary Greenhouse Gas Emission Reduction Trading Market relaunched.
On August 23, 2024, the Registry, National Center for Climate Change Strategy and International Cooperation (NCSC), released announcement that NCSC officially started to accept applications for voluntary emission reduction projects and emission reduction.
Until December 31, 2024, 63 projects were publicly listed for open comment, which were expected to generate 14.67 million tonnes of CO2 emission reduction per year. 

",East Asia & Pacific,Upper middle income,Chinese Certified Emission Reductions (CCERs),CNY2.84-176/ tCO2-e(US$0.40-24.68/ tCO2-e,,No,No,Yes,Yes,No,No,Yes,No,Yes,"China National ETS, Beijing pilot ETS, Chongqing pilot ETS, CORSIA, Fujian pilot ETS, Guangdong pilot ETS, Hubei pilot ETS, Shanghai pilot ETS, Shenzhen pilot ETS, Tianjin pilot ETS",  77.000 ,  69.000 ,  8.000 ,  1.049 
Chongqing carbon offset mechanism,Governmental,Implemented,2021,Subnational,Chongqing,"The Chongqing carbon offset mechanism was launched in September 2021. Eligible projects include afforestation, landfill methane, green architecture, Low-carbon transportation and (non-hydro) renewable energy. Chongqing Certified Emission Reduction (CQCERs) can either be used for compliance purposes under the Chongqing ETS or for voluntary purposes, such as by individuals and corporations looking to meet carbon neutral goals. The mechanism recognizes emissions reductions generated after September 14 of 2021 and projects must be located within Chongqing and must have commenced after June 19, 2014

The mechanism recognizes emissions reductions generated after January 1 of 2016 and projects must be located within Chongqing and must have commenced after June 19, 2014.","The Chongqing carbon credit mechanism was modified in September 2024. The mechanism reduces the number of project categories, recognizes emissions reductions generated after September 14 of 2021, and optimizes the registration process.",East Asia & Pacific,Upper middle income,Chongqing Certified Emission Reduction (CQCER),CNY19-45/ tCO2-e(US$2.68–6.34/tCO2-e),,No,No,No,Yes,No,No,Yes,No,Yes,Chongqing pilot ETS,  1.915 ,  -   ,  -   ,  1 
Clean Development Mechanism,International,Implemented,2006,Global,UNFCCC,The Clean Development Mechanism (CDM) was established under the Kyoto Protocol to credit emission reductions from projects in developing countries. ,At COP27 further guidance was agreed on concerning the rules and processes for transitioning eligible CDM projects to the Article 6.4 Mechanism under the Paris Agreement.,,,"Certified Emission Reduction (CER), temporary Certified Emission Reduction (tCER), long-term Certified Emission Reduction (lCER)",,,,,,,,,,,,"South Africa Carbon Tax, CORSIA",  2.450.027 ,  179.950 ,  1.035 ,  8.535 
Climate Action Reserve,Independent,Implemented,2001,Global,,"The Climate Action Reserve originally began as the California Climate Action Registry and was created by the State of California in 2001 to promote and protect local businesses as they took actions to manage and reduce their GHG emissions. CRTs are mainly used for voluntary offsetting purposes and most (around 97%) are from activities that reduce emissions from landfills, reduce ozonedepleting substances, and forestry.",,,,Climate Reserve Tonnes (CRTs),US$2.34/tCO2e (unweighted average) (2020),,Yes,No,No,Yes,No,Yes,No,No,Yes,"CORSIA, Washington State CAR",  222.322 ,  184.301 ,  1.468 ,  733 
Climate Credit System,Governmental,Under development,,Subnational,Catalonia,"The Catalonian government approved a new carbon credit system in 2023. Initial credits under the scheme will be forestry based, with new methodologies potentially covering soil carbon projects. ",,Europe & Central Asia,High income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
Colombia Crediting Mechanism,Governmental,Implemented,2017,National,Colombia,"The law that established Colombia’s carbon tax (Law 1819 from 2016, modified by Law 2277 from 2022) also established a Carbon Tax Exemption Mechanism (Mecanismo de No Causación) for those who offset emissions. Taxpayers can request an exemption by offsetting up to 50% of the GHG emissions that would result in the tax. The offsetting must comply with the necessary characteristics and in the amount corresponding to the projected GHG emissions and the eligibility criteria for the carbon credits to be accepted. In 2022, an amendment (Law 2277 from 2022 - paragraph 1, article 47), established that the carbon tax exemption may not exceed 50% of the GHG emissions that would incur the tax. This is intended to strengthen the price signal for behavioral change in fossil fuel consumption. With the inability to fully offset emissions, taxpayers will need to focus on improving efficiencies or innovating in their processes to reduce emissions.

Projects eligible for the exemption mechanism must ensure transparency in their implementation, compliance with the national MRV system, demonstrate a reliable methodological development, publicly register their mitigation results as well as the ownership of the GHG emission reductions or removals achieved, and their results must be verified by an accredited third party (Validation and Verification Bodies - VVBs).","During 2024, the Ministry of Finance has been working to strengthen the carbon tax control system (including its exemption mechanism), as well as the criteria for exemption-eligible carbon credits, with the aim of improving the transparency and consistency of the mechanism. 

In 2024, the framework of the modification in carbon tax provided by Law 2277 from 2022, motivated the modification in Decree 926 from 2017, to improve the measures about the exemption mechanism, currently the modification in on discussion with the Ministry of finance and Ministry of environment supported by the National Customs and Taxes Direction.",Latin America & Caribbean,Upper middle income,"CERs: Certificate of Emission Reductions under the CDM mechanism (only from Colombian projects)
VERs: Certified GHG emission reductions or removals under voluntary standards (other than CDM).","Variable.
Its tariff is currently set at COP25.799,56 for 2024. This maximum price is implicit because those who opt for the exemption will choose credits that are below the current carbon tax rate, in order to save money.
According to GoldStandard's Dashboard for the Pacific Alliance, however, prices offered (regardless of the purpose of sale) range from USD 2.75 to USD 29.28.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Colombia's carbon tax,  135.926 ,  98.098 ,  -   ,  383 
Ecuador Crediting Mechanism,Governmental,Under development,,National,Ecuador,"The Ecuador Crediting Mechanism is promoted by the Minstry of the Environment, Water and Ecological Transition and seeks to contribute to the decarbonization of the country's economy. This mechanism aims to reward mtigiation activities for project activities generated in Ecuador from a variety of sectors.",,Latin America & Caribbean,Upper middle income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
Egypt Crediting Mechanism,Governmental,Under development,,National,"Egypt, Arab Rep.","Egypt's voluntary offsets market was announced at COP27 in 2022, and activity to establish the new scheme has increased in 2024, with Egypt's Financial Regulatory Authority approving three verification and certification bodies, and the government establishing the legal status of voluntary carbon credits to be traded under the new mechanism.",,Middle East & North Africa,Lower middle income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
EU Carbon Removal Certification Framework,Governmental,Under development,,Regional,EU,The EU is developing a EU carbon removal certification framework to establish a voluntary framework for the certification of high-quality carbon removals. This framework is supposed to boost carbon removal technologies that remove carbon from the atmosphere (sequestration projects) as well as carbon farming.,"On 20 February 2024, the European Parliament and the Council of the EU reached a provisional agreement on the Carbon removals and carbon farming (CRCF) Regulation, establishing the first EU-wide voluntary framework for certifying carbon removals, carbon farming and carbon storage in products generated in Europe. The regulation establishes EU quality criteria and outlines monitoring and reporting processes in order to facilitate investment in innovative carbon removal technologies, as well as sustainable carbon farming solutions, while addressing greenwashing.

The European Parliament and Council now need to formally approve the agreement. Once this process is completed, the new legislation will enter into force.",Europe & Central Asia,High income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
Fujian Forestry Offset Crediting Mechanism,Governmental,Implemented,2016,Subnational,Fujian,"The Fujian Forestry Offset Crediting Mechanism was launched as a subnational crediting mechanism to credit emission reductions from forestry sequestration activities within the province of Fujian. According to the Measures for the Administration of Fujian Carbon Emission Rights Offset (Trial), forestry carbon sequestration projects are developed in accordance with the methodology of forestry carbon sequestration projects published by Fujian Development and Reform Commission. The carbon sequestration (emission reduction) should be registered in Fujian Voluntary Emission Reduction Trading Registry by Fujian Provincial Department of Ecology and Environment, and then traded on Fujian Carbon Emission Trading Platform (Haixia Equity Exchange).",None,East Asia & Pacific,Upper middle income,Fujian Forestry Certified Emission Reduction (FFCERs),CNY16.5–42.83/tCO2-e (US$2.30–5.96/tCO2-e) ,,No,No,Yes,Yes,No,No,No,No,No,Fujian pilot ETS,  2.900 ,  -   , Not available,  20 
Gold Standard,Independent,Implemented,2003,Global,,"The Gold Standard was established in 2003 by international NGOs including the World Wildlife Fund as a crediting mechanism for additional certification on the social and environmental impacts of Certified Emission Reductions and later as an issuer of its own credits. It has requirements that projects must generate sustainable development benefits, such as gender equality and health improvements for local communities, alongside emission reductions. There are also strict safeguards against negative project impacts, based on best-practice international standards such as from the IFC.","Notable developments in 2022 included the introduction of mandatory use of a sustainable development goal (SDG) tool to support standardized reporting of SDG impacts, introduction of new registry functionality and requirements to support use of Article 6, and the launch of working groups and consultations on digitization of the carbon market, including digital monitoring, reporting, and verification (MRV) and digital infrastructure and tokenization. In addition, Gold Standard introduced multiple new methodologies to enable crediting activities, including for electric two- and three-wheeled transportation, carbon sequestration through concrete aggregate, the paper and pulp sector, and its first clean cooking methodology integrating digital MRV to enable real-time measurement of energy use.",,,Verified Emission Reductions (VERs),US$5.27/tCO2e (unweighted average) (2020),,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,"Colombia carbon tax, CORSIA, South Africa carbon tax",  311.261 ,  192.722 ,  -   ,  1.653 
Greenhouse Gas Crediting and Offsetting Mechanism (GCOM),Governmental,Implemented,2024,National,Saudi Arabia,"The Greenhouse Gas Crediting and Offsetting Mechanism (GCOM) aims to achieve specific national emission reduction and/or removal levels, across all sectors. The proceeds from credit sales are supposed to fund nature conservation activities.",,Middle East & North Africa,High income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
Guangdong Pu Hui Offset Crediting Mechanism,Governmental,Implemented,2017,Subnational,Guangdong (except Shenzhen),"The Pu Hui Offset Crediting Mechanism is a subnational mechanism that credits emission reduction activities within the province of Guangdong. PHCERs are primarily intended to be used by compliance entities under the Guangdong pilot ETS. Similar to other Chinese subnational mechanisms, projects applying for PHCERs are not eligible to apply for CCERs and vice versa.",None,East Asia & Pacific,Upper middle income,Pu Hui Certified Emissions Reductions (PHCERs),CNY35.28-69.3/tCO2e (US$4.95-9.63/tCO2e),,No,No,No,Yes,No,No,Yes,No,No,Guangdong pilot ETS,  3.222 ,  -   , Not available,  546 
India Crediting Mechanism,Governmental,Under development,2026,National,India,"Under the Carbon Credit Trading Scheme (CCTS), the Government of India is envisaging two mechanism:
1. Compliance Mechanism (see ""India ETS"")– an emission intensity based (target and credit) mechanism where obligated entities will be given GHG emission intensity-based targets and based on the performance against the targets, entities would be issued the credits or will require to surrender the certificates 
2. Offset Mechanism – The offset mechanism is voluntary in nature where non obligated entities can register their projects based on meeting the eligibility criteria and other requirements","In July 2024, the government of India published detailed procedure for Compliance mechanism and  Accreditation Eligibility Criteria and Procedure for Accredited Carbon Verification Agencies. The Bureau of Energy Efficiency, has also published a list of 10 sectors to be covered under the offset mechanism of Carbon Credit Trading Scheme. ",South Asia,Lower middle income,Carbon Credit Certificates,,,,,,,,,,,,India ETS (Compliance Mechanism) ,  -   ,  -   ,  -   ,  -   
Indonesia Crediting Mechanism,Governmental,Under development,,National,Indonesia,"Under the umbrella of the 2021 presidential framework regulation on carbon pricing, Indonesia’s Ministry of Environment and Forests adopted a ministerial regulation on domestic carbon trading on October 20, 2022. The regulation covers approaches and criteria for allowance-based emissions trading, carbon credit trading, and performance-based mitigation payments. In relation to domestic carbon crediting, the regulation outlines general rules and modalities for the validation and registration of eligible mitigation project activities and for verification, certification, and trading of achieved mitigation outcomes (carbon credits). The ministerial regulation states that carbon credit generation and trading would be eligible in the energy, waste, industrial processes, agriculture, and forestry sectors, as well as other sectors where there is sufficient knowledge and technology to carry out projects. 

Indonesian government ministries must develop plans for each subsector they are responsible for on how the subsector will meet its share of Indonesia’s nationally determined contribution (NDC) targets. The proposal requires a subsector plan to be in place before credits can be traded. The regulations set out that a proportion of issued credits will be withheld by the government to help ensure Indonesia meets its NDC. Importantly, the regulation also includes provisions for (1) mutual recognition of reputable international carbon standards and (2) corresponding adjustments, including implementation arrangements.","Indonesia’s national carbon exchange was launched in September 2023 and is primarily designed for domestic players. The initial exchange will be voluntary, except for domestic operators of coal-fired power plants, which will be required to trade allowances to stay below an emissions cap. To be eligible to host credits on the exchange, developers must be registered and verified on Indonesia’s national registry (SRN).
",East Asia & Pacific,Upper middle income,,,,,,,,,,,,,"ETS, with no limit of credits used for compliance. However, the MEMR Regulation no 16/22 only allows for offset credit from the energy sector. Eligible offset source are:
a.	New and renewable energy-based generation activities;
b.	Transport, construction and industry Subsector activities, including energy efficiency activities; and
c.	Other activities in the energy Sector.

Currently no information on use of credits for carbon tax.",  -   ,  -   ,  -   ,  -   
Indo-Pacific Carbon Offsets Scheme,Governmental,Removed,,Regional,Australia,"The Indo-Pacific Carbon Offsets Scheme (IPCOS) is a 10-year program that was launched in November 2021 and will run until 2031 with a funding of $104 million. The scheme enables partnerships between Australian Government and Indo-Pacific economies, civil society and industry and aims to help partner countries create and trade credible and robust carbon offsets under the rules of the Paris Agreement. The first partners in IPCOS, announced at COP26, were Fiji and Papua New Guinea.","In 2023, Papua New Guinea and Australia signed the Indo-Pacific Carbon Offsets Scheme (IPCOS) Joint Action Plan as a key outcome of the 2023 PNG-Australia Climate Change Dialogue. The focus of the partnership is on capacity building and institutional strengthening. Furthermore, 5 key areas for cooperation and high-level activities for 2023-24 have been agreed. Currently, IPCOS is focused on general capacity building around markets for Small Island Developing States.
",East Asia & Pacific,High income,,,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   
J-Credit Scheme,Governmental,Implemented,2013,National,Japan,"The J-Credit Scheme was established in 2013 to support regional efforts to reduce GHG emissions in Japan. This scheme integrates two voluntary crediting mechanisms in the country: Japan’s Domestic Credit Scheme and the Japan Verified Emission Reductions (J-VER). J-credits are predominantly used for voluntary offsetting, in Japan including domestic initiatives such as the Keidanren’s Commitment to a Low-Carbon Society, reporting emissions in accordance with the Act on the Promotion of Global Warming Countermeasures (1998), and reporting energy efficiency projects under the Act on Rational Use of Energy (1979). Participants in GX-ETS could procure J-credit to achieve the reduction target. The GX-ETS system will start in full swing from 2026.","Institutional documents were revised for the development of J-credit system, including expansion of the scope of J-credit system, streamlining of verification process of J-credit with introduction of MRV supporting system, and application to Carbon Offsetting and Reduction Scheme for International Aviation CORSIA).   ",East Asia & Pacific,High income,J-credits,"Max: JPY9,900/t-CO2 (US$67/tCO2e -Forest) /  Min: JPY1,510/t-CO2 (US$10.27/tCO2e - Energy saving)  ",,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"GX-ETS (under consideration), Saitama ETS ",  12.790 ,  6.074 ,  -   ,  760 
Joint Crediting Mechanism,Governmental,Implemented,2013,Regional,Japan,"The JCM was initiated by Japan as a bilateral crediting mechanism between Japan and partner countries. The partner countries who have established the JCM with the government of Japan host and implement the emission reduction projects. Based on decisions by the Joint Committee, which consists of government representatives from both countries, each government issues JCM credits to approved mitigation outcomes. The JCM facilitates the diffusion of leading decarbonization technology,  and the Japanese government can provide financial support for projects. The JCM credits are to be used to achieve its NDC.","-	In June 2024, Act partially amending the Act on Promotion of Global Warming Countermeasures was promulgated in Japan. The Amendment Act stipulates the procedures for the competent ministers regarding the issuance of JCM credits and management of the registry, etc., based on coordination with partner countries. The Act also institutionalizes a designated implementation entity that can issue and manage JCM credits on behalf of the competent ministers.",East Asia & Pacific,High income,JCM credits,Not available,,No,No,Yes,No,No,No,Yes,Yes,No,GX-ETS (1st phase),  771 ,  78 ,  -   ,  102 
