"Data last updated April 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,Jurisdiction,Status,Type,Country income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta carbon tax,Alberta,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,"710,4877861","1025,972053",,,,,,
Alberta TIER,Alberta,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,"44,37463185","75,95698925","62,51178578","81,82101006","61,72112648","89,40839695","88,4226302","67,58056758","104,3123991","159,1276874","71,53705954","407,4272178","349,3542706","441,8266903","390,7341301","652,5679758","412,1429093"
Argentina carbon tax,Argentina,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"313,929632","152,8346165","225,0505586"
Australia Safeguard Mechanism,Australia,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia CPM,Australia,Abolished,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,"3327,3615","6180,2068","3267,3024",,,,,,,,,,
Austria ETS,Austria,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"916,32978","1264,2567"
Baja California carbon tax,Baja California,Abolished,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1,202437515",,,
Beijing pilot ETS,Beijing,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,140796655"
BC carbon tax,British Columbia,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,"179,6583546","454,1935484","651,5180087","937,4675931","1058,777353","1141,221374","1127,763207","955,5876223","923,2070105","956,3073129","1069,828372","1243,982578","1167,082477","2314,829756","1706,115164","2001,510574","1888,105502"
BC OBPS,British Columbia,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California CaT,California,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,"55,76","476,7979802","436,571463","2558,161288","899,7233337","2024,167788","3019,347035","3064,749861","1698,315586","3993,21413","4027,362236","4720,559638","4400,713191"
Canada federal fuel charge,Canada,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1489,455185","3140,959789","4843,270938","5724,429614","5845,92145","8858,771097"
Canada federal OBPS,Canada,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"120,3404755","192,0284008","228,9306224",0,0
Chile carbon tax,Chile,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,5","165,5","165,5",165,168,171,139,140
China national ETS,China,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing pilot ETS,Chongqing,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,106183484"
Colombia carbon tax,Colombia,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,0814767","100,3388153","140,7025676","29,16848584","90,79491766","112,8595884","124,3225487","133,0665206"
Denmark carbon tax,Denmark,Implemented,Carbon tax,High income,US$ millions,,,,,"527,1268568","593,8396078","629,3456033","546,2342939","598,8283793","628,899287","618,6533154","556,0927883","638,7294808","755,6197667","800,117857","831,0361602","883,1850564","932,5494039","1085,79769","960,6209769","962,0827196","1159,217606","973,0361438","1039,412741","678,0003305","553,4561252","553,9087997","547,8400982","564,7154522","539,574908","548,5175","550,4059324","472,9672917","482,0308714","503,4934812"
Estonia carbon tax,Estonia,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,"2,8668","4,24","4,9565","6,9258","6,084","9,6696","13,9843","18,907","4,7325","4,2288","2,4656","2,8976","2,518","2,6074","2,7376","2,22","2,7959985","2,8655532","2,9273238","2,8497339","1,5904","2,032164","1,6419375","1,711395","2,149"
EU ETS,EU,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,"293,7712472","369,312065","817,2889963","4711,592994","4318,130684","5455,277459","4218,582009","6298,830856","16531,12285","16615,45415","21456,28472","36909,94455","40407,43572","47330,23605","41702,91389"
Finland carbon tax,Finland,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,0,0,0,0,0,"564,5952","540,2889","583,5267","609,0755","766,665","569,4784","600,3736","1018,5064","1257,741","1348,0258","1446,8216","1236,54","1314,625938","1442,90475","1513,354125","1473,242063","1453,76","1663,76","1636,052419","2095,01913","1375,36"
France carbon tax,France,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,"410,64",2553,"4231,3","6205,8456","9610,8552","9306,18",9184,"9031,84","8027,25","8366,82","7843,85"
Fujian pilot ETS,Fujian,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,523873177",0,0,0,0,"0,193423598","0,186450285",0,
Germany ETS,Germany,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"8537,207956","6675,073102","11670,20513","13933,16874"
Guangdong pilot ETS,Guangdong (except Shenzhen),Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,"29,12385729","92,81081872","5,88725899","1,614574729","2,322323798",0,0,"1,597055076",0,"121,6401659",0,
Hubei pilot ETS,Hubei,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,"6,501633535",0,0,0,0,"17,93579121","6,984284298","13,23017408","12,93070016","6,473561699",
Iceland carbon tax,Iceland,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,0190165","35,31345393","50,87933791","48,4858514","47,92626728","50,06075334","54,87235367","55,05984766","54,22860442"
Indonesia ETS,Indonesia,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland carbon tax,Ireland,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,"273,6816","433,1912","446,945","505,8356","526,988","465,09","484,3725","507,834","507,123","499,356",,"582,316","824,6175","1015,971","1111,033"
Israel carbon tax,Israel,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Japan carbon tax,Japan,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,"493,0643127","905,4325956","1676,032732","1386,057888","2549,076774","2343,219582","2374,83024","2423,318551","2432,909277","1980,376271","1617,884983","1541,503313","1451,883105"
Kazakhstan ETS,Kazakhstan,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,
Korea ETS,"Korea, Rep.",Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"200,994271","207,1671439","260,9862157","243,9323242","64,12266149","134,4467701"
Latvia carbon Tax,Latvia,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"2,7376","3,33","6,618224211","8,965376185","9,408459613","9,402286907","4,76784","7,18982","7,88390625","8,214696","8,12322"
Liechtenstein carbon tax,Liechtenstein,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,"0,985998817","0,922253989","2,80557374","3,546099291","4,186728072","3,174939147","5,636978579","4,245833776","4,890690752","5,047976637","4,020530368","4,244922889","6,344012245","6,907361366","4,739938564","5,050224763","9,155570351"
Luxembourg carbon tax,Luxembourg,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,19004","270,61215","294,675054","303,150834"
Manitoba carbon tax,Manitoba,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts ETS,Massachusetts,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"2,92931089","8,41975666","15,77973875","44,25823375","53,7654864","41,42299035","19,24632685"
