"Data last updated by May 22, 2025",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note: The credit issuance numbers below includes original and non-original issuances. Annual credit issuance numbers of governmental mechanisms are mostly based on self-reported numbers and may not align with self-reported cumulative numbers due to gaps in the data.,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Spain FES-CO2 Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.821 ,  45.790 ,  96.166 ,  202.581 ,  313.501 ,  517.605 ,  734.856 ,  841.985 ,  859.029 ,  580.216 ,  224.490 ,  99.824 
Sri Lanka Carbon Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.555 ,  1.051 ,  133 
Switzerland CO2 Attestations Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.636.481 ,  586.263 ,  697.424 ,  834.041 ,  1.065.773 ,  1.315.071 ,  1.372.085 ,  1.498.382 ,  1.499.414 ,  1.311.959 ,  658 ,  -   
Taiwan Voluntary GHG Reduction Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  12.410.000 ,  151.281 ,  -   ,  2.141.960 
Thailand Voluntary Emission Reduction Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  339.537 ,  287.124 ,  766.632 ,  583.141 ,  1.777.132 ,  2.258.361 ,  3.551.073 ,  4.412.436 ,  3.058.737 ,  4.402.796 
Tokyo Cap-and-Trade Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  47.000 ,  39.000 ,  219.000 ,  558.000 ,  1.600.000 ,  6.829.000 ,  867.000 ,  169.000 ,  268.000 ,  216.000 ,  11.000.000 ,  265.000 ,  54.000 ,  115.000 
UK Woodland Carbon Code,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  47 ,  -   
Verified Carbon Standard,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  20.591.856 ,  24.014.316 ,  24.153.406 ,  33.844.512 ,  28.742.372 ,  17.939.993 ,  20.401.187 ,  18.137.466 ,  43.489.634 ,  49.565.842 ,  118.848.834 ,  140.374.473 ,  295.083.465 ,  201.569.455 ,  148.384.227 ,  105.102.149 
Washington Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  249.136 ,  61.130 
,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
