"Data last updated by May 22, 2025",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note: The credit issuance numbers below includes original and non-original issuances. Annual credit issuance numbers of governmental mechanisms are mostly based on self-reported numbers and may not align with self-reported cumulative numbers due to gaps in the data.,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta Emission Offset System,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.011.000 ,  4.463.000 ,  5.057.000 ,  4.866.000 ,  3.618.000 ,  8.400.000 ,  393.000 ,  6.400.000 ,  7.799.074 ,  6.922.604 
American Carbon Registry,  125.000 ,  -   ,  500 ,  2.880.358 ,  11.027.146 ,  5.847.510 ,  7.938.812 ,  6.245.281 ,  171.069 ,  519.754 ,  4.115.915 ,  1.676.242 ,  4.287.042 ,  8.732.794 ,  27.095.713 ,  47.983.817 ,  12.048.989 ,  14.229.468 ,  28.693.311 ,  17.563.259 ,  29.322.192 ,  37.355.459 ,  44.657.782 
Australian Carbon Credit Unit Scheme (ACCU),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  300.000 ,  3.900.000 ,  7.600.000 ,  7.900.000 ,  13.100.000 ,  12.200.000 ,  12.400.000 ,  14.800.000 ,  16.100.000 ,  17.100.000 ,  17.700.000 ,  17.200.000 ,  18.784.758 
Beijing Certified Emission Reduction Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  149.665 
British Columbia Offset Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  768.150 ,  3.119.145 ,  205.507 ,  2.107.083 ,  1.356.296 ,  1.210.721 ,  4.835.135 ,  1.930.665 ,  587.428 
California Compliance Offset Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.268.680 ,  10.983.823 ,  19.561.213 ,  19.776.011 ,  32.732.903 ,  54.732.348 ,  26.541.225 ,  45.543.188 ,  17.409.784 ,  11.565.096 ,  13.797.604 ,  10.811.900 
Chile Green Tax Emissions Offsetting Scheme,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  258.547 
China GHG Voluntary Emission Reduction Program,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  21.000.000 ,  28.000.000 ,  4.000.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Chongqing carbon offset mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.200.000 ,  350.000 ,  365.198 ,  -   
Clean Development Mechanism,  -   ,  -   ,  -   ,  103.732 ,  25.688.774 ,  76.688.338 ,  137.874.364 ,  123.427.031 ,  132.396.048 ,  319.516.481 ,  339.393.698 ,  265.350.749 ,  103.956.913 ,  122.563.467 ,  130.442.400 ,  123.832.242 ,  78.732.685 ,  50.995.101 ,  70.930.939 ,  101.017.026 ,  150.463.412 ,  78.434.478 ,  18.219.586 
Climate Action Reserve,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  426.862 ,  1.895.410 ,  7.890.136 ,  9.765.382 ,  10.734.499 ,  12.875.064 ,  13.101.763 ,  16.461.305 ,  13.591.251 ,  16.026.345 ,  18.886.550 ,  18.887.796 ,  19.209.838 ,  9.928.909 ,  15.335.659 ,  13.470.477 ,  23.834.810 
Colombia Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Fujian Forestry Offset Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.073.000 ,  -   ,  767.000 ,  160.000 ,  330.000 ,  -   ,  -   ,  -   
Gold Standard,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  819.181 ,  1.096.855 ,  2.678.915 ,  3.550.246 ,  6.325.653 ,  9.234.923 ,  11.566.088 ,  9.761.633 ,  9.977.870 ,  9.903.784 ,  14.752.846 ,  11.900.040 ,  24.520.566 ,  28.186.285 ,  33.651.253 ,  56.155.334 ,  77.179.643 
Guangdong Pu Hui Offset Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  242.000 ,  605.000 ,  210.000 ,  600.000 ,  278.000 ,  -   ,  143.804 ,  571.753 
J-Credit Scheme,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.767 ,  393.234 ,  283.599 ,  1.262.962 ,  962.724 ,  1.693.358 ,  1.053.235 ,  589.898 ,  925.475 ,  1.008.816 ,  1.119.003 ,  1.746.470 
Joint Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  493 ,  9.253 ,  12.068 ,  5.719 ,  62.114 ,  486 ,  36.172 ,  612.525 ,  16.077 
Joint Implementation,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  120.000 ,  5.995.089 ,  30.954.580 ,  93.521.168 ,  526.192.335 ,  183.715.664 ,  31.138.841 ,  255.952 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Kazakhstan Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  11.697 ,  -   ,  -   ,  1.157 ,  1.341 ,  -   ,  77.749 ,  -   ,  1.691.540 ,  2.228.606 
Plan Vivo,  46.679 ,  48.755 ,  36.756 ,  55.081 ,  56.178 ,  90.872 ,  34.712 ,  121.032 ,  44.786 ,  209.161 ,  165.507 ,  370.224 ,  177.556 ,  218.453 ,  359.515 ,  283.270 ,  293.717 ,  426.709 ,  678.521 ,  1.309.963 ,  1.757.129 ,  2.832.155 ,  9.701.329 
Quebec Offset Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  177.661 ,  333.079 ,  53.253 ,  114.190 ,  85.234 ,  113.309 ,  175.674 ,  251.534 ,  177.747 ,  289.850 
Republic of Korea Offset Credit Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.102.025 ,  7.692.528 ,  4.793.438 ,  4.478.507 ,  3.109.352 ,  3.344.838 ,  5.197.248 ,  8.009.231 ,  7.602.711 ,  1.903.831 
RGGI CO2 Offset Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  14.515 ,  15.422 ,  13.608 ,  4.536 ,  -   ,  -   ,  -   ,  -   
Saitama Forest Absorption Certification System,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  200 ,  201 ,  -   ,  -   
Saitama Target Setting Emissions Trading System,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.660.000 ,  -   ,  -   ,  -   ,  -   ,  8.530.000 ,  -   ,  -   ,  -   ,  -   
Sakhalin Oblast Pilot crediting mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  96 ,  -   ,  -   
South Africa Crediting Mechanism,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.509.961 ,  5.652.599 ,  3.058.849 ,  1.488.128 ,  3.990.362 
