Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARG,meat_consumption_1,2588.92,2448.67,2441.88,2507.87,2388.22,2173.94,2226.5,2285.15,2144.91,2383.91,2385.11,2342.41,2180.4,2280.34,2395.81,2379.36,2475.54,2687.75,2705.48,2715.87,2318.05,2250.36,2419,2626.92,2477.76,2528.69,2419.8,2531.14,2510.71,2296.86,2275.25,2185.15,2180.41
ARG,meat_consumption_2,153.63,153.16,192.86,211.26,213.33,227.1,220.9,217,253.12,287.45,283.1,228.56,214.72,192.95,209.96,240.61,298.71,308.94,306.41,331.57,323.18,350.26,354.64,426.81,443.39,488.16,519.88,578.56,609.76,618.9,636.53,707.56,754.45
ARG,meat_consumption_3,321,333.8,382.04,596.1,719.01,738.6,786.22,770.09,811.56,954.82,959.58,932.89,660.46,697.75,826.19,934.52,1086.65,1160.86,1273.18,1367.82,1464.41,1643.89,1749.15,1711.1,1777.8,1921.4,1924.5,1914.77,1882,2042.53,2092.14,2087.18,2128.89
ARG,meat_consumption_4,84.34,87.83,72.1,71.3,92.8,88.37,71.56,65.84,58.24,55.35,59.14,59.15,58.28,56.27,54.35,52.51,51.66,53.06,50.21,47.78,47.91,51.04,56.06,55.18,59.02,56.14,50.03,48.25,49.02,50.44,50.05,49.12,49.52
ARG,meat_consumption_per_capita_1,52.24,48.65,47.79,48.51,45.39,40.65,41.04,41.65,38.56,42.57,42.5,40.92,37.61,39.01,40.59,39.92,41.13,44.29,44.11,43.88,37.03,35.58,37.89,40.75,38.03,38.43,36.42,37.78,37.17,33.74,33.21,31.71,31.48
ARG,meat_consumption_per_capita_2,3.38,3.32,4.11,4.45,4.42,4.63,4.44,4.31,4.96,5.59,5.5,4.35,4.04,3.6,3.88,4.4,5.41,5.55,5.44,5.84,5.63,6.03,6.05,7.21,7.42,8.08,8.52,9.41,9.84,9.91,10.12,11.19,11.87
ARG,meat_consumption_per_capita_3,5.8,5.94,6.7,10.32,12.24,12.37,12.98,12.57,13.07,15.27,15.31,14.59,10.2,10.69,12.53,14.04,16.17,17.13,18.59,19.79,20.95,23.27,24.53,23.77,24.44,26.15,25.94,25.59,24.95,26.87,27.34,27.12,27.53
ARG,meat_consumption_per_capita_4,1.68,1.72,1.39,1.36,1.74,1.63,1.3,1.18,1.03,0.97,1.04,1.02,0.99,0.95,0.91,0.87,0.85,0.86,0.81,0.76,0.75,0.79,0.86,0.84,0.89,0.84,0.74,0.71,0.71,0.73,0.72,0.7,0.7
AUS,meat_consumption_1,0,0,0,0,0,0,0,0,0,0,696.18,676.66,702.03,729.48,816.91,784.6,793.65,723.03,711.86,729.4,801.05,749.14,733.33,788.32,760.82,701.74,635.89,657.84,808.08,779.94,728.25,662.28,690.53
AUS,meat_consumption_2,0,309.45,335.6,324.8,341,349.8,335.5,347.28,363.52,356.31,353.41,384.34,435.89,478.67,476.84,507.52,509.17,562.72,546.53,565.54,590.25,584.2,620.94,612.16,625.81,681.52,676.73,699.56,713.61,719.2,715.63,720.81,733.11
AUS,meat_consumption_3,425,436.57,443.68,476.22,494.98,495.16,508.79,538.89,583.85,597.85,639.9,637.04,716.23,699.5,740.84,781.55,820.73,826.27,806.03,829.51,946.34,1009.29,1046.19,1058.22,1092.35,1121.83,1232.28,1276.08,1204.81,1228.28,1262.5,1322.24,1337.65
AUS,meat_consumption_4,319.27,300.16,250.2,230.32,260.84,184.42,196.48,208.08,220.51,217.1,285.69,263.15,256.71,218.94,235.22,245.35,262.03,269.47,251.81,286.49,223.59,178.6,200.58,223.41,243.32,256.1,258.93,201.47,229.43,233.8,238.93,222.26,249.75
AUS,meat_consumption_per_capita_1,0,0,0,0,0,0,0,0,0,0,24.21,23.25,23.87,24.52,27.16,25.76,25.71,23,22.19,22.32,24.14,22.22,21.41,22.63,21.5,19.55,17.43,17.74,21.47,20.42,18.82,16.94,17.5
AUS,meat_consumption_per_capita_2,0,12.94,13.85,13.28,13.81,14.01,13.29,13.61,14.09,13.67,13.39,14.39,16.15,17.53,17.28,18.16,17.97,19.5,18.57,18.85,19.38,18.88,19.75,19.15,19.27,20.68,20.21,20.56,20.66,20.52,20.15,20.09,20.24
AUS,meat_consumption_per_capita_3,14.8,15.01,15.05,16,16.47,16.3,16.56,17.36,18.61,18.85,19.92,19.6,21.81,21.05,22.06,22.98,23.81,23.54,22.5,22.73,25.54,26.81,27.35,27.21,27.65,27.98,30.25,30.82,28.66,28.8,29.21,30.29,30.36
AUS,meat_consumption_per_capita_4,12.23,11.35,9.34,8.51,9.55,6.68,7.04,7.37,7.73,7.53,9.78,8.91,8.6,7.25,7.7,7.94,8.36,8.44,7.73,8.63,6.64,5.22,5.77,6.32,6.77,7.03,6.99,5.35,6,6.03,6.08,5.6,6.23
BRA,meat_consumption_1,4456.74,4427.78,4518.52,4522.74,4988.02,5743.18,6208.08,5862.03,5629.94,6059.13,6208.47,6176.46,6402.99,7462.4,6853.29,7395.59,8104,7831.87,6965.53,6903.48,7084.87,7008.59,7138.42,7612.91,7689.6,6808.69,7004.06,7012.98,7067.44,6433,5864.51,5920.96,5808.7
BRA,meat_consumption_2,1055.69,1115.52,1153.1,1216.53,1276.85,1455.53,1549.62,1492.98,1581.48,1603.8,2405.03,2503.82,2437.52,2228.46,2105.14,2064.11,2406.79,2361.48,2462.26,2574.41,2689.32,2875.33,2916.63,2905.69,2884.48,3122.23,3016.6,3155.9,3339.77,3326.8,3576.44,3597.54,3822.21
BRA,meat_consumption_3,2118.73,2380.61,2572.77,2708.91,3007.8,3711.85,3578.25,3917.06,4338.28,4860.65,5176.02,5059.2,5535.4,5907.97,6304.61,5167,5615.41,5959.55,6876.86,7386.7,8492.6,8920.6,8727.5,8389.38,9137,9323.36,9216.59,9304.51,9205.64,9728.01,10522.17,10770.1,10899.82
BRA,meat_consumption_4,114.4,115.84,117,122.81,120.3,129.15,103.5,106.76,108.74,114.29,109.28,104.73,101.59,100.59,108.38,110.09,113.47,114.54,116.22,115.37,117.66,118.27,120.76,124.65,126.11,128.89,128.25,130.29,135.44,140.33,143.69,144.83,146.55
