Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRA,meat_consumption_per_capita_1,19.34,18.87,18.85,18.57,20.21,22.96,24.44,22.75,21.48,22.87,23.17,22.76,23.29,26.87,24.38,26,28.21,26.97,23.74,23.3,23.73,23.25,23.48,24.82,24.88,21.83,22.27,22.12,22.13,19.99,18.1,18.18,17.76
BRA,meat_consumption_per_capita_2,6.84,7.1,7.18,7.46,7.72,8.69,9.11,8.65,9.01,9.04,13.39,13.77,13.23,11.98,11.18,10.83,12.5,12.14,12.53,12.97,13.44,14.24,14.32,14.14,13.93,14.94,14.32,14.86,15.61,15.43,16.47,16.49,17.45
BRA,meat_consumption_per_capita_3,8.23,9.09,9.61,9.96,10.91,13.29,12.62,13.61,14.82,16.43,17.3,16.7,18.03,19.05,20.08,16.27,17.5,18.38,20.99,22.32,25.47,26.51,25.71,24.49,26.47,26.77,26.24,26.28,25.81,27.07,29.08,29.62,29.85
BRA,meat_consumption_per_capita_4,0.74,0.74,0.73,0.75,0.73,0.77,0.61,0.62,0.62,0.64,0.61,0.58,0.55,0.54,0.58,0.58,0.59,0.59,0.59,0.58,0.59,0.59,0.59,0.61,0.61,0.62,0.61,0.61,0.63,0.65,0.66,0.66,0.67
CAN,meat_consumption_1,983.68,974.36,960.85,930.05,957.6,971.12,969.93,981.77,1002.7,1030.28,1022.99,992.56,998.37,1064.09,1032.22,1010.61,1009.17,1041.81,1022.67,985.09,990.53,977.16,998.39,999.02,977.06,907.51,952,958.9,976.86,990.93,1020.05,953.82,1012.19
CAN,meat_consumption_2,727.26,728.21,808.46,796.02,827.63,818.6,773.37,763.96,869.68,919.53,885.38,902.86,877.46,799.77,856.8,748.34,769.27,831.49,799.29,799.6,756.52,741.3,780.58,738.78,733.27,836.82,757.67,754.31,809.79,834.83,722.22,658.03,777.79
CAN,meat_consumption_3,764.27,773.11,783.33,812.23,873.86,872.42,874.62,899.54,928.17,977.78,1032.59,1084.03,1105.85,1121.28,1140.87,1158.23,1180.52,1197.88,1215.38,1214.82,1216.16,1190.32,1193.1,1217.45,1262.94,1332.87,1372.12,1394.65,1464.32,1498.8,1476.02,1506.18,1573.4
CAN,meat_consumption_4,22.96,24.33,23.88,24.52,23.83,23.75,22.33,22.13,25.01,26.06,28.95,32.09,32.37,34.2,35.32,36.03,39.52,40.14,38.85,38.86,36.98,36.53,33.59,35.17,37.31,37.42,38.4,40.46,39.86,36.89,37.86,37.41,40.06
CAN,meat_consumption_per_capita_1,23.5,22.98,22.28,21.33,21.73,21.81,21.56,21.62,21.9,22.32,21.96,21.11,21.01,22.18,21.33,20.68,20.42,20.91,20.3,19.33,19.25,18.81,19.02,18.83,18.23,16.77,17.41,17.32,17.39,17.45,17.76,16.49,17.37
CAN,meat_consumption_per_capita_2,18.93,18.71,20.43,19.89,20.46,20.03,18.73,18.33,20.7,21.7,20.71,20.92,20.11,18.16,19.29,16.69,16.96,18.18,17.29,17.1,16.02,15.54,16.2,15.17,14.91,16.85,15.1,14.85,15.71,16.02,13.7,12.4,14.55
CAN,meat_consumption_per_capita_3,16.35,16.33,16.27,16.68,17.76,17.54,17.41,17.74,18.16,18.97,19.85,20.65,20.84,20.93,21.11,21.23,21.39,21.53,21.61,21.35,21.16,20.52,20.35,20.55,21.1,22.06,22.47,22.56,23.35,23.64,23.02,23.32,24.18
CAN,meat_consumption_per_capita_4,0.54,0.57,0.55,0.55,0.53,0.53,0.49,0.48,0.54,0.56,0.61,0.67,0.67,0.7,0.72,0.73,0.79,0.79,0.76,0.75,0.71,0.69,0.63,0.65,0.69,0.68,0.69,0.72,0.7,0.64,0.65,0.64,0.68
CHE,meat_consumption_1,172.05,176.83,175.72,170.57,157.42,157.12,156.46,158.44,158.61,157.57,146.71,145.47,146.91,146.41,147.03,149.4,154.56,152.64,160.14,159.77,164.67,168.6,166.41,171.77,172.07,169.26,170.13,166.94,171.67,170.63,172.81,174.85,175.24
CHE,meat_consumption_2,272.34,267.31,265.27,262.22,247.57,254.1,236.91,233.4,245.41,240.61,240.83,242.03,245.34,242.77,241.66,246.83,252.86,252.09,251.85,249.18,258.9,256.17,245.27,246.59,251.47,245.24,243.89,243.01,236.82,232.97,235.68,238,237.38
CHE,meat_consumption_3,58.62,61.84,59.57,58.76,62.7,61.5,67.27,66.24,66.25,64.51,67.34,72.21,73.41,76.8,75.58,73.94,71.98,87.49,94.93,96.68,96.28,99.37,99.56,100.11,105.49,107.74,106.86,119.8,121.29,122.06,123.83,129.09,130.47
CHE,meat_consumption_4,13.12,12.96,13.6,13.45,13.39,13.31,14.31,15.15,14.47,13.98,15.66,14.29,14.48,14.76,14.84,14.31,14.03,13.53,13.38,13.02,13.35,13.52,13.09,12.77,13.44,13.95,14.01,13.6,13.43,12.82,13.04,12.75,12.78
CHE,meat_consumption_per_capita_1,16.95,17.2,16.86,16.22,14.85,14.73,14.6,14.75,14.72,14.56,13.46,13.29,13.32,13.17,13.14,13.27,13.64,13.35,13.84,13.63,13.92,14.09,13.76,14.05,13.9,13.51,13.44,13.07,13.34,13.17,13.24,13.31,13.27
CHE,meat_consumption_per_capita_2,29.23,28.33,27.74,27.17,25.45,25.95,24.08,23.67,24.81,24.22,24.08,24.08,24.24,23.8,23.53,23.89,24.32,24.02,23.71,23.17,23.85,23.32,22.1,21.97,22.13,21.33,20.99,20.72,20.06,19.58,19.67,19.74,19.58
CHE,meat_consumption_per_capita_3,0,0,5.12,5,5.3,5.16,5.62,5.52,5.51,5.34,5.53,5.91,5.96,6.19,6.05,5.88,5.69,6.85,7.35,7.39,7.29,7.44,7.37,7.33,7.63,7.7,7.56,8.4,8.44,8.43,8.5,8.8,8.84
CHE,meat_consumption_per_capita_4,1.27,1.24,1.29,1.26,1.24,1.23,1.32,1.39,1.32,1.27,1.42,1.29,1.29,1.31,1.31,1.25,1.22,1.17,1.14,1.09,1.11,1.11,1.07,1.03,1.07,1.1,1.09,1.05,1.03,0.97,0.98,0.96,0.95
CHL,meat_consumption_1,245.33,241.62,236.37,269.71,293.04,323.36,340.59,366.94,349.25,331.72,341.52,277.67,256.75,352.27,375.1,402.59,353.05,326.68,323.68,268.52,341.19,346.04,363.37,428.02,442.95,442.53,482.42,452.58,485.32,521.76,524.21,634.64,577.03
CHL,meat_consumption_2,121.65,121.19,131.47,144.09,156.66,171.05,182.83,198.23,221.18,238.12,241.04,262.35,262.34,291.8,274.57,289.11,341.99,348.77,390.21,365.07,377.82,409.96,435.04,440.73,406.92,401.3,418.15,456.48,443.35,442.82,415.52,510.9,483.6
CHL,meat_consumption_3,117.82,132.23,200.02,239.36,267.16,311.46,330.43,331.96,361.91,371.2,405.47,434.79,417.47,425.49,470.97,472.41,546.67,543.58,557.7,525.61,561.54,614.85,623.19,640.39,641.02,684.68,731.68,728.76,748.22,727.89,716.26,761.43,772
CHL,meat_consumption_4,12.25,13.41,14.83,14.22,12.59,11.81,11.67,12.36,12.98,13.17,12.65,10.94,10.87,9.65,9.39,9,10.89,11.09,12.35,10.68,9.45,10.46,10.47,8.56,9.54,9.19,8.39,9.1,10.55,7.6,8.25,8.55,8.75
CHL,meat_consumption_per_capita_1,12.14,11.72,11.27,12.69,13.59,14.78,15.36,16.33,15.36,14.42,14.67,11.78,10.77,14.66,15.45,16.42,14.26,13.06,12.8,10.5,13.28,13.33,13.88,16.19,16.58,16.36,17.61,16.28,17.22,18.29,18.22,21.95,19.92
CHL,meat_consumption_per_capita_2,6.56,6.41,6.83,7.39,7.92,8.52,8.99,9.61,10.6,11.28,11.28,12.13,11.99,13.23,12.32,12.85,15.05,15.2,16.82,15.55,16.02,17.21,18.1,18.16,16.59,16.17,16.63,17.89,17.14,16.92,15.73,19.26,18.19
CHL,meat_consumption_per_capita_3,5.22,5.75,8.54,10.09,11.1,12.75,13.35,13.23,14.26,14.45,15.6,16.52,15.68,15.86,17.37,17.25,19.77,19.47,19.75,18.4,19.57,21.22,21.31,21.69,21.48,22.67,23.92,23.47,23.77,22.85,22.29,23.59,23.87
CHL,meat_consumption_per_capita_4,0.6,0.64,0.7,0.66,0.58,0.53,0.52,0.54,0.56,0.56,0.54,0.46,0.45,0.4,0.38,0.36,0.43,0.44,0.48,0.41,0.36,0.4,0.39,0.32,0.35,0.33,0.3,0.32,0.37,0.26,0.28,0.29,0.3
CHN,meat_consumption_1,1074.94,1278.73,1725.37,2186.4,2676.4,3463.37,3476.65,4329.81,4726.79,5013.46,5087.1,5030.48,5183.41,5382.25,5534.45,5578.68,5782.77,6141.64,6089.12,6209.31,6230.9,6041.29,6190,6473,6491,6754,6903,7227,7788,8814,9439,9968,10530
CHN,meat_consumption_2,22569.99,24242.13,26224.89,28374.41,31025.05,31721.45,31365.24,35777.15,38661.56,38839.59,39663.58,40395.31,41084.11,42154.91,42954.19,45084.37,45979.74,42612.44,46423.83,48836.18,51367.53,51650.68,54741.18,56523.73,58462.53,57030.33,55948.3,55663.91,55155.14,44815.36,46186,55229.72,55546.39
CHN,meat_consumption_3,0,3928.56,4479.75,5722.12,6566.2,8380.38,8416.13,9676.61,10756.48,11270.59,12189.61,11874.84,11980.98,12523.47,12361.24,13265.19,13688.59,14761.74,15757.95,16274.14,16562.53,16898.45,18137.73,17938.19,17342.91,18076.96,18907.09,18788.94,19786.45,22535.88,24585.64,24604.91,24552.8
CHN,meat_consumption_4,0,1177.75,1248.4,1371.19,1479.1,1745.15,1812.29,2130.74,2352.36,2519.98,2654.93,2740.48,2864.88,3108.58,3338,3511.9,3680.76,3881.22,3973.27,4051.18,4103.68,4054.18,4163.89,4354.46,4554.71,4618.22,4818.36,4954.43,5066.35,5265.52,5283.11,5548.97,5607.59
CHN,meat_consumption_per_capita_1,0.6,0.71,0.95,1.19,1.45,1.86,1.85,2.28,2.47,2.61,2.61,2.57,2.63,2.71,2.77,2.78,2.86,3.02,2.97,3.01,3.01,2.9,2.95,3.06,3.05,3.15,3.2,3.33,3.57,4.02,4.3,4.55,4.81
CHN,meat_consumption_per_capita_2,13.77,14.57,15.77,16.89,18.29,18.53,18.16,20.55,22.05,21.99,22.21,22.49,22.71,23.15,23.44,24.46,24.82,22.82,24.71,25.83,27.02,26.99,28.42,29.14,29.94,29.02,28.28,27.96,27.57,22.26,22.91,27.45,27.62
CHN,meat_consumption_per_capita_3,0,1.94,2.21,2.8,3.18,4.02,4.01,4.57,5.04,5.25,5.61,5.43,5.44,5.65,5.54,5.92,6.07,6.5,6.89,7.08,7.16,7.26,7.74,7.6,7.3,7.56,7.86,7.76,8.13,9.2,10.02,10.05,10.03
CHN,meat_consumption_per_capita_4,0,0.64,0.68,0.74,0.79,0.92,0.95,1.11,1.21,1.29,1.34,1.38,1.43,1.54,1.65,1.72,1.8,1.88,1.91,1.94,1.95,1.92,1.95,2.03,2.11,2.12,2.2,2.25,2.29,2.36,2.37,2.49,2.52
COL,meat_consumption_1,734.93,676.34,587.02,601.22,648.05,702.26,731.71,764.88,765.4,716.84,749.42,694.8,674.67,638.51,704.97,782.8,804.79,775.91,763.85,706.59,766.22,818.53,848.08,821.46,834.07,850.47,793.04,749.68,761.61,759.79,716.52,708.45,677.5
COL,meat_consumption_2,133.88,133.8,135.39,135.08,136.16,138.99,132.65,107.67,82.38,113.49,110.74,104.26,113.68,126.53,131.83,130.82,152.37,185.39,181.53,180.6,207.28,237.65,274.34,304.55,334.15,369.93,415.39,449.99,508.6,560.9,529.84,613.02,661.09
COL,meat_consumption_3,298.56,388.34,415.97,455.99,511.74,570.02,489.06,459.68,531.12,522.23,537.05,633.82,684.18,708.98,728.18,793.31,885.74,964.77,1051.04,1061.71,1116.24,1126.75,1169.69,1331.19,1414.83,1483.71,1564.65,1645.35,1723.89,1814.49,1724.68,1800.99,1876.67
COL,meat_consumption_4,12.2,11.53,12.31,13.13,13.12,13.28,12.05,13.05,12.1,11.78,13.32,11.52,10.23,9.63,8.28,7.1,5.99,5.29,4.11,3.54,3.22,2.6,1.56,0.56,0.74,0.84,1.25,1.31,1.52,2.33,0.97,0.93,1.24
COL,meat_consumption_per_capita_1,14.66,13.19,11.1,11.15,11.81,12.57,12.85,13.19,12.96,11.93,12.28,11.21,10.73,9.99,10.89,11.96,12.15,11.56,11.29,10.33,11.16,11.83,12.15,11.66,11.73,11.82,10.88,10.12,10.13,9.97,9.3,9.12,8.68
COL,meat_consumption_per_capita_2,2.91,2.84,2.79,2.73,2.7,2.71,2.54,2.02,1.52,2.06,1.98,1.83,1.97,2.16,2.22,2.18,2.51,3.01,2.92,2.88,3.29,3.74,4.28,4.71,5.12,5.6,6.21,6.62,7.37,8.02,7.49,8.6,9.23
COL,meat_consumption_per_capita_3,5.33,6.78,7.05,7.57,8.35,9.13,7.69,7.1,8.05,7.78,7.88,9.16,9.74,9.93,10.08,10.85,11.98,12.88,13.92,13.9,14.56,14.58,15,16.92,17.81,18.47,19.22,19.9,20.54,21.33,20.04,20.77,21.54
COL,meat_consumption_per_capita_4,0.24,0.22,0.23,0.24,0.24,0.23,0.21,0.22,0.2,0.19,0.22,0.18,0.16,0.15,0.13,0.11,0.09,0.08,0.06,0.05,0.05,0.04,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0.01,0.02
EGY,meat_consumption_1,402.44,466.84,466.63,529.88,556.08,544.55,573.26,637.37,654.25,690.11,767.61,652.87,813.93,774.37,803.35,905.49,1016.42,1097.77,900.67,954.43,1057.11,1052.1,1075.1,1064.97,1013.96,1247.49,1117.39,1042.16,1093.25,940.47,810.98,921.96,986.08
EGY,meat_consumption_2,2.43,2.48,2.89,2.91,2.8,2.79,2.85,2.94,8.23,3.05,3.1,3,2.79,2.64,3.02,2,2.94,3.82,2.75,0.51,0.72,0.83,0.92,0.88,0.59,0.52,0.84,2.75,2.97,3.15,2.96,2.9,2.88
EGY,meat_consumption_3,272.04,304.3,317.52,330.37,358.6,406.92,422.74,541.3,534.6,590.06,595.33,621.76,743.42,685.33,647.06,664.47,726.95,820.16,759.11,836.83,973.63,934.26,1045.56,1197.57,1246.34,1238.89,1263.42,1529.76,1501.34,1675.75,1486.4,1504.04,1526.81
EGY,meat_consumption_4,82.13,73.75,76.2,80.63,87.65,90.85,90.42,93.79,95.92,81.29,125.69,128.92,137.07,139.85,137.13,138.73,141.66,149.54,151.42,145.28,139.56,127.39,130.71,339.08,129.2,128.21,130.54,93.83,74.6,54.69,61.53,62.21,63.76
EGY,meat_consumption_per_capita_1,4.33,4.92,4.75,5.33,5.51,5.28,5.46,6.03,6.05,6.29,6.86,5.67,7.04,6.53,6.66,7.39,8.21,8.72,6.97,7.25,8.23,8.03,8,7.75,7.19,8.71,7.65,6.99,7.19,6.05,5.11,5.7,5.99
EGY,meat_consumption_per_capita_2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0,0.01,0.01,0.01,0.01,0,0,0.01,0.02,0.02,0.02,0.02,0.02,0.02
EGY,meat_consumption_per_capita_3,2.62,2.87,2.89,2.97,3.18,3.53,3.61,4.58,4.43,4.81,4.77,4.83,5.76,5.18,4.8,4.86,5.26,5.84,5.26,5.69,6.79,6.38,6.96,7.8,7.92,7.75,7.74,9.19,8.84,9.65,8.38,8.33,8.31
EGY,meat_consumption_per_capita_4,0.87,0.77,0.76,0.8,0.86,0.87,0.85,0.87,0.87,0.73,1.11,1.1,1.17,1.16,1.12,1.12,1.13,1.17,1.15,1.09,1.07,0.96,0.96,2.43,0.9,0.88,0.88,0.62,0.48,0.35,0.38,0.38,0.38
ETH,meat_consumption_1,231.5,231.5,230,230,229.99,234.93,266.93,269.99,273.96,290.01,294.04,303.54,352.5,338.26,335.87,350.31,373.44,363.02,380.05,354.75,419.09,406.61,337.26,340.79,379.66,387.82,387.06,386.73,387.09,407.67,432.92,421.71,414.74
ETH,meat_consumption_2,1.05,1.1,1.15,1.15,1.16,1.21,1.27,1.32,1.4,1.46,1.46,1.53,1.52,1.67,1.64,1.69,1.76,1.72,1.72,1.68,1.81,1.88,1.9,1.92,2.51,2.05,2.1,2.1,2.13,2.17,2.2,2.25,2.26
ETH,meat_consumption_3,35.64,35.64,35.9,36,35.97,35.97,36.17,36.3,36.96,37.24,37.6,49.84,54.06,50.24,47.1,42.57,45.21,46.25,48.59,50.42,59.22,53.94,60.5,62.11,69.12,73.55,72.26,67.79,71.59,58.93,68.16,66.06,64.71
ETH,meat_consumption_4,59.29,59.68,60.34,60.61,60.52,60.16,60.56,59.29,61.68,61.4,60.4,66.13,79.38,85.27,101.42,109.46,128.21,145.05,135.99,144.52,142.61,138.29,142.89,148,156.8,161.47,167.83,177.22,200.21,257.3,274.16,264.82,254.91
ETH,meat_consumption_per_capita_1,3.25,3.12,2.98,2.72,2.62,2.57,2.83,2.77,2.73,2.81,2.77,2.79,3.16,2.94,2.83,2.87,2.99,2.83,2.88,2.58,2.96,2.77,2.18,2.15,2.34,2.31,2.25,2.18,2.11,2.17,2.23,2.11,2.02
ETH,meat_consumption_per_capita_2,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ETH,meat_consumption_per_capita_3,0.45,0.43,0.42,0.38,0.37,0.35,0.34,0.33,0.33,0.32,0.32,0.41,0.43,0.39,0.36,0.31,0.32,0.32,0.33,0.33,0.38,0.33,0.35,0.35,0.38,0.39,0.38,0.34,0.35,0.28,0.31,0.3,0.28
ETH,meat_consumption_per_capita_4,0.82,0.79,0.77,0.71,0.68,0.65,0.63,0.6,0.61,0.59,0.56,0.6,0.7,0.73,0.84,0.88,1.01,1.11,1.01,1.03,0.99,0.93,0.91,0.92,0.95,0.95,0.96,0.98,1.08,1.35,1.39,1.31,1.22
EUU,meat_consumption_1,8291.77,8329.96,8177.84,8112.36,7715.28,7523.17,7451.52,7195.14,7257.72,7060.92,7330.06,7189.88,7363.62,7286.68,7455.97,7430.14,7457.43,7475.74,7183.17,7197.94,7035.87,6865.99,6684.74,6462.71,6540.01,6617.76,6734.7,6711.01,6862.93,6785.57,6631.53,6619.53,6661.41
EUU,meat_consumption_2,17701.42,17529.17,17669.04,17536.59,17494.11,17588.26,17589.06,17515.99,18568.14,18763.66,18845.73,19338.15,19624.14,19483.45,19063.81,19155.45,19376.86,20080.33,19562.12,19204.39,19455.94,19431.02,18961.52,18758.58,19164.5,19536.03,19403.55,19414.11,19743,18980.87,18436.14,18961.49,18599.96
EUU,meat_consumption_3,0,6060.37,6226.78,6240.7,6627.64,7092.99,7185.06,7539.72,7947.76,7733.4,7953.17,8677.85,9099.01,8759.14,8957.03,9192.94,8979.95,9516.65,9735.89,9753.55,9780.64,9893.56,10212.44,10255.01,10634.38,10990.49,11400.45,11347.08,11791.97,11883.73,12029.42,11862.99,12003.33
EUU,meat_consumption_4,1247.42,1222.74,1198.94,1170.22,1142.77,1134.13,1129.87,1087.26,1095.8,1117.24,1112.81,1038.34,1030.98,1025,1011.3,1021.85,1009.68,981.11,911.51,882.65,811.74,806.41,740.43,712.79,698.61,705.44,704.61,689.02,703.77,700.72,667.55,662.56,676.33
EUU,meat_consumption_per_capita_1,13.09,13.11,12.88,12.75,12.1,11.77,11.65,11.23,11.31,10.99,11.39,11.15,11.39,11.24,11.46,11.38,11.38,11.37,10.88,10.87,10.6,10.33,10.04,9.7,9.8,9.91,10.08,10.03,10.23,10.11,9.87,9.86,9.87
EUU,meat_consumption_per_capita_2,30.44,30.05,30.33,30.02,29.88,29.99,29.95,29.79,31.54,31.84,31.9,32.67,33.07,32.74,31.93,31.97,32.21,33.28,32.29,31.6,31.93,31.84,31.03,30.68,31.31,31.89,31.64,31.62,32.08,30.83,29.9,30.77,30.03
EUU,meat_consumption_per_capita_3,2.34,8.54,8.79,8.78,9.31,9.94,10.06,10.54,11.1,10.78,11.07,12.05,12.6,12.1,12.33,12.61,12.27,12.96,13.21,13.19,13.19,13.33,13.74,13.78,14.28,14.74,15.28,15.19,15.75,15.86,16.03,15.82,15.93
EUU,meat_consumption_per_capita_4,1.94,1.9,1.86,1.81,1.76,1.75,1.74,1.67,1.68,1.71,1.7,1.59,1.57,1.56,1.53,1.54,1.52,1.47,1.36,1.31,1.2,1.19,1.1,1.05,1.03,1.04,1.04,1.01,1.03,1.03,0.98,0.97,0.99
GBR,meat_consumption_1,1102.27,1124.16,1086.1,927.77,940.92,983.17,813.37,862.71,853.62,855.6,892.43,899.85,983.05,999.69,1033.94,1037.45,1069.42,1090.47,1060.78,1022.21,1075.55,1062.39,1039.9,1023.41,1060.65,1094.54,1107.88,1115.88,1125.38,1067.18,1094.3,1081.01,1051.61
GBR,meat_consumption_2,1316.34,1320.28,1312.64,1309.8,1344.15,1289.74,1319.41,1314.82,1353.85,1320.56,1292.76,1331.27,1345.81,1402.67,1379.12,1397.64,1391.35,1450.97,1364.25,1362.04,1353.65,1347.43,1327.33,1305.26,1345.07,1383.32,1450.05,1422.02,1428.91,1400.86,1325.32,1394.94,1439.31
