Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DEU,water_withdrawal,,2.48,2.29,2.06,1.81,1.56,1.28,0.97,0.67,0.68,0.69,1.88,1.63,2.17,1.93,1.9,1.76,1.8,2.07,2.08,1.76,2.19,2.53,2.63,2.75,3.21,3,3.32,4.3,4.17,4.17
DJI,water_withdrawal,48.57,43.55,39.09,35.1,31.51,28.26,25.31,22.62,20.15,17.88,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79
DMA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5
DNK,water_withdrawal,36.88,35.84,34.7,33.44,32.03,30.45,33.83,39.57,34.07,30.41,25.92,25.36,24.73,25.62,28.99,27.14,33.77,20.59,35.48,35.25,33.6,32.82,26.04,40.09,43.32,47.75,52.07,53.33,59.62,53.58,54.01
DOM,water_withdrawal,,,,,,,,,,,86.33,85.39,84.49,83.63,82.81,82.03,81.5,81.02,80.59,80.21,79.86,80.69,81.44,82.12,82.74,83.31,83.31,83.31,83.31,83.31,83.31
DZA,water_withdrawal,60,60.08,60.17,60.24,60.31,60.38,60.45,60.52,60.58,60.63,60.69,60.13,60.02,59.91,59.81,59.72,59.64,59.56,59.48,59.41,59.35,59.29,59.23,61.6,63.8,65.85,64.14,63.76,63.76,63.76,63.76
ECU,water_withdrawal,,,,,,,,,,,86.2,85.2,84.23,83.27,82.34,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43
EGY,water_withdrawal,,,,86.03,86.09,86.14,86.2,86.25,86.3,86.34,86.38,86.33,86.28,86.22,86.17,86.12,86.08,86.03,85.98,85.94,85.9,85,85.06,85.07,84.83,84.37,84.27,79.16,79.16,79.16,79.16
ERI,water_withdrawal,,,,,,,,,,,70.15,77.93,84.39,89.84,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5
ESP,water_withdrawal,63.7,64.23,64.77,65.32,65.89,66.47,67.06,67.66,66.68,65.74,64.83,64.46,64.12,63.96,63.07,64.38,64.15,65.16,64.55,66.23,66.32,67.64,69.51,65.7,66.85,65.75,65.23,65.82,65.27,65.3,65.33
EST,water_withdrawal,,,,,,0.59,0.99,1.37,1.74,2.1,2.45,2.65,2.12,3.3,4.59,0.85,0.64,0.41,0.26,0.31,0.23,0.23,0.27,0.28,0.29,0.31,0.25,0.25,0.29,0.48,0.57
ETH,water_withdrawal,,,,,,,,,,,,,93.63,91.73,90.24,89.05,89.38,89.68,89.97,90.26,90.52,90.77,91,91.23,91.44,91.64,91.82,91.84,91.84,91.84,91.84
FIN,water_withdrawal,0.85,1.09,1.31,1.53,1.73,1.93,1.93,1.93,1.93,1.93,2.13,2.15,2.17,2.18,2.2,2.22,1.25,4.99,6.36,7.71,9.06,10.39,11.66,12.91,14.28,15.55,17.39,17.39,14.29,28.57,28.57
FJI,water_withdrawal,60.54,60.66,60.76,60.84,60.91,60.98,61.03,61.08,61.12,61.16,61.2,60.72,60.26,59.79,59.34,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89
FRA,water_withdrawal,12.96,12.68,12.54,12.3,12.03,11.74,11.41,11.04,12.39,13.67,14.89,14.57,13.26,16.25,15.16,13.86,14.38,12.52,8.9,11.04,10.61,10.07,10.38,10.22,7.74,11.43,11.77,10.92,11.09,12.14,13.94
GAB,water_withdrawal,16.33,18.96,21.29,23.38,25.26,26.96,28.51,29.92,31.21,32.4,33.5,32.48,31.53,30.63,29.78,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97
GBR,water_withdrawal,5.54,7.29,9.03,10.76,12.49,14.22,14.5,14.78,15.06,15.33,11.99,12.08,9.39,10.17,13.75,13.98,11.09,15.62,13.65,13.08,14.78,12.89,12.77,13.81,14.6,15.43,14.05,14.05,14.05,14.05,14.05
GEO,water_withdrawal,,,60.53,61.47,62.51,63.66,64.96,66.43,68.11,70.03,72.27,69.58,66.82,64.01,61.13,58.19,58.19,58.19,58.19,54.87,51.43,47.88,44.21,40.41,36.48,32.4,28.17,35.39,35.46,37.59,42.8
GHA,water_withdrawal,64.49,64.73,64.96,65.17,65.37,65.57,65.75,65.92,66.09,66.25,66.4,67.2,67.96,68.68,69.37,70.03,70.65,71.24,71.81,72.35,72.87,73.2,73.39,74.13,74.78,72.57,73.06,73.06,73.06,73.06,73.06
GIN,water_withdrawal,80.94,78.76,76.51,74.17,71.74,69.22,66.6,63.87,61.03,58.07,54.98,52.55,53.65,54.68,55.63,56.51,57.63,58.7,59.7,60.65,61.56,62.42,63.23,64.01,64.76,65.47,66.14,66.79,67.42,67.42,67.42
GMB,water_withdrawal,54.13,52.48,51.05,49.79,48.69,47.71,46.83,46.04,45.32,44.67,43.31,42.28,41.29,40.35,39.44,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58
GNB,water_withdrawal,,36.14,69.59,76.54,79.54,81.22,82.29,82.29,82.29,82.29,82.29,80.9,79.56,78.26,77.01,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79
