Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MMR,water_withdrawal,96.1,95.3,94.53,93.78,93.05,92.33,91.63,90.95,90.28,89.63,89,88.91,88.82,88.73,88.64,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56,88.56
MNE,water_withdrawal,,,,,,,,,,,,,,,,,5.42,3.9,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
MNG,water_withdrawal,,,,53.04,51.94,50.88,49.86,48.89,47.94,47.03,46.16,45.31,44.49,43.7,42.94,42.2,41.48,42.31,43.12,43.92,46.31,48.88,51.67,54.7,58,61.62,54.26,54.26,54.26,54.26,54.26
MOZ,water_withdrawal,89.26,87.66,86.2,84.85,83.59,82.43,81.35,80.35,79.4,78.52,77.69,76.38,75.53,74.76,74.05,73.41,73.36,73.32,73.28,73.24,73.2,73.17,73.13,73.1,73.08,73.05,73.05,73.05,73.05,73.05,73.05
MRT,water_withdrawal,92.64,92.75,92.85,92.95,93.05,93.16,93.26,93.37,93.47,93.58,93.68,93.08,92.42,91.71,90.93,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58,90.58
MUS,water_withdrawal,76.89,76.44,76.01,75.59,75.19,74.8,74.8,74.8,74.8,74.8,74.8,72.16,69.82,67.72,67.58,67.44,66.42,67.14,67.1,63.13,62.44,62.35,62.71,61.68,60.16,56.05,57.03,55.84,51.01,50.33,50.16
MWI,water_withdrawal,,,,,86.43,86.57,86.7,86.81,86.92,87.01,87.1,87.12,87.14,86.74,86.34,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94,85.94
MYS,water_withdrawal,82.04,78.15,73.61,68.22,61.74,53.78,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65,45.65
NAM,water_withdrawal,69.67,68.27,68.77,69.25,69.71,70.15,70.56,70.96,71.35,71.72,71,70.41,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79
NER,water_withdrawal,78.21,76.61,75.17,73.86,72.67,71.58,70.59,69.67,68.82,68.03,67.3,67.17,67.06,66.95,66.84,66.74,71.51,75.93,80.04,83.87,87.46,90.82,93.97,90.48,87.6,88.53,87.91,86.41,90.87,91.02,91.02
NGA,water_withdrawal,64.19,62.62,61.21,59.92,58.75,57.68,56.7,55.8,54.96,54.18,53.46,52.18,50.96,49.79,48.67,47.61,46.88,46.17,45.48,44.82,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17
NIC,water_withdrawal,,,,,,,,,83.81,83.15,82.54,81.97,81.02,80.08,79.17,78.27,77.74,77.21,76.7,77.47,78.27,79.08,79.72,80.4,81.09,81.82,82.58,83.37,84.19,85.09,85.04
NLD,water_withdrawal,,2.3,2.64,3,3.38,3.8,3.53,2.78,2.13,1.56,1.05,0.6,0.55,1.61,0.8,0.65,1.08,0.66,0.67,0.86,1.12,1.1,0.56,1.08,0.93,1.26,0.95,1.51,3.73,3.02,3.7
NOR,water_withdrawal,,,,,,,30.17,31.01,31.88,32.76,31.99,34.17,31.63,28.91,31.65,26.73,28.75,27.92,28.79,29.72,30.11,30.52,30.93,30.68,30.4,31.14,31.9,31.39,31.42,31.45,31.47
NPL,water_withdrawal,,,,,,,,,,,97.46,97.6,97.73,97.87,98,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14,98.14
NZL,water_withdrawal,44,44,44,44,44,44,44,44,44,44,65.93,63.48,61.65,60.25,59.13,58.21,57.46,58.55,59.62,60.66,61.66,62.39,63.13,63.89,64.67,65.47,66.29,66.1,65.73,65.59,65.59
OMN,water_withdrawal,,93.87,93.45,93.04,92.64,92.25,91.87,91.5,91.14,90.79,90.44,89.78,89.11,88.42,88.07,87.74,87.45,87.17,86.91,86.67,86.44,86.23,86.03,85.84,84.68,82.64,82.64,82.64,82.59,80.78,80.78
PAK,water_withdrawal,96.86,96.79,96.48,96.18,95.89,95.61,95.33,95.06,94.8,94.54,94.29,94.29,94.3,94.3,94.31,94.31,94.2,94.09,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98,93.98
PAN,water_withdrawal,,,,,,,,,,,,,,,,,,,,,43.01,41.5,40.15,38.94,38.76,35.73,36.83,36.83,36.83,36.83,36.83
PER,water_withdrawal,,,,,,,,,,,,,,,,,,,88.73,88.02,87.51,87.12,86.81,86.56,86.35,86.17,86.02,85.89,85.77,85.08,85.08
PHL,water_withdrawal,,,,,,,,,,,,,,,,,83.13,82.45,81.48,82.23,81.52,80.78,80.61,80.43,81.22,78.63,77.48,74.04,73.75,78.85,77.56
PNG,water_withdrawal,,,,,,,,,,,0.37,0.34,0.31,0.29,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
POL,water_withdrawal,11.89,11.08,10.23,9.84,9.45,9.04,8.75,8.46,8.51,8.56,8.61,8.51,9.45,8.59,9.15,9.5,9.56,9.33,10.28,10.06,10.61,10.29,9.6,10.07,9.88,9.44,9.95,10.1,13.85,14.09,15.08
PRK,water_withdrawal,,,,,,,,,,,77.26,77.08,76.89,76.71,76.53,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35
PRT,water_withdrawal,,59.3,66.85,72.48,76.83,77.8,78.08,78.39,78.73,77.83,76.89,75.92,74.9,73.83,72.7,71.53,71.89,68.12,69.38,68.37,67.05,65.63,64.53,63.08,61.5,59.8,57.8,55.48,56.99,55.76,55.76
PRY,water_withdrawal,76.33,75.79,75.27,74.75,74.25,73.76,73.27,72.8,72.33,71.88,71.43,72.9,73.77,74.35,74.76,75.07,75.31,75.5,75.65,76.33,76.91,77.41,78.62,78.62,78.62,78.62,78.62,78.62,78.62,78.62,78.62
PSE,water_withdrawal,,,,,,,,,,,60,59.86,51.4,49.93,46.79,45.22,45.22,45.22,45.22,45.22,45.22,45.22,45.22,45.22,45.22,45.22,45.22,43.18,45.06,45.61,48.13
QAT,water_withdrawal,,,,,73.92,73.5,73.08,72.67,72.26,71.85,71.45,68.04,65.21,62.82,60.78,59.01,53.78,49.32,45.23,42.26,40.76,39.32,38.64,36.41,35.14,28.3,31.96,26.96,41.37,35.82,36.44
ROU,water_withdrawal,44.59,44.68,44.78,44.88,41.54,37.38,31.48,23.92,26.1,26.56,9.74,11.24,12.93,15.08,9.88,8.1,9.76,15.96,14.96,17.03,11.9,14.61,16.86,17.68,17.43,19.97,19.5,22.01,22.24,23.05,30.83
RUS,water_withdrawal,,,,,19.84,19.88,19.92,19.96,20,20.04,20.09,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,26.38,28.02,28.08,28.97,28.76,28.76,28.76
RWA,water_withdrawal,,,,,,,,,,,68,67.84,67.72,67.62,67.54,67.47,66.32,65.35,64.53,63.83,63.22,62.68,62.21,61.79,61.41,61.07,60.77,60.49,60.23,59.02,60.03
SAU,water_withdrawal,,,89.95,89.62,89.31,89.01,88.73,88.46,88.2,87.96,87.73,87.87,88.01,88.15,88.28,88.14,88,87.38,86.73,86.06,85.36,84.63,83.86,83.73,83.75,83.88,82.69,82.23,81.56,81.56,81.56
SDN,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19
SEN,water_withdrawal,91.45,91.28,91.12,90.96,90.8,90.65,90.5,90.36,90.21,90.07,89.94,91.71,92.98,92.68,92.39,92.1,91.82,91.54,91.27,91,90.73,90.47,90.21,89.96,89.71,89.46,89.22,88.98,91.11,91.31,91.31
SGP,water_withdrawal,1.22,1.19,1.16,1.14,1.12,1.1,1.09,1.07,1.06,1.04,1.03,1.01,0.99,0.97,0.96,0.94,1.04,1.15,1.28,1.43,1.62,1.86,2.17,2.57,3.14,4,4,4,4,4,4
SLE,water_withdrawal,71.12,58.56,36.27,34.14,32.24,30.55,29.02,27.64,26.39,25.24,24.19,23.61,23.06,22.53,22.02,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54
SLV,water_withdrawal,,,46.09,48.03,49.62,50.95,52.07,53.03,53.86,54.59,55.24,58.66,61.48,63.84,65.84,67.56,66.81,65.99,65.09,64.12,63.05,61.87,60.56,59.1,57.47,54.82,52.28,48.82,45.63,41.73,37.4
SOM,water_withdrawal,98.5,98.75,98.94,99.1,99.23,99.34,99.43,99.51,99.58,99.64,99.7,99.63,99.56,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48
SRB,water_withdrawal,,,,,,,,,,,,,,,,,3.26,3.24,18.21,13.39,14.68,14.16,16.14,15.23,16.03,15.41,13.48,12.29,12.82,12.62,12.41
SSD,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,36.47,36.47,36.47,36.47,36.47,36.47,36.47,36.47,36.47
STP,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,62.59,62.59,62.59,62.59,62.59
SUR,water_withdrawal,90.17,90.47,90.75,91.02,91.28,91.51,91.74,91.96,92.16,92.35,92.54,89.04,85.44,81.74,77.94,74.02,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
SVK,water_withdrawal,,,,8.48,7.75,6.93,6.05,5.11,5.94,6.83,7.79,6.17,5.12,8.29,3.23,2.6,3.49,3.27,2.74,4.14,3.07,4.11,4.61,5.12,4.09,5.52,3.89,5.68,4.6,5.23,5.32
SVN,water_withdrawal,,,,,,,,,,,,,0.73,0.7,0.5,0.25,0.68,0.49,0.25,0.27,0.17,0.34,0.25,0.31,0.16,0.39,0.37,0.42,0.31,0.32,0.3
SWE,water_withdrawal,5.39,5.62,5.85,5.69,5.52,5.35,5.44,5.53,5.55,5.56,5.58,5.05,5.04,5.06,5.07,4.07,4.07,4.07,3.93,3.78,3.64,3.56,3.46,3.37,3.27,3.16,3.48,3.81,4.16,4.54,4.11
SWZ,water_withdrawal,96.29,96.32,96.35,96.38,96.41,96.43,96.46,96.48,96.5,96.52,96.55,96.07,95.59,95.12,94.66,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19
SYC,water_withdrawal,7.55,7.53,7.51,7.49,7.47,7.46,7.18,7.13,7.08,7.03,6.98,7.09,7.33,7.32,6.92,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57
SYR,water_withdrawal,,,,89.52,89.6,89.24,89.09,89,88.89,88.45,87.51,87.95,88.09,87.89,87.71,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53,87.53
TCD,water_withdrawal,79.24,78.83,78.5,78.24,78.03,77.86,77.71,77.58,77.47,77.37,77.29,77.68,78.04,77.49,76.95,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42,76.42
TGO,water_withdrawal,33.12,35.19,37.05,38.73,40.26,41.66,42.94,44.12,45.21,46.22,47.15,46.06,44.97,40.64,37.07,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08,34.08
THA,water_withdrawal,,,,,,,,,,,,,,,,,,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37,90.37
TJK,water_withdrawal,,,,,92.31,92.41,92.51,92.63,92.76,92.89,67.88,92.6,92.19,91.81,91.46,91.13,90.82,90.86,90.9,90.94,90.99,91.04,91.09,91.15,91.21,87.96,81.08,64.92,75.49,69.59,74.53
TKM,water_withdrawal,,,,,97.95,97.7,97.46,97.22,96.98,96.75,96.52,96.52,96.52,96.52,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,59.02,61.42
TLS,water_withdrawal,,,,,,,,,,,,,,,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38
TTO,water_withdrawal,,,,,,,,5.25,5.31,5.36,5.41,5.18,4.96,4.75,4.55,4.35,4.35,4.35,4.35,4.35,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36
TUN,water_withdrawal,88.72,88.13,87.53,86.91,86.27,85.61,84.94,84.24,83.52,82.78,82.01,82.01,81.78,81.56,81.34,81.13,80.93,80.73,80.54,80.36,80.18,80,79.8,79.61,79.42,79.25,79.09,74.42,76.28,76.38,75.54
TUR,water_withdrawal,,,72.47,74.28,76.03,77.7,79.3,80.85,82.33,83.76,80.01,81.35,78.73,76.25,83.15,83.26,83.37,84.35,80.93,85.81,85.75,86.15,86.06,85.86,85.19,86.71,87.57,87.05,87.12,87.32,86.99
TZA,water_withdrawal,,,,,70.02,76.45,80.42,83.1,85.05,86.52,87.67,88.59,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35,89.35
UGA,water_withdrawal,41.9,41.28,40.67,40.09,39.52,38.96,38.42,37.9,37.39,36.89,36.41,34.72,33.19,35.14,36.69,37.96,39.01,39.9,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66
UKR,water_withdrawal,,,30.25,30.23,30.2,30.17,30.15,30.12,30.08,30.04,30.01,30,30,30,30,30.01,30,30,30,30,29.99,30.89,31.89,33.04,34.35,31.05,32.1,41.56,41.56,39.57,30.99
URY,water_withdrawal,86.9,86.87,86.83,86.8,86.77,86.74,86.71,86.68,86.66,86.63,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61,86.61
USA,water_withdrawal,34.81,34.85,34.88,34.91,34.94,34.97,35.01,35.04,35.07,35.1,35.13,34.93,34.73,34.52,34.32,34.12,34.46,34.83,35.21,35.62,36.06,36.73,37.42,38.14,38.89,39.66,39.66,39.66,39.66,39.66,39.66
UZB,water_withdrawal,,,,,93.65,93.17,92.7,92.24,91.78,91.32,90.87,90.43,90.33,90.22,90.11,90,90.16,90.32,90.49,90.66,90.83,91.01,91.19,91.37,91.55,92.08,91.66,92.29,92.28,92.26,92.11
VCT,water_withdrawal,,,,,,79.04,75.28,71.45,67.56,63.6,59.57,55.47,51.29,47.05,42.72,38.32,33.84,29.27,24.62,19.88,15.05,10.13,5.11,0,0,0,0,0,0,0,0
VEN,water_withdrawal,44.21,44.16,44.11,44.07,44.02,43.98,43.94,43.9,43.87,43.83,43.8,52.41,58.39,62.79,66.17,68.84,71.56,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85,73.85
VNM,water_withdrawal,91.23,91.6,91.94,92.26,92.56,92.84,93.1,93.34,93.57,93.79,93.99,94.17,94.33,94.49,94.64,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78,94.78
WORLD,water_withdrawal,,,,,,,,,,,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.69,0.69,0.7,0.7,0.7,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.72
YEM,water_withdrawal,92.09,91.85,91.62,91.39,91.18,90.97,90.76,90.56,90.37,90.18,90,90.15,90.31,90.45,90.6,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74,90.74
ZAF,water_withdrawal,71.98,71.11,70.22,69.32,68.41,67.49,66.25,65.01,63.76,62.51,61.26,61.37,61.48,61.59,61.7,61.8,61.9,61.99,62.09,62.18,62.27,62.35,62.44,62.52,61.56,60.77,59.48,58.77,57.83,60.85,62.48
ZMB,water_withdrawal,,,76.65,76.95,77.26,76.73,76.2,75.66,75.11,74.54,73.97,73.63,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28,73.28
ZWE,water_withdrawal,78.97,78.96,78.95,78.94,78.93,78.93,78.92,78.92,78.92,78.91,78.91,78.91,78.91,79.46,80.05,80.68,81.35,82.07,81.71,81.34,80.96,80.58,80.2,79.81,79.41,79.01,79.99,82.96,80.64,84.83,87.2
