"Time Series - CO₂ total without LULUCF, in kt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"278.154,16","278.154,16","279.528,51","284.525,34","288.870,54","293.696,55","305.003,00","311.886,13","320.282,63","334.075,98","343.488,63","349.635,49","357.132,37","361.540,81","369.279,51","382.820,89","386.153,53","392.384,30","399.624,80","404.233,07","407.065,01","405.103,32","403.828,77","406.150,91","397.887,46","393.952,88","401.793,06","411.264,29","414.358,31","416.283,83","416.761,93","400.333,47",—,"-100,00%"
Austria,"62.167,16","62.167,16","65.765,66","60.266,15","60.692,13","61.066,64","64.044,06","67.388,55","67.285,13","66.920,03","65.671,31","66.171,72","70.171,32","71.974,94","77.401,89","77.699,21","79.097,40","76.817,41","74.117,80","73.495,47","67.315,33","72.017,32","69.909,26","67.282,92","67.776,04","64.175,90","66.365,64","67.226,57","69.608,67","66.571,89","67.956,16","62.121,25","66.018,63","6,20%"
Belarus,"108.345,06","108.345,06","104.071,66","93.482,97","80.561,82","67.879,40","60.905,64","61.734,78","61.588,41","60.073,45","57.965,51","54.905,98","54.002,98","53.844,14","55.087,99","58.253,53","59.310,29","61.743,59","60.218,14","62.836,41","60.577,74","62.445,12","61.307,59","62.545,26","64.125,56","63.648,87","58.798,91","58.134,48","59.381,85","62.156,93","62.096,34","59.055,55","60.938,20","-43,76%"
Belgium,"120.292,80","120.292,80","123.362,63","122.488,49","121.423,88","124.796,75","125.936,29","129.478,74","123.990,62","130.223,50","124.681,14","126.721,54","126.066,06","126.863,01","128.248,33","128.770,82","125.627,92","123.872,98","120.463,27","120.170,04","107.765,10","114.604,11","105.068,56","102.404,52","102.714,75","97.029,25","101.145,63","99.623,03","99.055,04","99.967,32","99.470,26","91.101,39","95.668,08","-20,47%"
Bulgaria,"89.565,27","76.637,99","61.456,34","57.306,46","58.364,02","56.367,04","57.908,99","58.460,10","55.809,07","53.115,15","46.318,48","45.413,46","48.921,86","46.099,35","50.473,68","49.525,78","50.598,17","51.836,63","55.683,72","54.022,47","45.759,65","47.808,40","53.124,75","48.289,98","42.586,73","45.161,79","48.121,02","45.336,95","47.430,59","43.479,64","42.232,71","36.533,61","42.281,88","-52,79%"
Canada,"458.503,10","458.503,10","450.159,60","464.012,83","464.554,17","479.033,00","491.825,70","508.196,66","522.577,29","530.276,27","544.482,08","567.096,10","559.147,04","564.373,84","581.427,17","579.689,42","574.763,65","568.584,51","593.755,25","576.808,66","544.139,66","556.062,10","565.254,01","565.781,73","569.539,74","566.353,02","570.680,33","557.689,73","566.651,89","577.066,28","578.587,72","522.845,30","537.173,74","17,16%"
Croatia,"22.974,68","22.974,68","16.985,25","16.369,22","16.806,46","16.049,81","16.815,70","17.343,68","18.556,53","19.011,17","20.022,37","19.660,01","20.782,30","21.887,30","23.213,13","22.884,86","23.340,03","23.546,76","24.859,72","23.594,39","21.805,31","21.018,17","20.650,18","19.081,25","18.432,19","17.681,57","17.824,70","18.109,01","18.744,00","17.724,15","17.857,45","16.870,53","17.410,63","-24,22%"
Cyprus,"4.644,86","4.644,86","5.133,21","5.505,66","5.749,30","5.991,49","5.861,93","6.211,89","6.298,29","6.592,49","6.858,75","7.104,60","6.978,50","7.169,43","7.559,65","7.788,73","7.957,32","8.185,01","8.503,49","8.715,73","8.470,19","8.101,12","7.787,64","7.262,77","6.582,61","6.950,80","6.971,58","7.373,67","7.503,81","7.321,72","7.342,34","6.910,91","7.029,36","51,34%"
Czechia,"164.250,44","164.250,44","148.883,27","145.705,80","140.124,04","132.668,04","131.622,22","135.018,67","130.941,62","125.608,82","116.671,89","127.235,99","127.144,37","123.969,96","127.571,70","128.291,63","125.690,74","126.555,14","128.382,09","122.951,00","114.999,01","117.490,71","115.201,99","111.298,44","106.732,70","104.256,20","105.022,27","106.680,87","107.776,57","106.358,39","101.032,69","91.697,36","96.665,23","-41,15%"
Denmark,"54.771,40","54.771,40","65.364,95","59.562,48","61.649,83","65.704,49","62.729,01","76.058,19","66.612,86","62.436,44","59.878,09","55.641,44","57.356,17","56.924,58","62.090,08","56.536,44","52.974,01","60.943,96","56.170,97","52.675,62","50.217,14","50.717,51","45.693,78","41.258,35","43.115,73","38.913,80","36.426,24","38.231,85","36.158,86","36.200,57","32.595,75","29.965,92","31.306,35","-42,84%"
Estonia,"36.919,61","36.919,61","34.147,16","24.421,04","19.438,75","20.045,09","18.061,32","19.043,08","18.682,88","16.940,75","15.937,99","15.481,72","15.882,10","15.370,40","17.263,58","17.327,46","17.096,81","16.444,92","19.942,08","17.822,38","14.417,05","18.975,45","18.956,36","17.771,78","19.660,42","18.828,28","15.824,00","17.489,17","18.738,38","17.884,84","12.323,98","9.238,88","10.419,92","-71,78%"
European Union (Convention),"3.873.588,21","3.873.588,21","3.808.218,14","3.682.599,39","3.614.210,88","3.595.411,70","3.642.022,65","3.727.043,41","3.660.964,05","3.651.592,60","3.596.459,80","3.607.844,11","3.664.990,18","3.665.762,53","3.750.173,80","3.761.613,68","3.742.850,94","3.752.621,31","3.716.683,39","3.633.032,16","3.339.658,63","3.440.712,99","3.340.208,76","3.267.742,38","3.187.657,89","3.050.653,31","3.102.075,75","3.107.560,21","3.129.175,02","3.055.628,90","2.913.818,31","2.638.542,76","2.814.421,65","-27,34%"
Finland,"56.914,33","56.914,33","55.188,75","54.265,06","56.313,36","61.732,66","58.115,52","64.033,06","62.696,17","59.351,46","58.866,89","57.009,92","62.513,73","65.040,97","72.654,32","68.939,11","57.047,31","68.370,68","66.760,24","58.621,31","55.905,33","64.081,01","56.638,05","51.146,31","51.715,58","47.619,26","44.185,67","47.248,00","44.653,97","45.730,10","42.453,75","37.735,16","37.947,18","-33,33%"
France,"399.166,17","399.166,17","424.117,58","414.465,48","395.700,96","389.176,34","394.610,71","411.161,67","404.134,04","423.036,81","421.812,88","416.290,48","421.348,59","417.202,00","423.470,89","425.179,00","428.222,04","418.577,05","408.901,50","402.262,89","384.313,69","390.493,65","368.238,75","370.610,92","372.705,77","341.998,78","346.625,56","349.938,18","352.727,32","338.250,81","331.725,37","296.194,91","320.908,30","-19,61%"
Germany,"1.054.740,64","1.054.740,64","1.016.870,29","969.474,18","959.367,20","943.184,84","939.897,15","959.653,35","931.486,95","923.466,99","895.402,13","898.938,04","915.242,15","898.834,51","899.858,38","885.632,53","865.470,71","877.497,66","850.229,80","852.857,86","788.285,82","831.129,58","807.613,93","812.815,53","833.804,37","794.738,55","798.084,70","801.744,55","785.985,85","754.811,14","707.491,36","647.252,33","678.798,87","-35,64%"
Greece,"83.438,04","83.438,04","83.407,50","84.975,65","84.284,96","86.430,26","86.963,20","89.114,95","93.801,56","98.621,79","97.934,81","102.973,17","105.361,86","105.000,51","109.066,73","109.485,28","113.888,97","112.419,54","114.545,69","111.080,37","104.319,84","97.354,15","94.505,23","91.392,59","81.713,26","78.636,45","74.927,63","71.361,00","74.843,44","71.780,90","65.759,48","55.619,77","57.556,33","-31,02%"
Hungary,"85.538,92","73.376,83","69.701,94","62.348,02","63.558,41","61.888,99","61.601,11","63.158,11","61.711,72","61.312,88","61.806,19","58.505,99","60.108,98","59.086,04","61.860,75","60.251,73","60.400,73","59.709,79","58.631,35","57.326,31","51.542,25","52.087,46","50.253,12","46.818,72","43.669,62","43.791,78","46.717,40","47.178,50","49.580,33","49.534,41","49.310,49","47.335,47","48.563,86","-43,23%"
Iceland,"2.222,79","2.222,79","2.103,61","2.250,17","2.400,94","2.349,66","2.469,34","2.523,72","2.619,43","2.638,68","2.841,37","2.933,19","2.865,43","2.992,47","2.985,96","3.109,79","2.978,48","3.155,85","3.495,13","3.812,82","3.731,08","3.627,42","3.504,70","3.501,30","3.490,10","3.446,72","3.543,71","3.495,52","3.612,19","3.668,96","3.558,74","3.339,56","3.510,05","57,91%"
Ireland,"32.944,42","32.944,42","33.674,31","33.495,32","33.716,36","34.838,45","35.852,99","37.469,27","38.804,99","40.708,97","42.440,18","45.249,11","47.607,62","46.081,59","45.684,11","46.166,78","48.156,20","47.604,45","47.664,09","47.362,83","42.179,09","41.793,22","38.056,37","38.227,20","37.281,87","36.853,21","38.718,55","40.369,68","39.078,28","39.012,56","37.325,75","35.123,78","37.547,28","13,97%"
Italy,"438.904,30","438.904,30","438.385,65","438.770,96","431.176,40","425.428,21","449.430,22","443.656,71","449.430,94","461.646,72","466.393,43","470.524,12","470.577,43","478.002,00","496.005,84","501.631,60","502.346,60","496.934,40","490.653,34","479.077,16","424.952,66","436.534,30","424.739,25","404.260,61","370.253,54","350.126,68","361.935,92","358.814,02","353.418,59","349.826,90","340.402,52","303.281,27","337.229,88","-23,17%"
Japan,"1.157.195,59","1.157.195,59","1.168.897,28","1.178.674,76","1.171.686,70","1.226.702,22","1.239.048,07","1.251.545,72","1.244.251,04","1.204.402,54","1.241.036,49","1.263.754,80","1.249.162,13","1.278.787,15","1.287.292,54","1.282.685,85","1.290.144,65","1.267.118,39","1.302.836,79","1.232.014,22","1.163.057,19","1.214.707,54","1.264.631,16","1.305.883,60","1.315.192,02","1.264.071,91","1.223.168,72","1.202.454,57","1.186.802,26","1.141.668,88","1.104.539,82","1.039.795,90","1.062.129,24","-8,22%"
Kazakhstan,"268.173,09","268.173,09","261.065,93","236.131,08","208.216,79","174.933,44","168.285,93","154.505,02","146.425,37","144.282,67","119.265,29","143.380,20","138.768,54","157.524,85","175.854,72","186.355,69","200.041,97","220.574,71","226.744,68","226.830,97","224.549,71","248.803,23","238.987,66","246.345,33","255.164,92","274.289,68","278.661,28","277.695,74","293.476,48","307.174,09","275.289,76","255.486,48","255.142,93","-4,86%"
