"Time Series - Total of HFCs, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"1.424,68","1.424,68","1.424,68","1.333,18","1.829,87","1.028,12","1.018,65","278,04","464,73","660,92","985,27","1.252,66","1.685,16","2.112,15","2.647,35","3.185,10","3.859,01","4.271,70","4.957,94","5.568,86","6.446,19","7.070,97","7.817,92","8.207,62","8.566,91","9.293,00","9.844,64","10.248,98","10.476,34","10.443,95","11.285,31","11.564,39",—,"-100,00%"
Austria,"2,04","2,04","3,26","4,72","214,87","236,91","324,03","390,65","473,12","564,81","656,28","676,69","808,34","957,24","1.026,65","1.095,00","1.103,52","1.112,88","1.161,82","1.207,53","1.311,31","1.425,57","1.517,98","1.599,07","1.689,20","1.787,24","1.896,86","1.884,44","1.892,29","1.945,85","1.801,57","1.704,97","1.485,82","72653,16%"
Belarus,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","3,88","4,28","4,62","5,04","5,38","9,13","13,22","16,41","19,82","29,14","33,79","37,90","45,87","53,12","65,27","80,63","89,88","113,04","125,71","146,73","164,42","172,38","179,02","187,16","191,01","200,98","208,96",—
Belgium,"NA,NO","NA,NO","NA,NO","362,35","368,86","387,83","449,34","539,27","657,93","813,75","887,95","1.088,73","1.172,25","1.401,02","1.587,67","1.672,82","2.365,33","2.469,19","2.838,18","2.833,57","2.731,87","3.015,44","3.370,04","3.389,48","3.452,04","3.686,91","3.795,65","3.775,27","4.072,86","4.206,09","3.701,95","3.111,96","2.397,30",—
Bulgaria,"NO,NA","NO,NA","0,00","0,01","0,02","1,00","3,03","5,31","8,44","12,72","19,67","32,69","46,23","60,98","77,97","104,74","166,32","245,38","282,34","425,74","418,13","415,00","473,86","502,03","727,63","889,01","693,57","714,25","712,72","717,31","801,65","789,77","739,42",—
Canada,"970,54","970,54","1.056,66","829,78","NO,NA","NO,NA","460,51","810,62","1.122,30","1.620,11","2.160,36","2.754,84","3.159,30","3.607,07","3.979,86","4.584,77","5.107,03","5.391,08","6.077,57","6.135,67","6.909,97","7.729,05","8.592,51","9.084,09","10.075,10","10.950,21","11.041,05","11.305,16","11.097,43","12.153,50","12.111,07","11.918,85","11.433,41","1078,05%"
Croatia,NO,NO,NO,NO,NO,NO,"21,66","24,78","29,00","34,81","42,05","50,76","62,00","82,58","108,85","130,15","189,06","244,72","321,42","392,18","473,67","567,73","629,73","703,06","768,70","854,20","948,12","1.083,59","1.229,02","1.356,03","1.470,23","1.574,63","1.699,28",—
Cyprus,"NO,NE","NO,NE","NO,NE","23,04","24,62","26,27","28,49","33,60","38,65","47,38","54,29","62,44","70,91","80,28","92,00","107,15","121,80","137,79","153,17","172,12","182,72","198,99","216,37","221,17","225,67","233,18","246,65","267,02","287,91","308,05","332,27","335,68","353,49",—
Czechia,NO,NO,NO,NO,NO,NO,"86,87","215,43","388,92","529,34","635,90","799,77","997,94","1.098,28","1.211,48","1.327,48","1.346,93","1.586,29","1.943,85","2.202,65","2.221,14","2.438,10","2.648,54","2.751,78","2.880,61","3.060,06","3.309,69","3.528,34","3.742,04","3.793,36","3.823,44","3.734,29","3.711,40",—
Denmark,"NO,NE,NA","NO,NE,NA","NO,NE,NA","3,56","100,80","144,51","237,65","370,59","373,35","501,28","642,47","735,35","734,27","759,11","782,20","838,39","889,17","912,00","945,74","947,13","971,98","828,40","752,08","755,46","697,71","643,64","501,40","565,85","477,29","541,85","393,58","392,05","356,19",—
Estonia,NO,NO,NO,"15,92","18,37","21,03","26,49","32,45","39,01","49,39","59,96","74,74","91,66","93,64","99,71","113,40","128,15","147,20","163,06","146,25","153,12","170,73","178,25","188,03","201,52","211,45","216,43","225,04","225,80","225,99","219,67","179,92","190,21",—
European Union (Convention),"12.884,20","12.884,20","12.434,41","13.869,88","15.405,49","18.425,47","21.426,49","27.309,28","32.228,51","36.889,15","37.854,45","41.220,14","40.814,81","44.360,82","50.534,52","56.196,86","62.175,92","67.973,20","74.719,44","80.284,03","81.532,77","85.758,69","88.926,38","91.277,23","93.185,93","95.233,23","87.246,41","88.115,37","86.516,32","81.980,33","78.266,75","72.857,88","69.863,80","442,24%"
Finland,"0,02","0,02","0,03","0,05","0,20","80,76","148,73","230,51","327,05","431,85","526,28","693,20","764,47","856,87","951,84","1.050,88","1.123,19","1.274,21","1.305,55","1.339,91","1.337,20","1.320,80","1.302,09","1.310,45","1.290,88","1.257,85","1.192,69","1.133,69","1.064,05","1.014,53","968,94","903,86","837,60","4094620,31%"
France,"4.226,21","4.226,21","4.850,63","4.131,28","2.439,45","1.546,51","1.600,56","2.850,22","3.639,74","4.008,48","5.137,83","6.328,37","7.541,68","8.664,21","9.892,47","11.298,65","12.310,14","13.759,94","14.536,33","15.624,39","15.692,14","16.410,87","17.102,41","17.313,36","17.252,99","17.150,46","16.977,63","16.661,97","16.050,52","14.526,70","12.659,33","11.281,20","9.984,62","136,25%"
Germany,"42,16","42,16","38,69","258,89","2.268,27","2.445,62","2.404,00","3.149,86","3.854,98","4.526,18","4.857,31","5.655,84","7.002,55","7.598,22","7.803,66","8.221,35","8.461,90","8.808,93","9.239,99","9.204,69","9.464,58","9.753,45","10.168,66","10.337,41","10.324,85","10.465,55","10.694,28","10.629,80","10.374,69","9.424,78","8.743,37","8.256,32","8.069,18","19039,42%"
Greece,"991,01","991,01","1.173,04","962,74","1.702,86","2.272,32","3.487,68","4.046,99","4.344,36","4.856,97","5.667,03","4.460,65","4.079,50","4.375,21","4.112,54","4.309,68","4.503,29","2.568,97","3.058,38","3.494,70","3.805,73","4.215,53","4.480,25","4.864,48","5.403,54","5.505,32","5.641,71","5.844,57","5.806,45","5.559,42","5.137,08","4.816,27","4.675,45","371,79%"
Hungary,NO,"0,00","13,76","23,20","23,89","27,94","32,77","38,31","60,79","85,72","175,06","202,98","243,45","330,92","453,36","588,26","747,58","889,63","994,38","1.118,11","1.177,69","1.258,46","1.390,47","1.452,74","1.526,07","1.756,20","1.884,83","1.774,94","1.745,06","1.782,05","1.823,01","1.848,69","1.862,46",—
Iceland,"0,31","0,31","0,63","0,64","1,44","1,85","3,15","10,09","16,14","25,47","37,00","42,99","39,83","44,65","45,14","52,17","57,24","66,31","66,98","68,57","81,82","109,92","134,72","140,16","170,54","168,56","161,37","179,21","170,45","188,53","199,64","195,61","157,25","50035,93%"
Ireland,"0,50","0,50","0,64","0,78","6,52","18,24","31,43","72,83","114,93","141,32","185,01","245,68","296,29","379,01","516,37","660,40","820,35","869,33","882,33","961,77","1.000,62","1.016,91","1.041,71","1.031,37","1.061,06","1.139,36","1.116,56","1.184,31","1.094,30","783,93","772,03","624,08","672,99","135583,04%"
