"Time Series - Total of HFCs, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Italy,"372,00","372,00","376,47","426,45","479,02","588,90","860,82","743,89","1.193,87","1.779,27","2.272,20","2.802,55","3.706,22","4.754,02","6.106,40","7.562,33","8.718,32","9.970,99","10.876,02","12.040,54","13.114,51","14.324,79","15.223,14","15.922,60","16.692,35","17.252,85","15.629,74","16.223,31","16.513,65","16.927,95","17.019,38","16.035,05","15.387,77","4036,50%"
Japan,"15.940,02","15.940,02","17.356,79","17.773,14","18.134,59","21.057,23","25.219,35","24.604,22","24.444,49","23.749,43","24.375,04","22.858,36","19.465,97","16.236,40","16.228,08","12.418,37","12.778,81","14.626,24","16.709,81","19.265,32","20.927,11","23.331,82","26.124,54","29.381,77","32.129,24","35.805,26","39.283,25","42.645,36","44.956,35","47.087,14","49.968,01","52.210,28","53.561,04","236,02%"
Kazakhstan,"NO,NA","NO,NA","NO,NA","NO,NA","0,37","1,25","4,45","5,69","9,31","99,47","130,64","273,01","295,71","337,74","462,59","588,00","643,64","889,53","946,84","1.019,57","1.068,90","1.072,99","1.144,65","1.259,57","1.328,22","1.619,87","1.698,54","1.740,31","1.968,39","2.119,50","2.258,36","2.529,75","2.706,49",—
Latvia,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","16,35","28,18","37,42","45,80","53,82","62,11","69,99","77,44","84,83","92,60","100,59","127,18","147,58","170,76","181,30","205,96","207,65","207,84","220,32","233,52","243,16","263,50","256,80","251,59","243,35","236,90","250,34",—
Liechtenstein,"0,00","0,00","0,01","0,07","0,15","0,36","1,07","1,37","1,72","2,24","2,80","3,52","4,26","4,86","5,42","6,02","6,32","6,90","7,59","7,92","7,73","8,28","8,71","9,06","9,02","9,26","9,37","9,02","9,25","9,38","9,06","8,63","7,99","8321758,45%"
Lithuania,NO,NO,NO,NO,"0,03","0,09","6,14","7,51","9,96","13,55","17,04","21,45","27,56","34,89","45,84","66,08","86,46","114,65","148,81","185,24","206,09","247,00","292,70","337,87","392,12","446,00","550,82","691,01","680,68","529,89","532,74","501,59","512,85",—
Luxembourg,"0,00","0,00","0,00","4,99","11,76","12,91","13,81","15,80","18,31","20,92","23,89","28,33","34,86","37,84","38,09","38,26","36,95","39,61","43,77","46,09","47,16","49,25","51,87","54,03","57,49","61,55","61,38","59,80","61,92","54,96","49,45","45,36","43,69","67221615,16%"
Malta,"NO,NE,IE,NA","NO,NE,IE,NA","NO,NE,IE,NA","NO,NE,IE,NA","NO,NE,IE,NA","0,00","0,00","0,00","0,00","0,01","0,01","4,63","8,80","12,20","13,56","20,55","35,18","72,57","89,79","105,44","122,23","134,80","157,58","189,64","200,83","211,74","219,99","234,21","244,01","231,37","220,71","225,19","228,80",—
Monaco,"NO,IE","NO,IE","0,04","0,08","0,31","0,37","0,43","0,58","0,74","1,05","1,30","1,59","2,33","3,06","2,97","2,79","3,67","4,53","4,87","6,02","5,93","5,88","6,52","6,15","7,26","6,54","7,29","7,23","6,20","7,63","7,77","5,64","5,58",—
Netherlands,"4.697,19","4.697,19","3.658,06","4.711,90","5.295,16","6.852,21","6.342,81","8.078,71","8.614,85","9.756,27","5.079,49","4.029,04","1.665,88","1.424,72","1.399,29","1.460,34","1.281,15","1.479,81","1.577,91","1.647,38","1.735,50","1.977,89","1.787,15","1.738,44","1.936,51","1.553,09","1.730,70","1.551,54","1.612,93","1.230,06","1.302,79","1.056,58","1.172,45","-75,04%"
New Zealand,"NO,NA","NO,NA","NO,NA","0,29","0,47","12,69","31,41","69,99","120,84","148,21","196,02","244,66","332,19","386,96","459,27","560,04","680,92","772,17","858,89","950,69","1.020,33","1.072,96","1.145,67","1.182,68","1.198,38","1.246,00","1.280,99","1.304,23","1.336,87","1.375,60","1.395,07","1.444,80","1.483,22",—
Norway,"0,05","0,05","1,21","2,59","32,56","49,62","91,90","122,71","186,09","246,11","309,85","356,68","452,38","490,19","500,31","526,81","528,11","595,76","656,92","709,26","783,82","855,44","923,17","979,89","1.068,11","1.028,05","909,85","950,73","972,63","939,66","874,50","749,80","628,42","1286245,48%"
Poland,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","166,58","259,00","346,42","417,65","581,29","1.022,57","1.504,78","2.048,48","2.617,09","3.150,17","3.761,45","4.440,19","4.888,19","5.364,00","5.653,31","5.598,16","6.104,97","6.344,77","5.965,81","6.501,19","5.583,52","5.689,62","5.772,79","5.579,88","5.304,57","5.114,48","4.937,26",—
Portugal,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","54,19","79,46","137,81","200,43","280,52","359,91","462,27","588,93","719,82","829,18","984,65","1.149,07","1.366,98","1.605,20","1.787,22","1.916,42","2.067,74","2.197,01","2.339,14","2.460,05","2.593,69","2.721,85","2.895,18","3.006,60","3.129,91","3.086,34","3.158,99",—
Romania,"0,14","0,16","0,26","0,41","0,69","1,16","2,47","4,65","10,06","22,76","37,62","66,76","106,08","158,46","216,02","277,58","348,68","452,43","617,48","873,64","850,36","899,27","999,11","1.091,86","1.181,18","1.260,04","1.381,32","1.538,33","1.696,38","1.761,10","1.780,64","1.847,43","1.908,24","1344240,30%"
Russian Federation,"35.937,16","35.937,16","34.229,66","28.192,14","18.278,41","15.469,64","15.447,31","13.611,14","18.009,74","21.834,31","22.671,90","26.569,76","25.208,89","19.303,15","14.612,79","18.409,94","19.817,81","17.999,58","16.829,13","17.926,39","12.530,01","13.444,56","11.306,17","17.840,17","21.785,30","24.871,43","22.456,24","23.646,87","34.357,46","42.535,65","36.000,30","39.081,79","38.619,93","7,47%"
Slovakia,NO,NO,NO,NO,NO,"0,20","12,38","26,31","38,33","50,73","71,82","98,20","130,29","167,96","201,17","240,28","277,09","323,94","368,16","431,50","492,20","569,22","576,43","602,07","620,99","626,14","704,84","647,95","710,19","675,62","688,69","646,65","672,37",—
Slovenia,"NO,NA","NO,NA","NO,NA","NO,NA","28,56","28,78","29,92","27,18","31,36","28,09","28,33","41,05","55,99","70,20","88,69","109,29","130,25","151,78","176,24","202,52","219,26","232,68","244,24","268,34","289,00","302,90","312,09","328,00","323,87","304,61","282,19","277,76","267,04",—
Spain,"2.546,96","2.546,96","2.309,38","2.927,89","2.393,20","3.664,20","4.916,20","5.834,69","7.100,96","7.508,00","9.279,24","10.873,90","8.356,90","7.403,55","9.385,89","9.862,95","11.151,78","13.617,82","15.588,82","16.525,62","15.165,38","15.577,77","14.980,95","14.965,69","14.869,30","14.751,82","8.181,88","7.954,39","6.082,21","4.395,13","4.277,43","3.497,50","3.612,74","41,85%"
Sweden,"5,95","5,95","10,18","11,71","28,35","69,17","128,72","215,64","353,02","457,83","602,55","725,37","803,78","880,80","947,33","1.022,26","1.044,86","1.067,75","1.072,49","1.087,42","1.084,02","1.063,67","1.038,85","1.022,76","1.013,80","1.039,00","1.058,55","1.076,90","1.042,15","987,39","937,82","888,59","840,83","14034,39%"
Switzerland,"0,02","0,02","1,37","14,55","30,75","75,61","227,42","277,90","338,09","428,64","504,44","603,90","698,46","787,66","867,79","961,46","997,14","1.103,40","1.194,81","1.215,70","1.210,34","1.244,35","1.310,08","1.375,07","1.353,81","1.388,86","1.426,50","1.396,81","1.390,41","1.419,47","1.342,92","1.322,70","1.241,48","5510648,35%"
Türkiye,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"115,66","232,00","417,19","628,80","909,37","1.146,88","1.424,19","1.713,19","1.896,14","2.111,28","3.054,43","3.432,77","4.256,95","4.471,16","4.929,70","4.817,55","5.110,99","5.256,44","5.040,33","5.676,60","6.497,73","7.209,80",—
Ukraine,NO,NO,NO,NO,NO,NO,NO,NO,"6,43","13,02","14,14","15,73","29,05","64,27","105,20","187,26","285,07","402,28","561,13","647,25","663,76","743,86","823,17","844,29","891,71","869,10","801,65","921,37","1.049,28","1.395,83","1.685,00","1.751,50","1.901,02",—
United Kingdom of Great Britain and Northern Ireland,"12.068,46","12.068,46","12.582,83","13.102,56","13.764,69","14.537,30","15.619,65","16.429,44","18.356,11","15.373,82","8.525,73","6.964,33","7.638,82","8.021,33","8.797,70","7.917,72","8.677,17","9.521,97","9.964,98","10.396,92","10.920,91","11.503,33","12.134,88","12.755,16","13.176,89","13.343,16","13.349,29","13.359,73","13.267,86","12.950,55","12.333,15","11.525,46","10.819,71","-10,35%"
United States of America,"38.783,36","38.783,36","34.870,54","39.830,66","40.266,43","46.551,57","62.970,60","71.320,87","80.544,21","97.729,04","96.080,81","101.050,23","98.171,78","103.783,53","98.122,91","106.706,35","109.261,35","113.206,30","123.357,35","127.381,18","127.279,68","135.113,79","138.183,62","137.205,39","137.522,78","141.872,59","144.455,49","144.033,21","145.330,48","144.940,18","149.355,43","152.280,00","158.774,99","309,39%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Tuesday, 18 November 2025 04:38:28 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
