"Time Series - Total of PFCs, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"4.607,01","4.607,01","4.610,74","4.603,28","3.315,53","2.164,43","1.530,84","1.410,40","1.228,15","1.660,52","1.139,06","1.287,06","1.801,88","1.727,62","1.683,98","1.713,85","1.791,70","687,06","582,68","444,52","358,55","283,32","301,30","294,88","192,00","192,54","171,32","224,92","202,63","236,00","303,14","270,31",—,"-100,00%"
Austria,"1.062,93","1.062,93","1.071,84","458,90","57,32","64,07","75,28","72,47","106,08","50,27","71,59","79,61","106,13","93,07","115,59","145,06","150,06","156,33","208,70","188,49","32,63","70,51","66,43","45,95","44,62","48,02","44,89","45,65","39,75","29,40","34,70","27,02","23,40","-97,80%"
Belarus,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,20","17,67","17,14","16,62","16,09","15,56","15,03","14,50","13,97","13,92","13,24","12,54","11,86","11,19","10,66","10,54",—
Belgium,"2.034,77","2.034,77","1.947,01","2.122,97","2.042,61","2.451,73","2.716,50","2.578,44","1.437,51","788,69","387,45","403,25","240,08","90,95","232,17","346,83","155,81","104,46","110,59","554,35","446,74","95,60","151,50","115,16","128,28","126,16","137,54","388,44","169,61","121,19","139,09","184,80","182,00","-91,06%"
Bulgaria,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","0,02","0,06","0,06","0,06","0,05","0,04","0,03","0,03","0,02","0,03","0,01","0,01","0,01","0,01",—
Canada,"7.557,90","7.557,90","8.033,11","7.578,68","7.455,58","6.895,01","6.346,94","6.501,49","6.374,16","6.476,18","5.370,47","4.984,51","4.047,50","3.462,95","3.489,89","3.521,87","3.838,44","2.985,12","2.533,62","2.600,86","2.510,32","1.861,28","1.663,56","1.804,89","1.624,67","1.095,31","976,68","773,81","754,76","629,52","618,15","828,56","752,88","-90,04%"
Croatia,"1.117,28","1.117,28","766,41",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,—
Cyprus,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,—
Czechia,NO,NO,NO,NO,NO,NO,"0,01","0,68","1,62","1,54","1,08","4,43","9,15","15,17","8,36","12,41","14,38","29,02","27,20","37,05","42,14","44,34","8,08","6,17","4,18","3,12","2,11","1,78","1,97","2,07","1,57","0,97","30,95",—
Denmark,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","0,07","0,64","2,11","5,24","11,57","15,87","22,75","28,13","28,24","24,79","20,70","18,92","20,94","20,86","18,21","19,03","9,63","7,27","3,18","3,32","2,44","0,02","0,01","0,98","0,01","0,99","0,01","0,01",—
