Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Estonia,"32.912,44","32.912,44","30.267,10","21.543,14","15.412,60","16.599,39","14.402,85","15.022,99","14.537,87","12.290,50","11.726,39","10.486,33","10.647,16","10.454,14","12.682,21","12.280,11","14.022,71","11.781,24","15.721,70","12.332,92","9.285,90","13.160,30","13.422,54","13.877,76","16.622,38","18.230,30","14.700,03","16.996,53","18.664,74","19.794,01","13.127,30","11.400,50","12.955,08","-60,64%"
European Union (Convention),"3.639.185,27","3.639.185,27","3.472.470,28","3.372.500,86","3.289.056,83","3.275.899,31","3.299.873,55","3.368.277,87","3.309.987,65","3.287.305,75","3.219.726,83","3.279.370,11","3.288.757,16","3.320.382,74","3.414.581,96","3.389.128,46","3.377.227,16","3.378.919,18","3.392.083,32","3.266.719,52","2.969.997,98","3.065.554,95","2.970.533,44","2.901.510,61","2.823.276,39","2.701.496,84","2.757.306,40","2.766.534,90","2.853.313,37","2.775.624,10","2.644.218,78","2.375.166,77","2.560.898,71","-29,63%"
Finland,"27.915,81","27.915,81","13.761,47","18.823,60","20.188,26","32.357,95","30.049,02","29.582,48","32.809,00","31.426,61","30.696,28","29.263,97","34.037,22","35.420,41","42.535,40","37.336,43","25.390,54","32.824,86","40.877,49","30.197,22","15.322,24","35.094,28","28.448,35","21.266,61","28.657,38","24.121,45","24.799,32","31.194,19","30.980,81","41.278,43","33.086,85","25.972,20","35.798,54","28,24%"
France,"378.749,00","378.749,00","403.682,99","396.219,23","373.592,64","366.356,92","368.576,45","378.718,69","370.609,93","387.499,88","381.991,16","391.828,83","383.914,05","372.444,28","372.402,74","373.330,51","374.632,10","365.085,66","356.924,78","350.838,33","343.594,26","346.814,99","323.196,09","320.554,31","324.620,34","298.605,61","307.332,97","317.569,21","331.562,66","316.023,67","313.127,24","271.753,79","301.799,75","-20,32%"
Germany,"1.083.500,88","1.083.500,88","984.708,30","928.856,88","917.821,81","906.668,30","909.585,06","935.736,69","908.328,50","900.181,43","868.153,88","891.603,48","898.206,22","913.892,67","909.739,62","890.217,11","865.778,17","870.903,10","846.710,00","843.916,34","770.499,71","820.839,12","791.170,42","787.704,50","809.945,86","778.061,99","779.212,83","780.349,69","767.605,57","739.346,38","692.962,59","643.741,66","675.066,15","-37,70%"
Greece,"81.114,51","81.114,51","80.995,52","82.292,95","81.129,92","83.548,77","83.866,00","86.653,88","91.562,60","96.199,58","95.213,43","100.196,75","102.692,49","102.024,11","106.337,75","106.763,51","110.335,54","108.791,06","111.872,15","107.693,76","100.825,01","93.927,96","90.971,47","87.784,48","79.658,39","78.004,64","70.648,75","67.238,55","70.698,36","66.799,80","60.253,50","50.168,78","51.902,68","-36,01%"
Hungary,"83.093,05","69.959,84","67.134,80","59.211,85","57.732,14","55.411,94","55.181,31","60.412,61","58.500,30","57.030,50","59.753,28","57.333,96","57.280,30","56.959,22","57.365,76","56.733,49","54.332,46","55.609,21","54.179,85","51.212,40","46.864,91","47.215,23","46.006,76","41.961,48","39.551,94","38.633,38","40.970,20","42.577,13","44.157,05","44.681,97","43.870,31","40.183,58","41.323,19","-50,27%"
Iceland,"7.984,14","7.984,14","7.869,72","8.008,98","8.153,68","8.098,96","8.209,55","8.260,52","8.357,13","8.383,09","8.598,97","8.707,90","8.656,87","8.807,17","8.803,87","8.933,03","8.807,75","9.046,31","9.310,26","9.677,46","9.587,92","9.449,55","9.301,96","9.294,33","9.271,57","9.209,72","9.285,09","9.210,05","9.288,61","9.321,01","9.214,28","9.005,71","9.152,18","14,63%"
Ireland,"38.255,58","38.255,58","38.799,15","38.438,18","38.678,96","39.882,81","41.810,62","43.042,20","43.916,39","45.663,60","47.515,77","51.833,58","54.983,16","53.643,12","53.446,19","52.548,77","54.981,12","54.368,03","53.391,94","52.641,67","46.871,25","47.523,66","43.169,26","42.790,34","42.523,15","41.606,93","43.976,54","44.445,88","45.215,74","44.237,33","42.964,64","41.129,88","43.826,27","14,56%"
Italy,"433.213,98","433.213,98","417.975,87","420.264,72","424.683,24","406.524,94","424.390,74","417.235,83","430.901,10","445.294,02","440.993,51","447.552,34","437.668,90","441.060,08","466.621,56","466.208,72","465.893,30","459.748,52","474.905,99","445.994,39","388.364,83","394.075,34","389.318,62","377.520,99","328.547,46","307.584,40","317.384,55","314.926,38","327.933,68","304.086,08","297.929,32","269.900,21","308.306,13","-28,83%"
Japan,"1.092.853,49","1.092.853,49","1.095.781,74","1.101.895,21","1.091.644,99","1.146.884,29","1.159.554,44","1.168.341,60","1.160.034,75","1.119.758,43","1.157.184,03","1.178.807,97","1.163.578,07","1.191.437,98","1.188.448,84","1.187.269,21","1.200.536,24","1.182.418,05","1.222.224,42","1.161.190,03","1.095.378,54","1.143.221,50","1.194.907,07","1.233.418,52","1.249.990,26","1.201.787,14","1.166.520,48","1.149.673,63","1.130.047,29","1.085.378,31","1.053.358,92","987.725,14","1.009.951,40","-7,59%"
Kazakhstan,"261.307,75","261.307,75","254.451,82","229.622,54","201.875,93","178.274,03","184.710,86","176.798,54","187.262,66","185.334,50","159.110,44","185.480,23","195.051,36","216.502,33","243.524,88","259.127,85","282.893,45","316.377,00","311.143,77","304.433,05","295.007,22","314.270,15","288.068,70","280.818,98","274.291,79","293.547,37","299.371,44","296.722,77","318.247,56","327.738,04","289.542,07","263.474,26","257.747,30","-1,36%"
Latvia,"6.263,77","6.263,77","4.088,22","-117,58","-2.179,00","-6.627,27","-6.736,54","-6.826,71","-5.592,15","-5.017,10","-1.961,31","-5.818,79","-5.879,17","-4.176,36","-3.538,36","180,58","839,38","502,79","1.301,01","471,25","2.601,84","5.468,01","4.311,15","2.638,60","3.749,51","7.415,64","6.211,81","4.289,05","2.792,24","5.839,77","3.962,75","6.393,77","8.196,79","30,86%"
Liechtenstein,"206,24","206,24","197,97","209,42","214,26","219,46","209,24","202,75","226,50","229,69","225,91","241,66","216,55","222,81","236,14","238,34","237,99","244,91","223,64","244,49","227,39","211,42","201,10","209,91","209,68","178,32","171,55","159,84","167,07","164,93","161,02","146,38","145,83","-29,29%"
Lithuania,"30.273,54","30.273,54","32.037,69","15.646,15","9.846,73","9.763,18","10.335,49","16.554,86","14.760,12","8.009,39","6.137,79","2.248,89","5.174,53","6.198,81","6.950,12","8.082,63","9.599,37","10.331,20","9.832,11","8.549,62","5.436,86","3.305,96","3.264,88","3.737,35","3.442,87","3.934,45","4.970,04","5.845,63","6.592,77","7.700,23","7.642,71","6.767,64","7.591,61","-74,92%"
Luxembourg,"11.814,35","11.814,35","12.365,87","11.727,81","11.750,55","11.089,27","8.623,15","8.638,90","7.909,44","7.114,69","7.502,71","8.078,72","8.601,98","9.381,59","9.873,21","11.196,26","11.497,61","11.410,01","10.898,19","10.744,05","10.189,55","10.974,44","10.786,45","10.486,05","9.815,94","9.391,96","8.972,85","8.617,36","8.880,05","9.324,25","9.397,52","7.611,53","7.815,86","-33,84%"
Malta,"2.419,10","2.419,10","2.263,31","2.288,29","2.880,45","2.653,54","2.447,84","2.529,63","2.551,70","2.520,61","2.567,76","2.462,95","2.733,93","2.768,30","2.981,88","2.848,50","2.655,91","2.665,54","2.729,74","2.702,20","2.537,54","2.613,81","2.581,76","2.715,09","2.377,48","2.360,08","1.661,33","1.352,35","1.531,75","1.546,98","1.654,11","1.604,90","1.606,78","-33,58%"
Monaco,"97,82","97,82","98,50","104,10","103,19","104,00","100,78","104,28","102,78","101,60","102,32","99,87","99,53","99,27","96,56","91,43","89,27","83,56","82,23","81,85","78,79","76,30","74,44","77,55","78,32","73,47","75,84","74,25","72,67","74,37","71,15","60,46","64,34","-34,23%"
Netherlands,"168.497,77","168.497,77","177.000,78","176.775,98","176.793,42","177.584,34","178.904,84","187.930,55","180.813,70","181.774,93","176.296,19","177.345,90","182.558,22","181.830,90","185.587,22","187.301,31","183.265,28","178.396,95","177.795,37","180.767,09","175.333,79","187.106,49","174.427,04","171.097,18","170.027,52","162.576,25","168.874,93","169.482,75","165.964,99","161.987,25","156.357,81","140.500,37","143.892,20","-14,60%"
New Zealand,"4.937,34","4.937,34","3.654,07","5.765,87","4.409,90","4.542,82","5.720,24","7.261,47","8.476,97","6.321,23","5.155,29","4.977,99","6.540,79","8.105,49","8.672,55","8.332,54","11.619,54","13.571,29","14.239,45","7.694,06","5.930,33","5.136,84","4.356,48","8.971,50","8.617,61","8.632,34","9.037,39","7.674,71","10.846,33","11.297,05","12.611,85","10.639,22","12.959,79","162,49%"
Norway,"24.191,38","24.191,38","20.829,22","22.251,38","22.203,25","26.144,16","22.448,70","26.250,29","27.412,97","25.100,01","24.178,21","22.015,79","21.427,38","19.578,20","19.462,87","20.199,64","21.985,44","20.650,88","22.283,74","20.113,59","15.130,75","21.084,17","18.895,05","22.130,09","21.871,21","25.999,10","31.374,41","30.589,56","30.923,55","30.246,69","26.708,36","21.267,59","24.711,80","2,15%"
Poland,"452.062,87","346.473,51","350.617,97","362.359,63","355.703,25","351.244,48","343.473,33","340.703,56","330.885,72","297.083,43","290.056,14","281.687,25","285.613,26","269.557,13","280.255,55","274.107,16","273.777,70","293.534,91","299.791,32","293.841,94","280.377,68","300.354,24","294.276,12","286.203,81","280.053,66","275.119,21","281.828,53","285.407,08","297.616,34","297.558,26","297.616,82","281.653,33","309.232,65","-31,60%"
Portugal,"50.984,00","50.984,00","43.960,94","41.557,29","39.255,75","40.763,27","43.552,74","42.143,17","44.056,96","48.846,51","56.121,37","62.677,61","56.018,73","60.729,96","67.548,37","62.080,68","71.410,67","62.067,71","58.118,69","49.889,93","45.918,68","45.346,62","47.844,41","47.732,94","47.028,97","42.069,65","47.612,47","50.294,09","74.226,52","47.186,62","42.319,22","36.282,89","33.063,67","-35,15%"
Romania,"186.526,02","147.707,03","112.942,40","101.308,04","90.626,75","89.243,19","94.399,71","98.684,91","87.010,61","71.362,72","55.911,25","60.218,05","64.916,27","67.196,64","71.148,21","70.825,36","68.163,47","71.011,83","74.896,32","73.297,03","56.848,39","48.609,29","55.003,80","50.876,30","39.010,41","27.859,60","27.666,94","24.087,98","29.046,00","32.003,77","28.590,74","23.540,61","27.860,58","-85,06%"
Russian Federation,"2.428.209,18","2.428.209,18","2.336.682,66","1.889.481,20","1.734.339,36","1.433.249,89","1.329.313,33","1.225.396,19","1.050.088,97","1.012.985,58","1.006.050,19","971.448,84","957.908,53","921.213,10","944.835,95","968.576,16","985.799,13","1.041.313,07","1.024.785,67","1.013.016,29","829.113,44","901.484,85","1.001.752,78","1.006.249,47","996.768,79","947.649,20","1.017.916,03","983.184,99","1.024.809,91","1.085.872,08","1.113.002,75","1.039.199,16","1.158.764,53","-52,28%"
Slovakia,"52.009,32","52.009,32","43.004,13","37.967,02","35.623,89","33.621,94","34.567,71","34.534,85","34.826,05","33.490,88","33.466,66","31.650,90","34.448,63","32.713,11","33.576,98","34.094,14","37.973,34","34.645,76","33.503,95","35.012,42","31.487,15","33.140,74","32.363,01","29.151,89","28.090,19","28.364,52","28.647,46","29.024,08","30.324,38","31.289,82","28.193,25","23.336,49","27.457,13","-47,21%"
Slovenia,"11.907,95","10.630,67","9.156,76","8.950,65","9.311,55","9.516,24","10.150,96","10.223,15","10.519,35","9.907,32","9.245,78","8.788,95","9.989,77","9.136,29","9.144,84","9.458,03","9.647,08","9.873,48","9.728,72","10.917,38","8.910,10","9.239,99","9.239,34","8.700,99","9.773,21","14.224,77","14.410,28","15.372,32","15.524,66","15.526,26","10.655,67","9.674,30","9.917,59","-16,71%"
Spain,"195.769,44","195.769,44","205.126,45","213.823,41","204.147,53","216.693,26","228.897,51","215.818,57","228.072,03","236.077,95","256.126,57","265.842,79","265.968,24","287.013,22","291.737,04","307.680,05","323.111,82","312.099,87","322.733,67","291.410,55","254.221,47","238.363,63","239.671,97","236.103,27","211.252,40","211.668,62","225.646,81","214.422,77","227.543,67","222.166,28","205.049,55","169.215,55","185.287,49","-5,35%"
Sweden,"9.541,95","9.541,95","10.049,55","10.870,32","14.858,14","15.803,73","15.238,67","16.542,99","10.741,30","10.575,42","7.371,25","5.076,67","5.094,85","6.948,15","10.345,40","11.991,26","8.867,87","1.713,32","3.095,69","1.242,95","-2.222,34","1.277,85","-3.438,76","-5.955,68","-5.660,18","-5.905,71","-4.438,37","-3.255,66","2.192,33","4.976,90","1.163,56","-6.158,54","-4.765,05","-149,94%"
Switzerland,"42.313,49","42.313,49","41.183,58","41.948,96","39.270,42","39.615,00","39.544,91","38.578,32","39.186,44","41.737,30","41.970,52","48.818,83","44.188,68","40.805,45","42.024,68","42.539,89","42.828,42","43.385,23","42.463,96","42.587,56","40.310,74","42.176,56","39.934,68","39.672,07","41.378,75","39.006,25","36.709,80","37.132,41","36.423,37","35.717,88","34.899,14","32.747,11","33.850,28","-20,00%"
Türkiye,"84.977,66","84.977,66","90.677,57","96.473,29","104.383,80","99.179,49","113.500,72","132.356,65","141.575,75","141.432,33","136.647,86","161.590,12","142.693,99","151.816,54","165.494,58","174.985,87","193.017,58","210.775,76","241.719,94","242.300,72","245.433,99","244.194,11","266.345,19","282.514,25","270.618,88","287.021,88","311.984,93","332.636,82","355.740,17","352.172,27","339.780,47","355.680,47","404.283,13","375,75%"
Ukraine,"674.589,60","674.589,60","593.104,75","549.720,30","477.240,55","382.190,90","357.647,95","323.706,10","317.762,69","300.402,13","267.246,46","262.467,74","286.212,29","280.782,76","285.682,23","300.748,64","304.268,99","320.736,53","322.272,51","326.460,53","272.485,97","285.135,16","316.792,69","309.229,99","316.290,01","277.491,73","243.321,20","258.173,40","236.353,33","256.394,24","245.081,14","205.763,40","224.202,08","-66,76%"
United Kingdom of Great Britain and Northern Ireland,"607.337,26","607.337,26","614.363,22","597.922,11","583.385,06","577.002,16","569.166,38","588.829,42","564.783,44","569.367,15","562.016,90","569.664,52","578.183,04","559.951,81","570.567,38","571.948,50","568.441,08","565.670,04","557.124,55","541.772,18","490.774,66","508.588,67","465.540,55","483.427,42","473.376,86","434.008,93","417.899,52","394.833,83","382.359,88","375.082,02","361.714,43","321.430,23","342.591,10","-43,59%"
United States of America,"4.182.101,65","4.182.101,65","4.118.538,64","4.237.401,88","4.355.220,35","4.432.447,82","4.522.445,44","4.689.528,76","4.784.742,90","4.828.445,50","4.903.384,68","5.108.124,29","5.007.802,39","5.079.188,80","5.118.743,21","5.321.368,34","5.278.654,75","5.170.091,22","5.286.998,00","5.090.456,79","4.693.711,66","4.872.348,62","4.692.335,15","4.494.702,75","4.666.664,27","4.701.831,06","4.624.236,64","4.378.690,75","4.369.646,42","4.548.296,50","4.493.920,58","3.862.093,60","4.200.173,85","0,43%"
