Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"454.227,62","454.227,62","440.737,80","379.212,30","362.471,20","362.808,12","346.926,57","354.938,98","353.182,12","353.814,30","370.990,82","389.018,37","407.770,60","407.331,94","425.660,79","419.177,37","447.096,75","457.712,68","471.952,70","462.929,05","463.425,80","446.578,01","422.139,55","407.709,31","392.142,92","390.891,02","380.416,83","357.580,22","351.760,01","362.300,20","358.083,26","343.712,15",—,"-100,00%"
Austria,"49.819,76","49.819,76","46.421,78","50.596,33","43.478,83","51.245,08","44.124,00","48.385,81","44.461,84","47.522,79","45.052,23","51.744,11","40.600,62","58.645,20","61.954,39","55.128,40","60.532,88","67.597,47","68.287,95","60.972,01","59.115,14","52.107,30","54.399,09","61.365,61","61.385,35","56.417,52","59.656,06","60.087,50","66.213,02","71.347,86","69.945,20","56.757,37","55.477,76","11,36%"
Belarus,"78.921,11","78.921,11","74.423,97","64.830,53","58.798,00","37.688,22","30.917,94","32.287,28","32.872,47","32.812,75","24.536,45","20.239,22","20.266,71","21.610,30","25.577,74","26.251,77","25.214,80","24.899,23","21.045,33","23.270,35","17.826,99","16.277,05","16.058,80","19.078,06","18.084,99","18.023,16","14.876,66","17.999,96","22.400,11","22.210,09","26.407,60","21.550,22","17.834,01","-77,40%"
Belgium,"117.350,68","117.350,68","120.882,29","120.184,72","119.099,69","122.720,91","123.628,26","126.960,91","121.930,13","127.603,11","122.534,60","124.992,90","124.505,33","124.705,88","126.193,61","126.987,64","123.781,61","122.046,70","118.935,84","118.713,01","106.477,96","114.144,12","104.673,65","102.025,22","101.688,15","96.019,85","100.187,53","98.751,86","98.306,13","99.254,57","98.884,40","90.662,49","95.240,47","-18,84%"
Bulgaria,"73.110,43","59.972,52","44.734,47","41.045,31","41.730,66","39.624,87","41.139,39","42.285,21","39.404,01","36.920,17","30.255,40","27.917,76","34.241,24","31.140,50","35.933,42","34.237,71","33.987,17","38.540,48","41.286,18","41.448,93","33.099,04","35.723,82","44.381,33","40.004,28","35.440,93","36.749,38","40.158,69","35.574,86","37.740,05","33.667,29","32.611,93","26.874,93","32.689,03","-55,29%"
Canada,"392.834,83","392.834,83","379.660,57","405.071,64","415.139,17","420.636,79","448.121,13","459.022,20","469.820,12","471.598,06","493.545,84","528.142,15","511.656,78","551.483,74","569.289,10","566.049,56","567.923,26","548.071,53","575.745,72","554.380,20","494.387,21","536.786,57","552.246,44","543.440,39","548.586,82","525.843,26","569.416,64","545.579,49","549.243,76","564.711,00","558.871,65","508.620,85","519.003,02","32,12%"
Croatia,"16.617,86","16.617,86","9.455,03","8.719,98","8.959,03","7.973,50","8.260,25","9.128,12","10.948,42","11.548,81","11.834,72","12.762,59","12.769,53","13.610,19","15.696,47","15.097,55","15.307,27","15.685,83","18.096,16","16.658,40","14.767,75","14.032,47","14.895,06","13.720,34","12.167,33","11.560,04","11.985,98","12.268,69","13.610,63","12.101,10","11.999,83","11.029,97","11.486,87","-30,88%"
Cyprus,"4.491,73","4.491,73","4.966,05","5.332,92","5.574,06","5.807,09","5.681,44","6.025,80","6.113,05","6.398,72","6.660,23","6.955,15","6.807,34","6.967,01","7.344,78","7.572,91","7.735,46","7.961,05","8.314,89","8.464,66","8.191,16","7.833,85","7.484,77","6.966,92","6.283,78","6.650,10","6.674,14","7.169,50","7.195,21","7.017,47","7.043,58","6.610,54","6.784,63","51,05%"
Czechia,"155.568,54","155.568,54","138.876,25","135.559,09","129.346,38","123.193,39","121.862,86","125.504,75","122.362,47","117.362,53","108.203,38","117.992,64","117.907,47","114.959,01","119.148,61","120.054,12","117.342,82","119.367,72","121.740,39","115.000,91","107.120,84","110.238,21","107.635,46","103.552,54","99.605,58","97.169,16","98.001,72","100.549,45","103.250,91","107.319,88","108.760,52","102.911,74","105.007,32","-32,50%"
Denmark,"61.345,39","61.345,39","71.257,64","66.382,66","67.134,52","70.736,86","67.844,44","80.519,10","71.536,25","67.250,54","64.990,58","60.510,44","61.737,84","62.324,69","67.232,59","61.424,66","57.831,18","65.965,71","61.485,47","56.555,16","53.381,32","52.950,21","47.377,45","42.502,88","43.997,56","40.506,77","36.987,34","39.873,66","37.750,52","39.693,46","35.258,71","32.775,19","33.431,54","-45,50%"
