"Time Series - Sum of HFCs, PFCs, Unspecified mix of HFCs and PFCs, SF₆ and NF₃, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"6.252,26","6.252,26","6.274,77","6.194,58","5.422,27","3.488,16","2.865,71","1.977,53","1.959,65","2.561,65","2.335,62","2.752,15","3.705,83","4.064,86","4.560,45","5.129,61","5.846,93","5.144,83","5.715,75","6.176,70","6.951,73","7.484,10","8.237,38","8.617,48","8.867,08","9.591,17","10.132,14","10.591,03","10.794,32","10.825,21","11.725,31","11.925,60",—,"-100,00%"
Austria,"1.550,03","1.550,03","1.708,09","1.140,04","1.039,04","1.256,30","1.539,21","1.683,57","1.713,48","1.520,50","1.432,72","1.358,30","1.572,95","1.692,28","1.728,73","1.763,77","1.788,71","1.767,23","1.804,39","1.830,97","1.700,36","1.846,12","1.905,04","1.974,50","2.057,64","2.168,77","2.273,40","2.340,74","2.355,49","2.388,89","2.298,83","2.197,77","1.891,72","22,04%"
Belarus,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","38,03","38,44","38,82","39,26","39,62","43,37","47,48","50,68","54,14","63,54","68,30","71,62","78,72","85,72","97,09","112,14","120,62","142,97","154,72","174,69","192,37","199,32","204,85","212,30","218,29","228,28","236,05",—
Belgium,"3.701,21","3.701,21","3.529,80","4.234,02","4.095,18","4.877,24","5.371,53","5.240,84","2.651,10","1.907,74","1.434,05","1.640,81","1.556,13","1.612,13","1.925,26","2.112,98","2.614,98","2.653,19","3.030,62","3.478,72","3.275,53","3.220,45","3.636,55","3.620,46","3.702,40","3.911,86","4.029,47","4.264,85","4.347,68","4.425,66","3.951,34","3.412,20","2.680,35","-27,58%"
Bulgaria,"3,40","3,81","4,03","4,27","4,53","5,77","8,07","10,65","14,09","18,70","26,00","39,38","53,31","68,47","85,90","113,12","174,74","254,13","291,42","435,20","428,00","434,40","491,41","518,67","748,71","906,43","712,22","733,60","730,80","735,87","820,49","810,23","762,71","22323,75%"
Canada,"11.754,69","11.754,69","12.775,33","10.965,88","9.829,43","9.337,04","9.082,88","9.081,03","9.324,36","10.454,03","9.941,18","10.642,55","9.764,13","10.086,05","10.121,39","10.446,75","10.363,03","9.903,12","9.337,56","9.381,04","9.794,32","10.037,70","10.596,58","11.350,24","12.164,92","12.447,46","12.484,61","12.445,24","12.167,84","13.125,98","13.173,76","13.039,84","12.513,40","6,45%"
Croatia,"1.128,34","1.128,34","777,34","11,02","11,14","11,96","34,11","37,68","41,52","48,21","55,40","63,48","74,81","95,73","122,34","144,11","203,76","259,29","336,00","405,57","483,29","577,86","640,31","714,36","776,10","862,11","953,87","1.090,39","1.236,25","1.362,50","1.478,32","1.583,98","1.708,91","51,45%"
Cyprus,"2,73","2,73","3,37","27,05","29,27","31,56","34,42","40,16","45,86","55,23","62,78","71,56","80,71","90,73","103,11","118,92","134,22","149,26","164,95","184,20","195,11","211,68","230,73","236,14","241,25","249,37","263,45","282,62","303,72","324,95","347,71","354,42","369,73","13438,89%"
Czechia,"86,83","86,83","86,66","88,03","89,22","90,35","178,28","317,44","489,59","628,78","735,86","915,93","1.108,95","1.238,45","1.368,98","1.464,21","1.476,59","1.723,65","2.067,72","2.331,09","2.355,07","2.567,88","2.748,53","2.854,06","2.971,70","3.147,75","3.394,48","3.613,17","3.823,43","3.871,06","3.897,46","3.804,43","3.808,48","4286,35%"
Denmark,"43,71","43,71","62,94","92,53","201,77","266,32","345,42","433,84","451,48","572,41","723,27","816,76","791,95","812,15","838,14","891,71","929,57","968,50","996,69","996,78","1.027,59","876,31","839,34","892,29","855,74","805,42","626,80","673,47","556,65","618,03","468,96","439,93","371,76","750,51%"
