Annual Net emissions/removals in kt
Query results for — Party: Annex I and 46 other(s) | Year: Base year and 32 other(s) | Category: Total GHG emissions with LULUCF | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt

Party \ Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021)
Annex I,13890912.538440138,13718955.791906625,13294336.76203718,12776925.746672349,12550158.915896857,12250813.977018205,12258085.401017407,12427758.29979367,12273102.6938079,12204428.711734947,12226251.450561514,12557600.012589706,12450440.304991828,12569983.618218923,12793842.062904878,13012477.878968582,13039214.859686889,12993200.332347877,13209627.691831756,12767661.660975046,11649226.213559672,12104231.326559851,11977763.389719108,11767211.677361235,11843608.515598835,11576647.179955957,11597984.731460202,11277706.802265612,11373203.26849802,11522994.345061766,11288316.268781742,10101937.398482129,10525940.034139633
Annex I EIT,4282065.687259364,4110108.9407258504,3846526.195344785,3296225.312581181,3022491.898598726,2582693.8640939817,2444916.540406078,2327617.8755241316,2118886.9024680546,1996189.6114851653,1912462.5788818647,1859424.3435951546,1891496.5063568954,1831354.832187424,1894459.7296466553,1930727.4478589837,1950275.697036907,2047833.3004500554,2048181.2249988941,2021490.374814862,1716226.8663311047,1823385.3278632232,1959403.7267096916,1928982.8514152607,1898651.8007102055,1802424.5417580432,1845665.5572326002,1831351.1467285322,1882883.1260404312,1971958.7803153177,1971523.3344589327,1810279.6387219396,1994518.4591589663
Annex I non-EIT,9608846.851180773,9608846.851180773,9447810.566692395,9480700.434091168,9527667.01729813,9668120.112924224,9813168.860611329,10100140.424269538,10154215.791339844,10208239.100249782,10313788.871679649,10698175.668994552,10558943.798634931,10738628.786031498,10899382.333258223,11081750.431109598,11088939.162649982,10945367.031897822,11161446.466832861,10746171.286160184,9932999.347228568,10280845.998696627,10018359.663009416,9838228.825945975,9944956.71488863,9774222.638197914,9752319.174227603,9446355.65553708,9490320.14245759,9551035.564746449,9316792.93432281,8291657.75976019,8531421.574980667
Australia,454227.6177746665,454227.6177746665,440737.7994418004,379212.2991708935,362471.19736780284,362808.12183969375,346926.571148444,354938.9823193661,353182.11615861516,353814.3003894822,370990.81549099874,389018.36769794713,407770.5983622364,407331.9433803808,425660.79056618165,419177.37431063986,447096.75432505,457712.68365883967,471952.7035976426,462929.05110306176,463425.80026558577,446578.011551366,422139.5461092671,407709.30728706345,392142.9222174482,390891.02279142436,380416.8278328385,357580.2205290929,351760.00892813405,362300.1987930369,358083.25755223056,343712.15272884833,
Austria,49819.763425422665,49819.763425422665,46421.77713386977,50596.32511232589,43478.83423378019,51245.08272181909,44123.99751661209,48385.81163047294,44461.8370717746,47522.79209643291,45052.23447207175,51744.109757483704,40600.618684926485,58645.20047320997,61954.38688666703,55128.39595248256,60532.87927304441,67597.4729804252,68287.94693118932,60972.00747129717,59115.1449836177,52107.300727037706,54399.08767472968,61365.6133682615,61385.35000678924,56417.52187365815,59656.06363105597,60087.49568210156,66213.01661687491,71347.85839909315,69945.20365548703,56757.36710865268,55477.760467088425
Belarus,78921.10818724087,78921.10818724087,74423.96979353543,64830.5339261946,58798.00237105695,37688.218868783864,30917.93730066926,32287.28227865033,32872.472501003285,32812.754537729335,24536.45220702892,20239.21865397562,20266.705698130954,21610.29884132508,25577.74384413051,26251.772684039974,25214.79827122887,24899.226769901103,21045.32582373116,23270.351874126285,17826.994671677712,16277.051280964508,16058.804729669642,19078.059064138743,18084.986904915288,18023.164550587524,14876.658240630852,17999.96464856635,22400.110901757525,22210.087502552095,26407.6017036628,21550.215232073493,17834.00585219021
Belgium,117350.67586257725,117350.67586257725,120882.28804539808,120184.71558870364,119099.6927638333,122720.91024572568,123628.26451298746,126960.91121526656,121930.12507169328,127603.11050970909,122534.59694949847,124992.9018381644,124505.33229299127,124705.88305063588,126193.60847635397,126987.64368422465,123781.61337378972,122046.699482317,118935.8409151459,118713.00560092408,106477.9561973789,114144.11676599467,104673.64956029278,102025.22296740323,101688.14556434243,96019.84947693424,100187.52834925702,98751.86369835284,98306.13006948939,99254.56805291133,98884.40155934934,90662.49286830824,95240.46824780716
Bulgaria,73110.42594766515,59972.5187616947,44734.466769713246,41045.309576910266,41730.66307227549,39624.869764365816,41139.39359566332,42285.20942933813,39404.01081537645,36920.165765996084,30255.396422750022,27917.757355100126,34241.23765376112,31140.496680780318,35933.420008061956,34237.708082766294,33987.172490578545,38540.48031855779,41286.18137296779,41448.93186291555,33099.0415126361,35723.82391463767,44381.333240179774,40004.27598257065,35440.93277337741,36749.377634862074,40158.69174440499,35574.86006181102,37740.04586060181,33667.29290822846,32611.927701109114,26874.927978718002,32689.02565501592
Canada,392834.83072323765,392834.83072323765,379660.5710479074,405071.6439115707,415139.1652268757,420636.7900413112,448121.1299049344,459022.19870375324,469820.1165105876,471598.06149385206,493545.8444872034,528142.1539448391,511656.7821968144,551483.7353993275,569289.1043204997,566049.5575527225,567923.2649842021,548071.5338355656,575745.7243603254,554380.1995630467,494387.21254640777,536786.5716185386,552246.4422307617,543440.3937061024,548586.8246684266,525843.264151113,569416.6445991133,545579.4891055737,549243.7604264138,564711.0021740795,558871.6526549752,508620.85438851494,519003.0173682375
Croatia,16617.857751908294,16617.857751908294,9455.032429522778,8719.979878789338,8959.033406303422,7973.4964799542595,8260.245590467806,9128.123631803395,10948.419251119098,11548.813937350873,11834.721757754356,12762.593395313319,12769.526865864771,13610.185819189039,15696.465877208764,15097.546032414715,15307.272453784331,15685.82758312997,18096.159653451683,16658.396247605808,14767.753624518997,14032.466592543622,14895.058883556658,13720.336655255684,12167.325214089233,11560.035374752795,11985.975853049753,12268.68557115024,13610.632445342375,12101.10338360566,11999.830692478146,11029.970896981826,11486.865275165623
Cyprus,4491.731813600727,4491.731813600727,4966.045997707042,5332.923169337214,5574.060624081765,5807.0861605175805,5681.4387594995815,6025.798104907407,6113.0480030606195,6398.720126861497,6660.233278391821,6955.153864717457,6807.338930825958,6967.010485210534,7344.781658728628,7572.912743579735,7735.460509179394,7961.049731258811,8314.886039940013,8464.659553555372,8191.157747254028,7833.8497580674975,7484.771621962722,6966.921534402558,6283.776986638538,6650.100553868687,6674.141739301563,7169.498040619493,7195.214990984642,7017.474876781079,7043.578681135169,6610.538416818409,6784.634923126449
Czechia,155568.54388412228,155568.54388412228,138876.2471212514,135559.0920026288,129346.37839133995,123193.38689039017,121862.86050286642,125504.75040338376,122362.47227840366,117362.5277272442,108203.38228931304,117992.64380192272,117907.4683104593,114959.00852481877,119148.61426137021,120054.11863294798,117342.81650411956,119367.72073651815,121740.39488315147,115000.91006515085,107120.8381619782,110238.2124066329,107635.45882366842,103552.54193867509,99605.58253336976,97169.16283462108,98001.71729795288,100549.45416222014,103250.9132098683,107319.87941394327,108760.51946385963,102911.74296665334,105007.32363865468
Denmark,61345.38529423885,61345.38529423885,71257.64420791647,66382.66464706526,67134.51838611564,70736.8631104323,67844.43808086922,80519.1014629607,71536.24888781103,67250.54380197785,64990.5787585207,60510.43835663077,61737.84369548126,62324.69277600124,67232.58709389935,61424.6569415724,57831.178317066035,65965.70845026498,61485.46664665317,56555.15743145012,53381.318112741465,52950.21316430926,47377.45247816764,42502.87632640147,43997.563760112804,40506.77447281337,36987.335704191646,39873.65939601572,37750.52201408239,39693.46072437433,35258.71494471305,32775.193892514384,33431.53873440768
Estonia,32912.44233498778,32912.44233498778,30267.098357079907,21543.14397017846,15412.601183521805,16599.387640777277,14402.849755118199,15022.98856849029,14537.870212469088,12290.500250322588,11726.390877704318,10486.333482335924,10647.15787916194,10454.135277997724,12682.21487879035,12280.109384129433,14022.709732551937,11781.244325000656,15721.701468559137,12332.920622550993,9285.903273560967,13160.297338366161,13422.542018064547,13877.76100339329,16622.376808733945,18230.2980475897,14700.026673248283,16996.532993372617,18664.73586885291,19794.012018523128,13127.300892718828,11400.498985637927,12955.083060802102
European Union (Convention),3639185.2743756897,3639185.2743756897,3472470.2844245415,3372500.8586607478,3289056.8306530514,3275899.3141578604,3299873.546802927,3368277.8680199985,3309987.651579993,3287305.7475835704,3219726.8258852353,3279370.114718924,3288757.1553726043,3320382.7446276504,3414581.956649105,3389128.4587503257,3377227.1608406976,3378919.1765337503,3392083.31837364,3266719.522432346,2969997.9785210015,3065554.9462203,2970533.4375770055,2901510.611205526,2823276.3850099533,2701496.83851019,2757306.399959848,2766534.900284819,2853313.3687880333,2775624.095111391,2644218.776139115,2375166.7711529275,2560898.711714315
